run_scope,model_level,target,split_name,from_feature_group,to_feature_group,from_condition_mean_mae,to_condition_mean_mae,condition_mean_mae_gain,from_worst_condition_mae,to_worst_condition_mae,worst_condition_mae_gain
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F14_event_aggregate,F15_event_order_aware,0.13157356792440153,0.13027552746725635,0.0012980404571451831,0.27378491463314986,0.2865298626146859,-0.012744947981536026
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F15_event_order_aware,F16_event_order_shuffled,0.13027552746725635,0.13850989518463577,-0.008234367717379426,0.2865298626146859,0.2943286323536832,-0.007798769738997291
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F16_event_order_shuffled,F17_event_order_plus_stress,0.13850989518463577,0.12795535662485824,0.010554538559777532,0.2943286323536832,0.261628782010209,0.03269985034347417
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F14_event_aggregate,F15_event_order_aware,0.054755659343743324,0.05590676202530366,-0.001151102681560337,0.26383326293666665,0.2712491664167552,-0.0074159034800885815
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F15_event_order_aware,F16_event_order_shuffled,0.05590676202530366,0.05479517740266622,0.0011115846226374404,0.2712491664167552,0.258983584213372,0.012265582203383252
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F16_event_order_shuffled,F17_event_order_plus_stress,0.05479517740266622,0.05641841561908284,-0.0016232382164166198,0.258983584213372,0.2461127478191777,0.012870836394194285
primary,L2_hist_gradient_boosting,capacity_Ah_k1,profile_holdout_fold,F14_event_aggregate,F15_event_order_aware,0.104286657659333,0.09981378603879704,0.004472871620535959,0.18718469645515903,0.1951458864449591,-0.007961189989800055
primary,L2_hist_gradient_boosting,capacity_Ah_k1,profile_holdout_fold,F15_event_order_aware,F16_event_order_shuffled,0.09981378603879704,0.10381833441596115,-0.004004548377164116,0.1951458864449591,0.19404190679097574,0.0011039796539833446
primary,L2_hist_gradient_boosting,capacity_Ah_k1,profile_holdout_fold,F16_event_order_shuffled,F17_event_order_plus_stress,0.10381833441596115,0.0926351008350969,0.011183233580864246,0.19404190679097574,0.21644778435208814,-0.022405877561112397
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F14_event_aggregate,F15_event_order_aware,0.07104310746266503,0.06816482577964832,0.002878281683016709,0.27242343789452333,0.28491429183351163,-0.0124908539389883
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F15_event_order_aware,F16_event_order_shuffled,0.06816482577964832,0.0726689866846291,-0.004504160904980778,0.28491429183351163,0.2841022209067251,0.0008120709267865345
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F16_event_order_shuffled,F17_event_order_plus_stress,0.0726689866846291,0.0666899995384617,0.005978987146167389,0.2841022209067251,0.2851612416659298,-0.0010590207592047207
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F14_event_aggregate,F15_event_order_aware,0.0947231156248275,0.09437090328324299,0.0003522123415845152,0.3895381361282286,0.4048011875801861,-0.015263051451957499
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F15_event_order_aware,F16_event_order_shuffled,0.09437090328324299,0.09427106088149072,9.98424017522731e-05,0.4048011875801861,0.3836411992877917,0.02115998829239435
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F16_event_order_shuffled,F17_event_order_plus_stress,0.09427106088149072,0.16082365048743522,-0.0665525896059445,0.3836411992877917,0.38625403200620806,-0.002612832718416336
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F14_event_aggregate,F15_event_order_aware,0.09546361519432946,0.09874582542922374,-0.0032822102348942783,0.15963241136581763,0.18029004957575953,-0.020657638209941903
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F15_event_order_aware,F16_event_order_shuffled,0.09874582542922374,0.0952571453603804,0.0034886800688433417,0.18029004957575953,0.18147267621052987,-0.0011826266347703396
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F16_event_order_shuffled,F17_event_order_plus_stress,0.0952571453603804,0.10702788335174741,-0.01177073799136702,0.18147267621052987,0.20127558863281705,-0.019802912422287183
