target,split_name,heldout_fold,reference_group,candidate_group,reference_condition_mean_mae,candidate_condition_mean_mae,gain,test_rows,test_parameter_sets
capacity_Ah_k1,c_rate_holdout_fold,1,F16_event_order_shuffled,F15_event_order_aware,0.13850989518463577,0.13027552746725635,0.008234367717379426,157,12
capacity_Ah_k1,condition_fold,0,F16_event_order_shuffled,F15_event_order_aware,0.04445568409971716,0.04939782886728636,-0.004942144767569198,844,16
capacity_Ah_k1,condition_fold,1,F16_event_order_shuffled,F15_event_order_aware,0.04374662700757736,0.039682704595364375,0.0040639224122129836,865,15
capacity_Ah_k1,condition_fold,2,F16_event_order_shuffled,F15_event_order_aware,0.04415350712627095,0.03994221796360113,0.004211289162669815,892,15
capacity_Ah_k1,condition_fold,3,F16_event_order_shuffled,F15_event_order_aware,0.0813088470835707,0.08179359193218755,-0.00048474484861685263,509,15
capacity_Ah_k1,condition_fold,4,F16_event_order_shuffled,F15_event_order_aware,0.06031122169619492,0.0687174667680789,-0.008406245071883978,717,15
capacity_Ah_k1,profile_holdout_fold,1,F16_event_order_shuffled,F15_event_order_aware,0.10381833441596115,0.09981378603879704,0.004004548377164116,752,12
capacity_Ah_k1,temperature_holdout_fold,1,F16_event_order_shuffled,F15_event_order_aware,0.07988804375889887,0.07562071994528563,0.004267323813613236,742,19
capacity_Ah_k1,temperature_holdout_fold,2,F16_event_order_shuffled,F15_event_order_aware,0.06544992961035934,0.06070893161401101,0.004740997996348327,1060,19
capacity_Ah_k1,voltage_window_holdout_fold,1,F16_event_order_shuffled,F15_event_order_aware,0.11539009812095459,0.12163840139100864,-0.006248303270054045,1130,28
capacity_Ah_k1,voltage_window_holdout_fold,2,F16_event_order_shuffled,F15_event_order_aware,0.10492471284774056,0.10651185578559298,-0.0015871429378524204,1371,32
capacity_Ah_k1,voltage_window_holdout_fold,3,F16_event_order_shuffled,F15_event_order_aware,0.06249837167577701,0.05496245267312736,0.007535919002649646,1326,16
delta_capacity_Ah,c_rate_holdout_fold,1,F16_event_order_shuffled,F15_event_order_aware,0.0952571453603804,0.09874582542922374,-0.0034886800688433417,157,12
delta_capacity_Ah,condition_fold,0,F16_event_order_shuffled,F15_event_order_aware,0.03876736822067098,0.038379475535226075,0.000387892685444903,844,16
delta_capacity_Ah,condition_fold,1,F16_event_order_shuffled,F15_event_order_aware,0.041761377011918004,0.042046875491520294,-0.0002854984796022905,865,15
delta_capacity_Ah,condition_fold,2,F16_event_order_shuffled,F15_event_order_aware,0.037555299760321285,0.033042171551347706,0.00451312820897358,892,15
delta_capacity_Ah,condition_fold,3,F16_event_order_shuffled,F15_event_order_aware,0.06187328666461297,0.06608061549307366,-0.004207328828460692,509,15
delta_capacity_Ah,condition_fold,4,F16_event_order_shuffled,F15_event_order_aware,0.047551354046147194,0.05292618824717472,-0.005374834201027523,717,15
delta_capacity_Ah,profile_holdout_fold,1,F16_event_order_shuffled,F15_event_order_aware,0.09090241580889946,0.10231320235284158,-0.01141078654394212,752,12
delta_capacity_Ah,temperature_holdout_fold,1,F16_event_order_shuffled,F15_event_order_aware,0.06027568636236991,0.06718167421025678,-0.006905987847886874,742,19
delta_capacity_Ah,temperature_holdout_fold,2,F16_event_order_shuffled,F15_event_order_aware,0.04817262665257611,0.04580895818437906,0.00236366846819705,1060,19
delta_capacity_Ah,voltage_window_holdout_fold,1,F16_event_order_shuffled,F15_event_order_aware,0.09006063440721393,0.08503811159644777,0.005022522810766164,1130,28
delta_capacity_Ah,voltage_window_holdout_fold,2,F16_event_order_shuffled,F15_event_order_aware,0.10806511187345545,0.10498833267027381,0.00307677920318164,1371,32
delta_capacity_Ah,voltage_window_holdout_fold,3,F16_event_order_shuffled,F15_event_order_aware,0.030559732832491693,0.04318621187870768,-0.012626479046215985,1326,16
