run_scope,model_level,feature_group,target,split_name,heldout_fold,worst_condition_mae,condition_mean_mae,condition_median_mae,test_parameter_sets
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,0.10158600719528497,0.049542362568819345,0.04718412255773119,16
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0,0.09655420082542654,0.03875221809042437,0.03524321148453827,16
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,condition_fold,0,0.13138253253207222,0.046556445210339005,0.04422697499776612,16
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,0,0.1901932227892993,0.04088863554975263,0.027596487703603546,16
primary,L2_hist_gradient_boosting,F14_event_aggregate,capacity_Ah_k1,condition_fold,0,0.11245715509963977,0.046329797862479094,0.040305581468152475,16
primary,L2_hist_gradient_boosting,F14_event_aggregate,delta_capacity_Ah,condition_fold,0,0.10473205439519262,0.037151998494231786,0.030835734521754025,16
primary,L2_hist_gradient_boosting,F15_event_order_aware,capacity_Ah_k1,condition_fold,0,0.13874195325389593,0.04939782886728636,0.05092185419814452,16
primary,L2_hist_gradient_boosting,F15_event_order_aware,delta_capacity_Ah,condition_fold,0,0.13579574833024538,0.038379475535226075,0.033054812327605584,16
primary,L2_hist_gradient_boosting,F16_event_order_shuffled,capacity_Ah_k1,condition_fold,0,0.09925811791033717,0.04445568409971716,0.03915353913828812,16
primary,L2_hist_gradient_boosting,F16_event_order_shuffled,delta_capacity_Ah,condition_fold,0,0.11595630951165965,0.03876736822067098,0.034783432001138516,16
primary,L2_hist_gradient_boosting,F17_event_order_plus_stress,capacity_Ah_k1,condition_fold,0,0.13453095948724783,0.04923163114370019,0.04240545482454845,16
primary,L2_hist_gradient_boosting,F17_event_order_plus_stress,delta_capacity_Ah,condition_fold,0,0.18951995308520125,0.04017314785677902,0.030109848811867596,16
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,0.13810249788612447,0.04127612923393777,0.022615685435534008,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,1,0.18312179107343562,0.042799950401701946,0.023219245620823056,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,condition_fold,1,0.1447468169245517,0.03989094716143135,0.02385236587003485,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,1,0.1379582379271618,0.03778654425497253,0.02180368512713403,15
primary,L2_hist_gradient_boosting,F14_event_aggregate,capacity_Ah_k1,condition_fold,1,0.16540526253192944,0.04278559024704874,0.026581331923242222,15
primary,L2_hist_gradient_boosting,F14_event_aggregate,delta_capacity_Ah,condition_fold,1,0.14459945628689722,0.04182559456671073,0.02426309524909756,15
primary,L2_hist_gradient_boosting,F15_event_order_aware,capacity_Ah_k1,condition_fold,1,0.15457586614361016,0.039682704595364375,0.02853647495693144,15
primary,L2_hist_gradient_boosting,F15_event_order_aware,delta_capacity_Ah,condition_fold,1,0.1430961998240117,0.042046875491520294,0.028714852245030148,15
primary,L2_hist_gradient_boosting,F16_event_order_shuffled,capacity_Ah_k1,condition_fold,1,0.1716215797468969,0.04374662700757736,0.023988416111969314,15
primary,L2_hist_gradient_boosting,F16_event_order_shuffled,delta_capacity_Ah,condition_fold,1,0.14306223256822856,0.041761377011918004,0.025212620682377212,15
primary,L2_hist_gradient_boosting,F17_event_order_plus_stress,capacity_Ah_k1,condition_fold,1,0.15590658160041246,0.04003722184593872,0.024371031251999173,15
primary,L2_hist_gradient_boosting,F17_event_order_plus_stress,delta_capacity_Ah,condition_fold,1,0.1326988034653822,0.03992387521672944,0.019827097773781666,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,2,0.16270850023959052,0.043338708364908045,0.02895145401323209,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,2,0.11771900013221459,0.0331936997650011,0.026183212321047214,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,condition_fold,2,0.13959494570760855,0.04458338582344426,0.03624087974061292,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,2,0.08825716991140387,0.0326792774245017,0.02637705202122708,15
primary,L2_hist_gradient_boosting,F14_event_aggregate,capacity_Ah_k1,condition_fold,2,0.18098179580451143,0.0425649618847694,0.02700984260108895,15
primary,L2_hist_gradient_boosting,F14_event_aggregate,delta_capacity_Ah,condition_fold,2,0.13627447818026242,0.03434115107913387,0.02516444026696582,15
primary,L2_hist_gradient_boosting,F15_event_order_aware,capacity_Ah_k1,condition_fold,2,0.13620280002402108,0.03994221796360113,0.029434783678379487,15
primary,L2_hist_gradient_boosting,F15_event_order_aware,delta_capacity_Ah,condition_fold,2,0.12805839693090967,0.033042171551347706,0.02106857759123335,15
primary,L2_hist_gradient_boosting,F16_event_order_shuffled,capacity_Ah_k1,condition_fold,2,0.18173495397606884,0.04415350712627095,0.028991113370009383,15
primary,L2_hist_gradient_boosting,F16_event_order_shuffled,delta_capacity_Ah,condition_fold,2,0.16138334486516379,0.037555299760321285,0.024587495552629953,15
primary,L2_hist_gradient_boosting,F17_event_order_plus_stress,capacity_Ah_k1,condition_fold,2,0.12718056689237464,0.04540060113116504,0.04155691913918954,15
primary,L2_hist_gradient_boosting,F17_event_order_plus_stress,delta_capacity_Ah,condition_fold,2,0.14850840524693254,0.03698086266318371,0.0260533580783268,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,3,0.22517102851839477,0.07445818513387871,0.06898943883727714,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,3,0.18041083460685806,0.06214658171231006,0.04866482002567118,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,condition_fold,3,0.2578082469271345,0.08010937726556579,0.06545544092561961,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,3,0.17343138424719065,0.05923954871874726,0.05665682410616899,15
primary,L2_hist_gradient_boosting,F14_event_aggregate,capacity_Ah_k1,condition_fold,3,0.26383326293666665,0.08057078117878551,0.06436699056568518,15
primary,L2_hist_gradient_boosting,F14_event_aggregate,delta_capacity_Ah,condition_fold,3,0.1799849928838722,0.06095291138483762,0.054359430536299776,15
primary,L2_hist_gradient_boosting,F15_event_order_aware,capacity_Ah_k1,condition_fold,3,0.25298488094137733,0.08179359193218755,0.06984489663013026,15
primary,L2_hist_gradient_boosting,F15_event_order_aware,delta_capacity_Ah,condition_fold,3,0.179657613363088,0.06608061549307366,0.05933071315936824,15
primary,L2_hist_gradient_boosting,F16_event_order_shuffled,capacity_Ah_k1,condition_fold,3,0.23937938864767658,0.0813088470835707,0.07561416133573963,15
primary,L2_hist_gradient_boosting,F16_event_order_shuffled,delta_capacity_Ah,condition_fold,3,0.17949958027354504,0.06187328666461297,0.05398354293901083,15
primary,L2_hist_gradient_boosting,F17_event_order_plus_stress,capacity_Ah_k1,condition_fold,3,0.24000972860811406,0.08488812745007386,0.0682793561734323,15
primary,L2_hist_gradient_boosting,F17_event_order_plus_stress,delta_capacity_Ah,condition_fold,3,0.13570722390774054,0.059682894929351415,0.05858259008145253,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,4,0.2588867309972366,0.06101794107932577,0.05602054542705274,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,4,0.10467993386705583,0.046332148161597614,0.055903144482367474,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,condition_fold,4,0.2468266202783385,0.05672286548112605,0.050437108026048366,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,4,0.07049164436504567,0.037907406046335586,0.048552302031441244,15
primary,L2_hist_gradient_boosting,F14_event_aggregate,capacity_Ah_k1,condition_fold,4,0.2592583600547265,0.06152716554563386,0.056911441213965894,15
primary,L2_hist_gradient_boosting,F14_event_aggregate,delta_capacity_Ah,condition_fold,4,0.09870129258800775,0.04674589835165645,0.055541992262140634,15
primary,L2_hist_gradient_boosting,F15_event_order_aware,capacity_Ah_k1,condition_fold,4,0.2712491664167552,0.0687174667680789,0.057019901947454904,15
primary,L2_hist_gradient_boosting,F15_event_order_aware,delta_capacity_Ah,condition_fold,4,0.1396521593894665,0.05292618824717472,0.053651273143224404,15
primary,L2_hist_gradient_boosting,F16_event_order_shuffled,capacity_Ah_k1,condition_fold,4,0.258983584213372,0.06031122169619492,0.0579466376979144,15
primary,L2_hist_gradient_boosting,F16_event_order_shuffled,delta_capacity_Ah,condition_fold,4,0.10612372471198629,0.047551354046147194,0.05349134157707511,15
primary,L2_hist_gradient_boosting,F17_event_order_plus_stress,capacity_Ah_k1,condition_fold,4,0.2461127478191777,0.06253449652453638,0.0498499937318175,15
primary,L2_hist_gradient_boosting,F17_event_order_plus_stress,delta_capacity_Ah,condition_fold,4,0.10085194434792412,0.04708944257878596,0.04455947608415785,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,1,0.2782085808786395,0.07667220368262524,0.06181255537023598,19
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,1,0.16868537789777535,0.05509724136142808,0.053644432041131306,19
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,temperature_holdout_fold,1,0.27110814311431214,0.06977724888847443,0.051862488571390974,19
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,temperature_holdout_fold,1,0.14762688345553496,0.05301253618604369,0.048375590181849476,19
primary,L2_hist_gradient_boosting,F14_event_aggregate,capacity_Ah_k1,temperature_holdout_fold,1,0.27242343789452333,0.07784508459876045,0.06800695526816647,19
