run_scope,model_level,feature_group,target,split_name,fold_count,mean_mae,mean_rmse,condition_mean_mae,condition_median_mae,worst_condition_mae,q10_q90_interval_coverage,q10_q90_interval_width_mean,pinball_loss_q10,pinball_loss_q50,pinball_loss_q90,test_rows,test_parameter_sets
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,c_rate_holdout_fold,1,0.1094554429969143,0.1853320813849855,0.14267590930052018,0.141207500794059,0.3083325294492451,,,,,,157,12
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,5,0.03195831801421887,0.07533521691084022,0.058884071437993325,0.04328745159931142,0.2999985501688513,,,,,,3827,76
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,temperature_holdout_fold,2,0.03577613353028611,0.09405822328259089,0.07170671270242643,0.05836726091274597,0.3182386216423407,,,,,,1802,38
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,voltage_window_holdout_fold,3,0.07518178431804322,0.11470365215295342,0.10213032656830191,0.09915051358246041,0.387563884770157,,,,,,3827,76
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,c_rate_holdout_fold,1,0.1185105385023952,0.18634824457697344,0.1407785330676917,0.14168610806242274,0.2026889873578226,,,,,,157,12
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,condition_fold,5,0.029429363418230305,0.07199788324770803,0.057879711308457725,0.04074426416475566,0.23058788065845467,,,,,,3827,76
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,temperature_holdout_fold,2,0.03229918976911968,0.09082894876468453,0.06777243264243474,0.052118969959436434,0.33485478162618065,,,,,,1802,38
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,voltage_window_holdout_fold,3,0.057298660220083696,0.0847674502842989,0.077701587979939,0.075475945249943,0.33021104857042977,,,,,,3827,76
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,0.09184040307093654,0.15916538230897417,0.12518636786777063,0.11979160891693752,0.2764345999580851,,,,,,157,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,5,0.030995424062215438,0.07218590001186348,0.05392666527617392,0.04475224925416543,0.2588867309972366,,,,,,3827,76
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,2,0.03871997782735417,0.09228357738144016,0.06929389733378725,0.05925269097387954,0.2782085808786395,,,,,,1802,38
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,3,0.06239438477866092,0.09793486716838541,0.08441287861354206,0.07963764587076089,0.3603624225203877,,,,,,3827,76
