grouping,group_value,row_count,parameter_set_count,total_intervals,mean_best_model_error,mean_persistence_error,mean_error_improvement_vs_persistence,max_best_model_error
temperature,0,6,3,38,0.14411522296298832,0.3961885185185185,0.2520732955555302,0.20183010156404468
temperature,10,6,3,54,0.14909222717298135,0.4742121666666667,0.32511993949368534,0.2508189191042574
temperature,25,6,3,88,0.06917641486413531,0.24385089761904763,0.1746744827549123,0.11033771482930543
temperature,40,6,3,134,0.08919435184713988,0.22516440300269905,0.13597005115555916,0.13513658800848338
voltage_window_family,approx_0_100,8,4,62,0.14669016627756326,0.43965016025641024,0.292959993978847,0.2508189191042574
voltage_window_family,approx_10_100,8,4,72,0.13333585005266158,0.3478285020833333,0.21449265203067178,0.2472257894765595
voltage_window_family,approx_10_90,8,4,180,0.05865764630520882,0.2170833270154553,0.15842568071024649,0.09884816134999817
target,capacity_Ah_k1,12,12,157,0.12465633712103064,0.33485399645173297,0.21019765933070234,0.2508189191042574
target,delta_capacity_Ah,12,12,157,0.10113277130259181,0.33485399645173297,0.23372122514914118,0.193505570859936
parameter_set,20,2,1,12,0.19766783621199036,0.48400216666666673,0.2863343304546764,0.20183010156404468
parameter_set,24,2,1,8,0.15919507336168945,0.4024384999999999,0.24324342663831047,0.17794726572851083
parameter_set,28,2,1,18,0.0754827593152852,0.3021248888888889,0.2266421295736037,0.09884816134999817
parameter_set,32,2,1,12,0.19383737620885044,0.5564216666666667,0.36258429045781626,0.2508189191042574
parameter_set,36,2,1,12,0.19407255748206242,0.5571718333333334,0.363099275851271,0.2472257894765595
parameter_set,40,2,1,30,0.0593667478280312,0.309043,0.24967625217196882,0.07326388850505909
parameter_set,44,2,1,12,0.10343208459129255,0.4149285,0.3114964154087074,0.11033771482930543
parameter_set,48,2,1,20,0.04830467318858736,0.16491580000000003,0.11661112681141267,0.058944176408148564
parameter_set,52,2,1,56,0.055792486812526014,0.15170839285714285,0.09591590604461683,0.059088853564472354
parameter_set,56,2,1,26,0.09182336809811975,0.30324830769230765,0.2114249395941879,0.10058023915341453
parameter_set,60,2,1,32,0.13177109617830704,0.266787875,0.13501677882169297,0.13513658800848338
parameter_set,64,2,1,76,0.04398859126499287,0.10545702631578949,0.06146843505079662,0.05045681347280119
interval_count_bucket,11-20,6,3,88,0.09432040403481932,0.2930263942307692,0.1987059901959499,0.13513658800848338
interval_count_bucket,6-10,12,6,86,0.13546621449967805,0.4132608092592593,0.27779459475958124,0.2508189191042574
interval_count_bucket,<=5,2,1,8,0.15919507336168945,0.4024384999999999,0.24324342663831047,0.17794726572851083
interval_count_bucket,>20,4,2,132,0.04989053903875944,0.12858270958646617,0.07869217054770673,0.059088853564472354
capacity_Ah_k_range,2.4-2.6,2,1,18,0.0754827593152852,0.3021248888888889,0.2266421295736037,0.09884816134999817
capacity_Ah_k_range,2.6-2.8,10,5,78,0.13816566541384748,0.3822052882051282,0.24403962279128075,0.2508189191042574
capacity_Ah_k_range,<2.4,8,4,194,0.07272973052096428,0.20824907354323308,0.1355193430222688,0.13513658800848338
capacity_Ah_k_range,>=2.8,4,2,24,0.1487523210366775,0.48605016666666667,0.3372978456299892,0.2472257894765595
delta_capacity_Ah_range,-0.4--0.2,10,5,200,0.05658705168188453,0.20664982161236428,0.15006276993047973,0.09884816134999817
delta_capacity_Ah_range,-0.6--0.4,14,7,114,0.15311419887604458,0.42642840705128204,0.2733142081752375,0.2508189191042574
