target,parameter_set,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,n_intervals,best_stress_model_level,best_stress_feature_group,stress_model_error,baseline_f4_error,gain_vs_f4,l0_error,gain_vs_l0
capacity_Ah_k1,20,0.0,approx_0_100,1.67,6,L2_hist_gradient_boosting,F6_coupled_stress,0.20183010156404468,0.17642527061430222,-0.02540483094974247,0.48400216666666673,0.28217206510262205
capacity_Ah_k1,24,0.0,approx_10_100,1.67,4,L2_hist_gradient_boosting,F6_coupled_stress,0.17794726572851083,0.15435262638693859,-0.023594639341572243,0.4024384999999999,0.2244912342714891
capacity_Ah_k1,28,0.0,approx_10_90,1.67,9,L2_hist_gradient_boosting,F6_coupled_stress,0.09884816134999817,0.08104773569256121,-0.01780042565743696,0.3021248888888889,0.2032767275388907
capacity_Ah_k1,32,10.0,approx_0_100,1.67,6,L2_hist_gradient_boosting,F6_coupled_stress,0.2508189191042574,0.24736463530699904,-0.003454283797258373,0.5564216666666667,0.3056027475624093
capacity_Ah_k1,36,10.0,approx_10_100,1.67,6,L2_hist_gradient_boosting,F6_coupled_stress,0.2472257894765595,0.2764345999580851,0.029208810481525627,0.5571718333333334,0.30994604385677393
capacity_Ah_k1,40,10.0,approx_10_90,1.67,15,L2_hist_gradient_boosting,F6_coupled_stress,0.045469607151003295,0.049188343128470154,0.0037187359774668582,0.309043,0.2635733928489967
capacity_Ah_k1,44,25.0,approx_0_100,1.67,6,L2_hist_gradient_boosting,F6_coupled_stress,0.11033771482930543,0.1085274080092568,-0.0018103068200486377,0.4149285,0.30459078517069454
capacity_Ah_k1,48,25.0,approx_10_100,1.67,10,L2_hist_gradient_boosting,F6_coupled_stress,0.037665169969026156,0.036942012274586974,-0.0007231576944391818,0.16491580000000003,0.12725063003097387
capacity_Ah_k1,52,25.0,approx_10_90,1.67,28,L2_hist_gradient_boosting,F6_coupled_stress,0.052496120060579674,0.05025047870125591,-0.002245641359323765,0.15170839285714285,0.09921227279656318
capacity_Ah_k1,56,40.0,approx_0_100,1.67,13,L2_hist_gradient_boosting,F6_coupled_stress,0.10058023915341453,0.13105580982461823,0.030475570671203697,0.30324830769230765,0.20266806853889313
capacity_Ah_k1,60,40.0,approx_10_100,1.67,16,L2_hist_gradient_boosting,F6_coupled_stress,0.13513658800848338,0.1474089691190151,0.012272381110531722,0.266787875,0.13165128699151663
capacity_Ah_k1,64,40.0,approx_10_90,1.67,38,L2_hist_gradient_boosting,F6_coupled_stress,0.03752036905718455,0.04323852539715805,0.005718156339973503,0.10545702631578949,0.06793665725860494
delta_capacity_Ah,20,0.0,approx_0_100,1.67,6,L2_hist_gradient_boosting,F5_log_age_histograms,0.20770739619849174,0.193505570859936,-0.01420182533855574,0.48400216666666673,0.27629477046817497
delta_capacity_Ah,24,0.0,approx_10_100,1.67,4,L2_hist_gradient_boosting,F5_log_age_histograms,0.20520243211783337,0.14044288099486807,-0.0647595511229653,0.4024384999999999,0.19723606788216655
delta_capacity_Ah,28,0.0,approx_10_90,1.67,9,L2_hist_gradient_boosting,F5_log_age_histograms,0.08024915868140109,0.052117357280572235,-0.028131801400828854,0.3021248888888889,0.2218757302074878
delta_capacity_Ah,32,10.0,approx_0_100,1.67,6,L2_hist_gradient_boosting,F5_log_age_histograms,0.20331728188961262,0.1368558333134435,-0.06646144857616912,0.5564216666666667,0.3531043847770541
delta_capacity_Ah,36,10.0,approx_10_100,1.67,6,L2_hist_gradient_boosting,F5_log_age_histograms,0.1507060488436282,0.1409193254875654,-0.009786723356062815,0.5571718333333334,0.4064657844897052
delta_capacity_Ah,40,10.0,approx_10_90,1.67,15,L2_hist_gradient_boosting,F5_log_age_histograms,0.05992520557454103,0.07326388850505909,0.013338682930518063,0.309043,0.24911779442545898
delta_capacity_Ah,44,25.0,approx_0_100,1.67,6,L2_hist_gradient_boosting,F5_log_age_histograms,0.0853224061771653,0.09652645435327967,0.011204048176114367,0.4149285,0.3296060938228347
delta_capacity_Ah,48,25.0,approx_10_100,1.67,10,L2_hist_gradient_boosting,F5_log_age_histograms,0.03966631907423185,0.058944176408148564,0.019277857333916716,0.16491580000000003,0.12524948092576818
delta_capacity_Ah,52,25.0,approx_10_90,1.67,28,L2_hist_gradient_boosting,F5_log_age_histograms,0.050911589139386225,0.059088853564472354,0.00817726442508613,0.15170839285714285,0.10079680371775662
delta_capacity_Ah,56,40.0,approx_0_100,1.67,13,L2_hist_gradient_boosting,F5_log_age_histograms,0.0749363963261191,0.08306649704282495,0.008130100716705849,0.30324830769230765,0.22831191136618856
delta_capacity_Ah,60,40.0,approx_10_100,1.67,16,L2_hist_gradient_boosting,F5_log_age_histograms,0.13359757743283668,0.1284056043481307,-0.005191973084705981,0.266787875,0.13319029756716333
delta_capacity_Ah,64,40.0,approx_10_90,1.67,38,L2_hist_gradient_boosting,F5_log_age_histograms,0.03158145134285993,0.05045681347280119,0.01887536212994126,0.10545702631578949,0.07387557497292956
