run_scope,model_level,target,split_name,from_feature_group,to_feature_group,from_condition_mean_mae,to_condition_mean_mae,condition_mean_mae_gain,from_worst_condition_mae,to_worst_condition_mae,worst_condition_mae_gain
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.14267590930052018,0.12518636786777063,0.017489541432749556,0.3083325294492451,0.2764345999580851,0.03189792949115999
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.12518636786777063,0.1269426413968176,-0.0017562735290469755,0.2764345999580851,0.24482490450352312,0.03160969545456199
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F5_log_age_histograms,F6_coupled_stress,0.1269426413968176,0.12465633712103064,0.0022863042757869656,0.24482490450352312,0.2508189191042574,-0.005994014600734288
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F6_coupled_stress,F7_c_rate_focused,0.12465633712103064,0.1475589763207174,-0.02290263919968677,0.2508189191042574,0.28021640922283875,-0.029397490118581338
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F3_state_nominal,F4_state_log_age_scalar,0.058884071437993325,0.05392666527617392,0.004957406161819403,0.2999985501688513,0.2588867309972366,0.041111819171614716
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.05392666527617392,0.05027747397751009,0.003649191298663833,0.2588867309972366,0.26147997390058836,-0.002593242903351778
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F5_log_age_histograms,F6_coupled_stress,0.05027747397751009,0.05334812687623497,-0.0030706528987248793,0.26147997390058836,0.28263290856811896,-0.0211529346675306
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F6_coupled_stress,F7_c_rate_focused,0.05334812687623497,0.06028549980820387,-0.006937372931968902,0.28263290856811896,0.3205875781403676,-0.037954669572248634
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.07170671270242643,0.06929389733378725,0.0024128153686391735,0.3182386216423407,0.2782085808786395,0.0400300407637012
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.06929389733378725,0.06472765122736403,0.004566246106423227,0.2782085808786395,0.251544640219944,0.026663940658695484
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F5_log_age_histograms,F6_coupled_stress,0.06472765122736403,0.06364404065213011,0.0010836105752339148,0.251544640219944,0.27405616574517866,-0.022511525525234666
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F6_coupled_stress,F7_c_rate_focused,0.06364404065213011,0.06915684403356029,-0.005512803381430176,0.27405616574517866,0.3265457124627161,-0.052489546717537416
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.10213032656830191,0.08441287861354206,0.017717447954759852,0.387563884770157,0.3603624225203877,0.027201462249769326
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.08441287861354206,0.1795253923274663,-0.09511251371392425,0.3603624225203877,0.42218292939789476,-0.061820506877507064
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F5_log_age_histograms,F6_coupled_stress,0.1795253923274663,0.17710591634405418,0.0024194759834121338,0.42218292939789476,0.4244459253400644,-0.0022629959421696655
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F6_coupled_stress,F7_c_rate_focused,0.17710591634405418,0.11632530459883877,0.0607806117452154,0.4244459253400644,0.4067931402970832,0.017652785042981234
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.1407785330676917,0.10113277130259181,0.03964576176509989,0.2026889873578226,0.193505570859936,0.009183416497886593
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.10113277130259181,0.11026027189984226,-0.009127500597250454,0.193505570859936,0.20770739619849174,-0.01420182533855574
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F5_log_age_histograms,F6_coupled_stress,0.11026027189984226,0.11316381771177658,-0.002903545811934319,0.20770739619849174,0.2280869387493422,-0.02037954255085045
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F6_coupled_stress,F7_c_rate_focused,0.11316381771177658,0.15588928825846426,-0.04272547054668768,0.2280869387493422,0.27478838204137807,-0.04670144329203588
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F3_state_nominal,F4_state_log_age_scalar,0.057879711308457725,0.044644919626207015,0.01323479168225071,0.23058788065845467,0.18312179107343562,0.04746608958501905
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.044644919626207015,0.041692705430998366,0.0029522141952086495,0.18312179107343562,0.15390076944722242,0.029221021626213206
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F5_log_age_histograms,F6_coupled_stress,0.041692705430998366,0.041752782279885305,-6.0076848886939094e-05,0.15390076944722242,0.16115202140853835,-0.00725125196131593
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F6_coupled_stress,F7_c_rate_focused,0.041752782279885305,0.05518624558672482,-0.013433463306839519,0.16115202140853835,0.2526967534139005,-0.09154473200536217
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.06777243264243474,0.04857476766234761,0.019197664980087126,0.33485478162618065,0.16868537789777535,0.1661694037284053
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.04857476766234761,0.044618927158657395,0.003955840503690217,0.16868537789777535,0.14852292082532634,0.020162457072449014
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F5_log_age_histograms,F6_coupled_stress,0.044618927158657395,0.046710231312839454,-0.002091304154182058,0.14852292082532634,0.13776837535575123,0.010754545469575105
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F6_coupled_stress,F7_c_rate_focused,0.046710231312839454,0.05856151664069181,-0.01185128532785236,0.13776837535575123,0.22237966626533523,-0.084611290909584
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.077701587979939,0.07084470672683431,0.006856881253104685,0.33021104857042977,0.2315662886975436,0.09864475987288618
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.07084470672683431,0.14161469103093785,-0.07076998430410354,0.2315662886975436,0.2546420732679677,-0.023075784570424085
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F5_log_age_histograms,F6_coupled_stress,0.14161469103093785,0.12883366120331988,0.012781029827617973,0.2546420732679677,0.22907833184038753,0.02556374142758014
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F6_coupled_stress,F7_c_rate_focused,0.12883366120331988,0.10733136661340836,0.021502294589911514,0.22907833184038753,0.33635005008433155,-0.10727171824394402
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.1862798783720999,0.19559729831178693,-0.009317419939687044,0.3638987271461566,0.4024433007561317,-0.0385445736099751
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.19559729831178693,0.17508271344779905,0.020514584863987884,0.4024433007561317,0.3421663133702017,0.060276987385930014
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F5_log_age_histograms,F6_coupled_stress,0.17508271344779905,0.17325009821676884,0.0018326152310302046,0.3421663133702017,0.3507772369658415,-0.008610923595639808
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F6_coupled_stress,F7_c_rate_focused,0.17325009821676884,0.18286885173267162,-0.009618753515902773,0.3507772369658415,0.32117626629967466,0.029600970666166848
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F3_state_nominal,F4_state_log_age_scalar,0.06521531948954487,0.06713249775867468,-0.0019171782691298073,0.31472324573535865,0.37599741355529953,-0.06127416781994088
