run_scope,model_level,feature_group,target,split_name,heldout_fold,worst_condition_mae,condition_mean_mae,condition_median_mae,test_parameter_sets
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,c_rate_holdout_fold,1,0.3083325294492451,0.14267590930052018,0.141207500794059,12
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,c_rate_holdout_fold,1,0.2026889873578226,0.1407785330676917,0.14168610806242274,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,0.2764345999580851,0.12518636786777063,0.11979160891693752,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.193505570859936,0.10113277130259181,0.08979647569805231,12
primary,L2_hist_gradient_boosting,F5_log_age_histograms,capacity_Ah_k1,c_rate_holdout_fold,1,0.24482490450352312,0.1269426413968176,0.11193439978637798,12
primary,L2_hist_gradient_boosting,F5_log_age_histograms,delta_capacity_Ah,c_rate_holdout_fold,1,0.20770739619849174,0.11026027189984226,0.0827857824292832,12
primary,L2_hist_gradient_boosting,F6_coupled_stress,capacity_Ah_k1,c_rate_holdout_fold,1,0.2508189191042574,0.12465633712103064,0.10545897699135998,12
primary,L2_hist_gradient_boosting,F6_coupled_stress,delta_capacity_Ah,c_rate_holdout_fold,1,0.2280869387493422,0.11316381771177658,0.08336516918035897,12
primary,L2_hist_gradient_boosting,F7_c_rate_focused,capacity_Ah_k1,c_rate_holdout_fold,1,0.28021640922283875,0.1475589763207174,0.1507419370733399,12
primary,L2_hist_gradient_boosting,F7_c_rate_focused,delta_capacity_Ah,c_rate_holdout_fold,1,0.27478838204137807,0.15588928825846426,0.15534253242474735,12
primary,L3_quantile_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,c_rate_holdout_fold,1,0.3638987271461566,0.1862798783720999,0.1800817381334443,12
primary,L3_quantile_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,c_rate_holdout_fold,1,0.4132909549027513,0.18010949262595513,0.1700783846785111,12
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,0.4024433007561317,0.19559729831178693,0.18061364194084015,12
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.3748515528992455,0.1823307773049594,0.1638831281484724,12
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,capacity_Ah_k1,c_rate_holdout_fold,1,0.3421663133702017,0.17508271344779905,0.15177492234719897,12
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,delta_capacity_Ah,c_rate_holdout_fold,1,0.31991095483369464,0.15312156148949427,0.1369659617668049,12
primary,L3_quantile_hist_gradient_boosting,F6_coupled_stress,capacity_Ah_k1,c_rate_holdout_fold,1,0.3507772369658415,0.17325009821676884,0.15387978466310162,12
primary,L3_quantile_hist_gradient_boosting,F6_coupled_stress,delta_capacity_Ah,c_rate_holdout_fold,1,0.34662722580141664,0.1712514411010675,0.14838281787901503,12
primary,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,capacity_Ah_k1,c_rate_holdout_fold,1,0.32117626629967466,0.18286885173267162,0.18237787707298211,12
primary,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,delta_capacity_Ah,c_rate_holdout_fold,1,0.3857936854779853,0.19119104293284753,0.1795133056203997,12
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,0,0.1158881021326147,0.04969181424059862,0.04927936921901126,16
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,condition_fold,0,0.12266524034991641,0.050356633954495626,0.04955479929619551,16
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,0.10158600719528497,0.049542362568819345,0.04718412255773119,16
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0,0.09655420082542654,0.03875221809042437,0.03524321148453827,16
primary,L2_hist_gradient_boosting,F5_log_age_histograms,capacity_Ah_k1,condition_fold,0,0.09099728689396785,0.04303797804354083,0.040935940429055934,16
primary,L2_hist_gradient_boosting,F5_log_age_histograms,delta_capacity_Ah,condition_fold,0,0.12853047749651048,0.0407756790300498,0.03862368200522733,16
primary,L2_hist_gradient_boosting,F6_coupled_stress,capacity_Ah_k1,condition_fold,0,0.11626137652339466,0.044207226737121394,0.041204019994755106,16
primary,L2_hist_gradient_boosting,F6_coupled_stress,delta_capacity_Ah,condition_fold,0,0.16115202140853835,0.03930849401085628,0.030577977294959244,16
primary,L2_hist_gradient_boosting,F7_c_rate_focused,capacity_Ah_k1,condition_fold,0,0.14366359629646475,0.052001638021644744,0.05429468999837404,16
primary,L2_hist_gradient_boosting,F7_c_rate_focused,delta_capacity_Ah,condition_fold,0,0.1334750717876091,0.04825135168291902,0.05586389162413267,16
primary,L3_quantile_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,0,0.1959463527134182,0.052695934739433965,0.03428224612569526,16
primary,L3_quantile_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,condition_fold,0,0.15119994000333078,0.048227948786572,0.03789385919070986,16
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,0.1660722514276639,0.04939575572309951,0.035994727645417876,16
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0,0.11409570388379169,0.03974616062749487,0.027907524748794363,16
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,capacity_Ah_k1,condition_fold,0,0.15357501732002798,0.04888067470502433,0.03832543274248257,16
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,delta_capacity_Ah,condition_fold,0,0.0943616589158635,0.03666448813597314,0.034107679869925335,16
primary,L3_quantile_hist_gradient_boosting,F6_coupled_stress,capacity_Ah_k1,condition_fold,0,0.13013431309038592,0.044479527561972286,0.035467861015560584,16
primary,L3_quantile_hist_gradient_boosting,F6_coupled_stress,delta_capacity_Ah,condition_fold,0,0.11139378115131923,0.03528566948957865,0.027837267408526434,16
primary,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,capacity_Ah_k1,condition_fold,0,0.16301483919421647,0.05391693595988858,0.04228766032518573,16
primary,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,delta_capacity_Ah,condition_fold,0,0.1426944643339971,0.04494090542526187,0.040542178444713486,16
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,1,0.1544963970559065,0.04189765749060778,0.025720655994757036,15
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,condition_fold,1,0.1965954839041262,0.04944060482731235,0.02046050862146755,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,0.13810249788612447,0.04127612923393777,0.022615685435534008,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,1,0.18312179107343562,0.042799950401701946,0.023219245620823056,15
primary,L2_hist_gradient_boosting,F5_log_age_histograms,capacity_Ah_k1,condition_fold,1,0.12136251014403676,0.038158546099140496,0.021163265593140905,15
primary,L2_hist_gradient_boosting,F5_log_age_histograms,delta_capacity_Ah,condition_fold,1,0.1403209042700749,0.03931636942750605,0.022802014951679602,15
primary,L2_hist_gradient_boosting,F6_coupled_stress,capacity_Ah_k1,condition_fold,1,0.12687351413430104,0.038723056478109995,0.022722752587917824,15
primary,L2_hist_gradient_boosting,F6_coupled_stress,delta_capacity_Ah,condition_fold,1,0.13316328577619746,0.03934242414001478,0.024032810633728335,15
primary,L2_hist_gradient_boosting,F7_c_rate_focused,capacity_Ah_k1,condition_fold,1,0.190317888195356,0.047191325325698336,0.026303340575850126,15
primary,L2_hist_gradient_boosting,F7_c_rate_focused,delta_capacity_Ah,condition_fold,1,0.20900514857786967,0.05058960776514841,0.0279204014282552,15
primary,L3_quantile_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,1,0.20426245217056035,0.048691333364466356,0.024755788940610195,15
primary,L3_quantile_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,condition_fold,1,0.18592723055316288,0.046725754813158805,0.01920759039496923,15
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,0.18561871347328238,0.049527449489846026,0.03295754220025763,15
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,1,0.13702112207732894,0.0394313037311162,0.022410718552700683,15
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,capacity_Ah_k1,condition_fold,1,0.13594545996275956,0.045124036325666965,0.032416193959973846,15
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,delta_capacity_Ah,condition_fold,1,0.15314297704821736,0.03964602549961094,0.018632701298663807,15
primary,L3_quantile_hist_gradient_boosting,F6_coupled_stress,capacity_Ah_k1,condition_fold,1,0.17294629605595868,0.048181476234037644,0.03032795179510862,15
primary,L3_quantile_hist_gradient_boosting,F6_coupled_stress,delta_capacity_Ah,condition_fold,1,0.16335790800249758,0.040578300243553585,0.020035367697771027,15
primary,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,capacity_Ah_k1,condition_fold,1,0.2086812863178955,0.04763406951940674,0.02660525602470476,15
primary,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,delta_capacity_Ah,condition_fold,1,0.20149942871260973,0.04853953352728089,0.02269336024024659,15
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,2,0.16423820323909977,0.045154925852514356,0.02462444745260409,15
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,condition_fold,2,0.14298405739929543,0.04499786870958255,0.02285066673619041,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,2,0.16270850023959052,0.043338708364908045,0.02895145401323209,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,2,0.11771900013221459,0.0331936997650011,0.026183212321047214,15
primary,L2_hist_gradient_boosting,F5_log_age_histograms,capacity_Ah_k1,condition_fold,2,0.16403986816157723,0.03883064827662094,0.025317732671314656,15
primary,L2_hist_gradient_boosting,F5_log_age_histograms,delta_capacity_Ah,condition_fold,2,0.09786651960393011,0.030106547300694245,0.02055392993337935,15
primary,L2_hist_gradient_boosting,F6_coupled_stress,capacity_Ah_k1,condition_fold,2,0.16384734283064487,0.04179838161206766,0.026353061250948554,15
primary,L2_hist_gradient_boosting,F6_coupled_stress,delta_capacity_Ah,condition_fold,2,0.07743202462769187,0.03055320094099786,0.02571122133772496,15
primary,L2_hist_gradient_boosting,F7_c_rate_focused,capacity_Ah_k1,condition_fold,2,0.18005325355325882,0.04287392534266705,0.021859780889103137,15
primary,L2_hist_gradient_boosting,F7_c_rate_focused,delta_capacity_Ah,condition_fold,2,0.16909996325497975,0.03861202893248355,0.020109300370626228,15
primary,L3_quantile_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,2,0.24415532735153736,0.049941219212116104,0.024465425292765,15
primary,L3_quantile_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,condition_fold,2,0.2608612116913998,0.04555809653128425,0.020731110588157412,15
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,2,0.25119336053502367,0.046501837593014635,0.02932005567395331,15
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,2,0.18314878977291119,0.03797559093418452,0.022566300419880128,15
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,capacity_Ah_k1,condition_fold,2,0.2508253889269282,0.04916889798761223,0.02145254764241558,15
primary,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,delta_capacity_Ah,condition_fold,2,0.21464985036489645,0.036290093443502584,0.01805333661278331,15
primary,L3_quantile_hist_gradient_boosting,F6_coupled_stress,capacity_Ah_k1,condition_fold,2,0.20520362610355722,0.045011252251855975,0.021624008609960235,15
primary,L3_quantile_hist_gradient_boosting,F6_coupled_stress,delta_capacity_Ah,condition_fold,2,0.20934726793531835,0.03544790167773386,0.015885999665437748,15
