run_scope,model_level,target,split_name,from_feature_group,to_feature_group,f4_condition_mean_mae,feature_condition_mean_mae,condition_mean_mae_gain,f4_worst_condition_mae,feature_worst_condition_mae,success_vs_f4
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.12518636786777063,0.12060529262628518,0.004581075241485447,0.2764345999580851,0.24303524846680977,True
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F6_coupled_stress,0.12518636786777063,0.1238989099943343,0.001287457873436329,0.2764345999580851,0.2568744753749343,True
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.12518636786777063,0.15123294365951614,-0.02604657579174552,0.2764345999580851,0.31418380239132243,False
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.12518636786777063,0.12244211150469492,0.002744256363075709,0.2764345999580851,0.2539914861259202,True
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.12518636786777063,0.14060992544384518,-0.015423557576074554,0.2764345999580851,0.2828354534718461,False
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.12518636786777063,0.14123424027348389,-0.01604787240571326,0.2764345999580851,0.2883111293685962,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.10113277130259181,0.10859130301129503,-0.0074585317087032255,0.193505570859936,0.23010896530342606,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F6_coupled_stress,0.10113277130259181,0.10254128410922403,-0.00140851280663222,0.193505570859936,0.2158290472215679,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.10113277130259181,0.15992102263431632,-0.05878825133172451,0.193505570859936,0.31611838400029085,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.10113277130259181,0.10251578832333012,-0.0013830170207383141,0.193505570859936,0.21193834940315578,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.10113277130259181,0.13917991973946245,-0.03804714843687064,0.193505570859936,0.2699677504478344,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.10113277130259181,0.15502890665400532,-0.05389613535141351,0.193505570859936,0.29739903766425096,False
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.19559729831178693,0.17210316231041622,0.023494136001370708,0.4024433007561317,0.34972687392621865,True
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F6_coupled_stress,0.19559729831178693,0.17652395533734708,0.019073342974439855,0.4024433007561317,0.3548878975125296,True
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.19559729831178693,0.19058678263316706,0.005010515678619876,0.4024433007561317,0.36921386459388666,True
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.19559729831178693,0.17339093276564468,0.022206365546142248,0.4024433007561317,0.3457754227687236,True
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.19559729831178693,0.17144573739756186,0.024151560914225073,0.4024433007561317,0.3195269480692133,True
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.19559729831178693,0.19667395952279967,-0.0010766612110127416,0.4024433007561317,0.3915093902109912,False
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.1823307773049594,0.1591721521021324,0.023158625202826993,0.3748515528992455,0.34503406352606697,True
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F6_coupled_stress,0.1823307773049594,0.17834662484819622,0.003984152456763174,0.3748515528992455,0.3802453050891436,True
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.1823307773049594,0.18657518067946963,-0.004244403374510236,0.3748515528992455,0.39352753857913436,False
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.1823307773049594,0.15322501864178073,0.02910575866317866,0.3748515528992455,0.32200357486969206,True
