grouping,group_value,row_count,parameter_set_count,total_intervals,mean_best_model_error,mean_persistence_error,mean_error_improvement_vs_persistence,max_best_model_error
temperature,0,6,3,38,0.13898922753144213,0.3961885185185185,0.2571992909870764,0.193505570859936
temperature,10,6,3,54,0.1446079373604227,0.4742121666666667,0.329604229306244,0.24303524846680977
temperature,25,6,3,88,0.07060708130280295,0.24385089761904763,0.17324381631624466,0.11071370426660516
temperature,40,6,3,134,0.0892718816630862,0.22516440300269905,0.13589252133961285,0.1450422257825303
voltage_window_family,approx_0_100,8,4,62,0.13904787604469843,0.43965016025641024,0.3006022842117118,0.2192951227743526
voltage_window_family,approx_10_100,8,4,72,0.13333598651226858,0.3478285020833333,0.21449251557106477,0.24303524846680977
voltage_window_family,approx_10_90,8,4,180,0.06022323333634849,0.2170833270154553,0.1568600936791068,0.10245694433960886
target,capacity_Ah_k1,12,12,157,0.12060529262628518,0.33485399645173297,0.2142487038254478,0.24303524846680977
target,delta_capacity_Ah,12,12,157,0.10113277130259181,0.33485399645173297,0.23372122514914118,0.193505570859936
parameter_set,20,2,1,12,0.18659276029223484,0.48400216666666673,0.29740940637443186,0.193505570859936
parameter_set,24,2,1,8,0.153087771492001,0.4024384999999999,0.24935072850799891,0.16573266198913394
parameter_set,28,2,1,18,0.07728715081009055,0.3021248888888889,0.22483773807879837,0.10245694433960886
parameter_set,32,2,1,12,0.17807547804389806,0.5564216666666667,0.37834618862276864,0.2192951227743526
parameter_set,36,2,1,12,0.19197728697718758,0.5571718333333334,0.36519454635614584,0.24303524846680977
parameter_set,40,2,1,30,0.0637710470601825,0.309043,0.24527195293981752,0.07326388850505909
parameter_set,44,2,1,12,0.10362007930994241,0.4149285,0.3113084206900576,0.11071370426660516
parameter_set,48,2,1,20,0.051554972514555215,0.16491580000000003,0.11336082748544482,0.058944176408148564
parameter_set,52,2,1,56,0.05664619208391122,0.15170839285714285,0.09506220077323163,0.059088853564472354
parameter_set,56,2,1,26,0.08790318653271839,0.30324830769230765,0.21534512115958926,0.09273987602261181
parameter_set,60,2,1,32,0.1367239150653305,0.266787875,0.13006395993466952,0.1450422257825303
parameter_set,64,2,1,76,0.04318854339120971,0.10545702631578949,0.062268482924579774,0.05045681347280119
interval_count_bucket,11-20,6,3,88,0.09613271621941046,0.2930263942307692,0.1968936780113588,0.1450422257825303
interval_count_bucket,6-10,12,6,86,0.13151795465798477,0.4132608092592593,0.2817428546012745,0.24303524846680977
interval_count_bucket,<=5,2,1,8,0.153087771492001,0.4024384999999999,0.24935072850799891,0.16573266198913394
interval_count_bucket,>20,4,2,132,0.04991736773756047,0.12858270958646617,0.0786653418489057,0.059088853564472354
capacity_Ah_k_range,2.4-2.6,2,1,18,0.07728715081009055,0.3021248888888889,0.22483773807879837,0.10245694433960886
capacity_Ah_k_range,2.6-2.8,10,5,78,0.1314428337750815,0.3822052882051282,0.25076245443004674,0.2192951227743526
capacity_Ah_k_range,<2.4,8,4,194,0.07508242440015848,0.20824907354323308,0.1331666491430746,0.1450422257825303
capacity_Ah_k_range,>=2.8,4,2,24,0.147798683143565,0.48605016666666667,0.3382514835231017,0.24303524846680977
delta_capacity_Ah_range,-0.4--0.2,10,5,200,0.05848958117198984,0.20664982161236428,0.1481602404403744,0.10245694433960886
delta_capacity_Ah_range,-0.6--0.4,14,7,114,0.14828292538761612,0.42642840705128204,0.278145481663666,0.24303524846680977
