target,parameter_set,best_model_level,best_feature_group,n_intervals,nominal_temperature_C,voltage_window_family,aging_mode,nominal_charge_C_rate,nominal_discharge_C_rate,capacity_Ah_k_min,capacity_Ah_k_max,delta_capacity_Ah_min,delta_capacity_Ah_max,capacity_Ah_k_bin,interval_count_bucket,mae,rmse,signed_bias,worst_abs_error
capacity_Ah_k1,20,L2_hist_gradient_boosting,F5_log_age_histograms,6,0.0,approx_0_100,cyclic,1.67,1.0,2.436837,2.960741,-0.5084960000000001,-0.43444600000000033,2.6-2.8,6-10,0.1796799497245337,0.19906205659816378,0.1796799497245337,0.25547852627865275
capacity_Ah_k1,24,L2_hist_gradient_boosting,F5_log_age_histograms,4,0.0,approx_10_100,cyclic,1.67,1.0,2.600172,2.965758,-0.5203690000000001,-0.3411109999999997,2.6-2.8,<=5,0.16573266198913394,0.1737638241267107,0.16573266198913394,0.21875185223925397
capacity_Ah_k1,28,L2_hist_gradient_boosting,F5_log_age_histograms,9,0.0,approx_10_90,cyclic,1.67,1.0,2.165215,2.953233,-0.658995,-0.12034100000000025,2.4-2.6,6-10,0.10245694433960886,0.14833159982166852,0.06317046676360033,0.2750216252606936
capacity_Ah_k1,32,L2_hist_gradient_boosting,F5_log_age_histograms,6,10.0,approx_0_100,cyclic,1.67,1.0,2.510441,2.953367,-0.7241760000000002,-0.38708600000000004,2.6-2.8,6-10,0.2192951227743526,0.23194572620817552,0.2192951227743526,0.3097547344387457
capacity_Ah_k1,36,L2_hist_gradient_boosting,F5_log_age_histograms,6,10.0,approx_10_100,cyclic,1.67,1.0,2.71593,2.960961,-0.914908,-0.20840100000000028,>=2.8,6-10,0.24303524846680977,0.30042013981172333,0.24303524846680977,0.4474947764466366
capacity_Ah_k1,40,L2_hist_gradient_boosting,F5_log_age_histograms,15,10.0,approx_10_90,cyclic,1.67,1.0,1.76589,2.954731,-0.6436570000000001,-0.08585299999999974,<2.4,11-20,0.0542782056153059,0.07323454075612694,0.0437912262108877,0.17459323449504582
capacity_Ah_k1,44,L2_hist_gradient_boosting,F5_log_age_histograms,6,25.0,approx_0_100,cyclic,1.67,1.0,2.669757,2.943481,-0.7443970000000002,-0.26029800000000014,>=2.8,6-10,0.11071370426660516,0.1636183231328462,0.11071370426660516,0.3496853459161957
capacity_Ah_k1,48,L2_hist_gradient_boosting,F5_log_age_histograms,10,25.0,approx_10_100,cyclic,1.67,1.0,2.607955,2.949584,-0.3400500000000002,-0.09212599999999993,2.6-2.8,6-10,0.044165768620961866,0.0689403001383167,0.02606146868822994,0.17380648968556
capacity_Ah_k1,52,L2_hist_gradient_boosting,F5_log_age_histograms,28,25.0,approx_10_90,cyclic,1.67,1.0,1.574432,2.956941,-0.5935480000000002,0.0005739999999998524,<2.4,>20,0.05420353060335009,0.08287769062239235,-0.0010919277773052444,0.22871788377893276
capacity_Ah_k1,56,L2_hist_gradient_boosting,F5_log_age_histograms,13,40.0,approx_0_100,cyclic,1.67,1.0,2.255007,2.960927,-0.917646,-0.13640000000000008,2.6-2.8,11-20,0.09273987602261181,0.16031689739944024,0.060192897603667146,0.42725400079925624
