target,parameter_set,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,n_intervals,best_stress_model_level,best_stress_feature_group,stress_model_error,baseline_f4_error,gain_vs_f4,l0_error,gain_vs_l0
capacity_Ah_k1,20,0.0,approx_0_100,1.67,6,L2_hist_gradient_boosting,F5_log_age_histograms,0.1796799497245337,0.17642527061430222,-0.003254679110231473,0.48400216666666673,0.304322216942133
capacity_Ah_k1,24,0.0,approx_10_100,1.67,4,L2_hist_gradient_boosting,F5_log_age_histograms,0.16573266198913394,0.15435262638693859,-0.01138003560219536,0.4024384999999999,0.23670583801086598
capacity_Ah_k1,28,0.0,approx_10_90,1.67,9,L2_hist_gradient_boosting,F5_log_age_histograms,0.10245694433960886,0.08104773569256121,-0.02140920864704765,0.3021248888888889,0.19966794454928002
capacity_Ah_k1,32,10.0,approx_0_100,1.67,6,L2_hist_gradient_boosting,F5_log_age_histograms,0.2192951227743526,0.24736463530699904,0.028069512532646446,0.5564216666666667,0.3371265438923141
capacity_Ah_k1,36,10.0,approx_10_100,1.67,6,L2_hist_gradient_boosting,F5_log_age_histograms,0.24303524846680977,0.2764345999580851,0.03339935149127535,0.5571718333333334,0.3141365848665236
capacity_Ah_k1,40,10.0,approx_10_90,1.67,15,L2_hist_gradient_boosting,F5_log_age_histograms,0.0542782056153059,0.049188343128470154,-0.005089862486835746,0.309043,0.2547647943846941
capacity_Ah_k1,44,25.0,approx_0_100,1.67,6,L2_hist_gradient_boosting,F5_log_age_histograms,0.11071370426660516,0.1085274080092568,-0.002186296257348369,0.4149285,0.3042147957333948
capacity_Ah_k1,48,25.0,approx_10_100,1.67,10,L2_hist_gradient_boosting,F5_log_age_histograms,0.044165768620961866,0.036942012274586974,-0.007223756346374892,0.16491580000000003,0.12075003137903817
capacity_Ah_k1,52,25.0,approx_10_90,1.67,28,L2_hist_gradient_boosting,F5_log_age_histograms,0.05420353060335009,0.05025047870125591,-0.003953051902094183,0.15170839285714285,0.09750486225379276
capacity_Ah_k1,56,40.0,approx_0_100,1.67,13,L2_hist_gradient_boosting,F5_log_age_histograms,0.09273987602261181,0.13105580982461823,0.038315933802006416,0.30324830769230765,0.21050843166969585
capacity_Ah_k1,60,40.0,approx_10_100,1.67,16,L2_hist_gradient_boosting,F5_log_age_histograms,0.1450422257825303,0.1474089691190151,0.0023667433364848167,0.266787875,0.12174564921746972
capacity_Ah_k1,64,40.0,approx_10_90,1.67,38,L2_hist_gradient_boosting,F5_log_age_histograms,0.035920273309618236,0.04323852539715805,0.007318252087539813,0.10545702631578949,0.06953675300617125
delta_capacity_Ah,20,0.0,approx_0_100,1.67,6,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.1403528862389085,0.193505570859936,0.05315268462102751,0.48400216666666673,0.3436492804277582
delta_capacity_Ah,24,0.0,approx_10_100,1.67,4,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.1615846721623137,0.14044288099486807,-0.021141791167445634,0.4024384999999999,0.24085382783768622
delta_capacity_Ah,28,0.0,approx_10_90,1.67,9,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.06552128588912921,0.052117357280572235,-0.013403928608556978,0.3021248888888889,0.2366036029997597
delta_capacity_Ah,32,10.0,approx_0_100,1.67,6,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.1858411304557039,0.1368558333134435,-0.04898529714226041,0.5564216666666667,0.37058053621096276
delta_capacity_Ah,36,10.0,approx_10_100,1.67,6,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.21193834940315578,0.1409193254875654,-0.0710190239155904,0.5571718333333334,0.3452334839301776
delta_capacity_Ah,40,10.0,approx_10_90,1.67,15,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.059720182636291023,0.07326388850505909,0.013543705868768068,0.309043,0.24932281736370898
delta_capacity_Ah,44,25.0,approx_0_100,1.67,6,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.08976077844054547,0.09652645435327967,0.0067656759127341926,0.4149285,0.3251677215594545
delta_capacity_Ah,48,25.0,approx_10_100,1.67,10,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.03236869179276903,0.058944176408148564,0.026575484615379535,0.16491580000000003,0.132547108207231
delta_capacity_Ah,52,25.0,approx_10_90,1.67,28,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.06267820770028784,0.059088853564472354,-0.003589354135815487,0.15170839285714285,0.08903018515685501
delta_capacity_Ah,56,40.0,approx_0_100,1.67,13,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.06075440816102948,0.08306649704282495,0.022312088881795478,0.30324830769230765,0.24249389953127817
delta_capacity_Ah,60,40.0,approx_10_100,1.67,16,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.1301203114532977,0.1284056043481307,-0.001714707105166996,0.266787875,0.13666756354670231
delta_capacity_Ah,64,40.0,approx_10_90,1.67,38,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.029548555546529687,0.05045681347280119,0.020908257926271503,0.10545702631578949,0.0759084707692598
