run_scope,model_level,feature_group,split_name,heldout_fold,target,target_path,test_rows,test_parameter_sets,mae,rmse,signed_bias,condition_mean_mae,condition_median_mae,worst_condition_mae
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,c_rate_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,157,12,0.12107738719532432,0.1954137205258397,0.09075817760161208,0.15502890665400532,0.15106300246826077,0.29739903766425085
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,0,capacity_Ah_k1,derived_capacity_from_delta,844,16,0.030776085155019846,0.07133948392301555,-0.00989606528755319,0.04792019851096544,0.05461866785427434,0.14834136650110397
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,1,capacity_Ah_k1,derived_capacity_from_delta,865,15,0.029200804644156413,0.07265219470597384,-0.0072683176332631475,0.05777818631709149,0.03314132932175101,0.21673129783738584
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,2,capacity_Ah_k1,derived_capacity_from_delta,892,15,0.025258990137466734,0.05895730780949899,-0.006746940870755852,0.048733504420552756,0.020248048307183655,0.20770241763246725
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,3,capacity_Ah_k1,derived_capacity_from_delta,509,15,0.04237550543553848,0.10128757599631905,0.01471518346078054,0.08863271615109507,0.08632797428966146,0.31880468611235147
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,4,capacity_Ah_k1,derived_capacity_from_delta,717,15,0.028484243643316202,0.06369702730616238,0.002208565754844837,0.06238017597728326,0.04385245425499395,0.23637738749657908
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,temperature_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,742,19,0.030695770175819398,0.0919037460853391,0.013454169919202601,0.07670909574961265,0.06379798205443823,0.2936675589941423
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,temperature_holdout_fold,2,capacity_Ah_k1,derived_capacity_from_delta,1060,19,0.03642687389721168,0.09023011342919299,0.004203141983255988,0.05840918575015089,0.04145065652233525,0.1832545963734644
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,voltage_window_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,1130,28,0.06693274004803332,0.10192972983147161,-0.020354575682469612,0.09020391096661011,0.0915681212608895,0.17479695081714797
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,voltage_window_holdout_fold,2,capacity_Ah_k1,derived_capacity_from_delta,1371,32,0.07605166737600878,0.11583699941052722,-0.04464425237642057,0.11224219110729419,0.08540671014076803,0.34186653716627996
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,voltage_window_holdout_fold,3,capacity_Ah_k1,derived_capacity_from_delta,1326,16,0.009051610125695024,0.012715705765632454,0.0011936088544951013,0.009144268362330092,0.008095316432845043,0.019793699095513578
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,c_rate_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,157,12,0.08173421578436833,0.12616470780674297,0.024723335794427946,0.10113277130259181,0.08979647569805234,0.19350557085993594
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,0,capacity_Ah_k1,derived_capacity_from_delta,844,16,0.02444838925807841,0.060576018235179135,-0.0023574242824954466,0.038752218090424374,0.035243211484538295,0.0965542008254266
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,1,capacity_Ah_k1,derived_capacity_from_delta,865,15,0.021790126448592774,0.06467181940778792,0.00011376963559875241,0.042799950401701946,0.02321924562082307,0.18312179107343565
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,2,capacity_Ah_k1,derived_capacity_from_delta,892,15,0.020846481229092835,0.05150588513390791,-0.006545863298625634,0.0331936997650011,0.026183212321047204,0.11771900013221455
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,3,capacity_Ah_k1,derived_capacity_from_delta,509,15,0.03759534005791168,0.08289348715161227,0.01146704665106919,0.06214658171231007,0.048664820025671185,0.18041083460685808
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,4,capacity_Ah_k1,derived_capacity_from_delta,717,15,0.027395824588282523,0.05726079251224311,-0.011921820253346723,0.04633214816159763,0.055903144482367495,0.10467993386705583
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,temperature_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,742,19,0.026389274695834682,0.07725176648674587,0.012274927507274502,0.05509724136142808,0.053644432041131326,0.16868537789777532
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,temperature_holdout_fold,2,capacity_Ah_k1,derived_capacity_from_delta,1060,19,0.03043876188398008,0.07775417059959955,0.005977313691029275,0.04205229396326713,0.042041150480066854,0.1230188401080574
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,voltage_window_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,1130,28,0.07343765636664401,0.10206529820530773,-0.039317491829322905,0.08401601520595645,0.0672919431447255,0.2075875014496974
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,voltage_window_holdout_fold,2,capacity_Ah_k1,derived_capacity_from_delta,1371,32,0.08803542608995531,0.11759414465211317,-0.06158159922791931,0.11245078548114436,0.10242171387104511,0.23156628869754367
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,voltage_window_holdout_fold,3,capacity_Ah_k1,derived_capacity_from_delta,1326,16,0.01609333437086011,0.02253909073413733,-0.013551966673407643,0.016067319493402087,0.014920862319751003,0.02724177188592533
primary,L2_hist_gradient_boosting,F5_log_age_histograms,c_rate_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,157,12,0.08088121372333436,0.13097219354950762,0.03859638067648045,0.10859130301129503,0.08359606193959127,0.23010896530342606
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,0,capacity_Ah_k1,derived_capacity_from_delta,844,16,0.027631479042102287,0.06517856597494424,-0.006647599366041115,0.03999317794458675,0.03461719860074453,0.13357425984234628
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,1,capacity_Ah_k1,derived_capacity_from_delta,865,15,0.02032877386226231,0.062455990852340056,0.0014537426301086485,0.03964290329377315,0.02131480717198481,0.17153293304126416
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,2,capacity_Ah_k1,derived_capacity_from_delta,892,15,0.02122155381451264,0.049228279172732696,-0.009675730313753223,0.03186480400489274,0.0277548126076878,0.09713324791273255
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,3,capacity_Ah_k1,derived_capacity_from_delta,509,15,0.03576492511077143,0.08011857633720798,0.009020578875097008,0.06083129903987221,0.06185532622974662,0.16620084196791235
