run_scope,model_level,feature_group,split_name,heldout_fold,target,target_path,test_rows,test_parameter_sets,mae,rmse,signed_bias,condition_mean_mae,condition_median_mae,worst_condition_mae
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,c_rate_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,157,12,0.10754201883388906,0.18323191740212086,0.07376113207293307,0.14123424027348389,0.14859583044443592,0.2883111293685962
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,0,delta_capacity_Ah,derived_delta_from_capacity,844,16,0.03562094778383314,0.08229685424068764,-0.013645153456470167,0.05366453159795412,0.054175585072928356,0.12851112934692044
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,1,delta_capacity_Ah,derived_delta_from_capacity,865,15,0.025756457681279522,0.07024549040034128,-0.0004520611736458002,0.044096682028508825,0.03686493297272436,0.14610911317050423
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,2,delta_capacity_Ah,derived_delta_from_capacity,892,15,0.02762527721888122,0.05966430009049733,-0.009698162813533626,0.0442006946141991,0.028320113069513313,0.14898528725830948
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,3,delta_capacity_Ah,derived_delta_from_capacity,509,15,0.04473854805677241,0.10742577224137832,0.014014747016030688,0.08775949268006926,0.06452238296901298,0.3101508848179753
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,4,delta_capacity_Ah,derived_delta_from_capacity,717,15,0.030732285001383766,0.06647629422744564,-0.0010266800880914283,0.0680742062175186,0.05203195699824963,0.30439583218438376
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,temperature_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,742,19,0.0341120841239251,0.09482939809651891,0.014417710026296996,0.07908690304888098,0.05638127498246377,0.34321785838408836
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,temperature_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1060,19,0.04132525103440087,0.10051418223511766,0.002081760490151994,0.0652056603048177,0.0622356653697355,0.1956134866735682
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,voltage_window_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,1130,28,0.09411923421553406,0.1469853814845466,-0.04560943484301431,0.13791195144523608,0.14366402353679042,0.32259016281366154
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,voltage_window_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1371,32,0.0621977305167824,0.10866778384184209,-0.009572947358551749,0.10281619067668192,0.07751216855783268,0.39902957171096376
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,voltage_window_holdout_fold,3,delta_capacity_Ah,derived_delta_from_capacity,1326,16,0.0408665353065953,0.06506586802838903,-0.038576464588785074,0.04066835094542693,0.04297173235152342,0.05555705173362562
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,c_rate_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,157,12,0.09184040307093654,0.15916538230897417,0.06340955296695648,0.12518636786777063,0.11979160891693752,0.2764345999580851
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,0,delta_capacity_Ah,derived_delta_from_capacity,844,16,0.03289566008635639,0.0790204322586334,-0.0077617600518483315,0.049542362568819345,0.04718412255773119,0.10158600719528497
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,1,delta_capacity_Ah,derived_delta_from_capacity,865,15,0.023721165332869068,0.06695258143478335,0.0012959097928733304,0.04127612923393777,0.022615685435534008,0.13810249788612447
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,2,delta_capacity_Ah,derived_delta_from_capacity,892,15,0.026476190606182278,0.05727699354486589,-0.008233020367761617,0.043338708364908045,0.02895145401323209,0.16270850023959052
