run_scope,model_level,feature_group,split_name,heldout_fold,target,direct_path,derived_path,direct_mae,derived_mae,derived_minus_direct_mae,derived_better,direct_condition_mean_mae,derived_condition_mean_mae,derived_minus_direct_condition_mean_mae
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,c_rate_holdout_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.10754201883388906,0.12107738719532432,0.013535368361435263,False,0.14123424027348389,0.15502890665400532,0.013794666380521431
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,c_rate_holdout_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.12107738719532432,0.10754201883388906,-0.013535368361435263,True,0.15502890665400532,0.14123424027348389,-0.013794666380521431
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,0,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.03562094778383314,0.030776085155019846,-0.0048448626288132915,True,0.05366453159795412,0.04792019851096544,-0.0057443330869886775
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,0,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.030776085155019853,0.03562094778383314,0.0048448626288132846,False,0.04792019851096544,0.05366453159795412,0.0057443330869886775
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.025756457681279522,0.029200804644156413,0.0034443469628768902,False,0.044096682028508825,0.05777818631709149,0.013681504288582662
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.02920080464415641,0.025756457681279522,-0.0034443469628768868,True,0.057778186317091466,0.044096682028508825,-0.013681504288582641
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,2,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.02762527721888122,0.025258990137466734,-0.0023662870814144844,True,0.0442006946141991,0.048733504420552756,0.004532809806353656
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,2,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.025258990137466755,0.02762527721888122,0.0023662870814144636,False,0.04873350442055278,0.0442006946141991,-0.004532809806353677
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,3,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.04473854805677241,0.04237550543553848,-0.002363042621233928,True,0.08775949268006926,0.08863271615109507,0.000873223471025808
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,3,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.04237550543553849,0.04473854805677241,0.002363042621233921,False,0.08863271615109508,0.08775949268006926,-0.0008732234710258219
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,4,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.030732285001383766,0.028484243643316202,-0.0022480413580675644,True,0.0680742062175186,0.06238017597728326,-0.005694030240235341
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,4,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.028484243643316202,0.030732285001383766,0.0022480413580675644,False,0.06238017597728325,0.0680742062175186,0.005694030240235348
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,temperature_holdout_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.0341120841239251,0.030695770175819398,-0.0034163139481057023,True,0.07908690304888098,0.07670909574961265,-0.002377807299268328
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,temperature_holdout_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.030695770175819388,0.0341120841239251,0.0034163139481057127,False,0.07670909574961264,0.07908690304888098,0.002377807299268342
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,temperature_holdout_fold,2,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.04132525103440087,0.03642687389721168,-0.004898377137189193,True,0.0652056603048177,0.05840918575015089,-0.006796474554666809
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,temperature_holdout_fold,2,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.03642687389721168,0.04132525103440087,0.004898377137189193,False,0.0584091857501509,0.0652056603048177,0.006796474554666795
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,voltage_window_holdout_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.09411923421553406,0.06693274004803332,-0.02718649416750074,True,0.13791195144523608,0.09020391096661011,-0.047708040478625965
