run_scope,model_level,target,split_name,from_feature_group,to_feature_group,f4_condition_mean_mae,feature_condition_mean_mae,condition_mean_mae_gain,f4_worst_condition_mae,feature_worst_condition_mae,success_vs_f4
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.12518636786777063,0.12060529262628518,0.004581075241485447,0.2764345999580851,0.24303524846680977,True
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F6_coupled_stress,0.12518636786777063,0.1238989099943343,0.001287457873436329,0.2764345999580851,0.2568744753749343,True
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.12518636786777063,0.15123294365951614,-0.02604657579174552,0.2764345999580851,0.31418380239132243,False
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.12518636786777063,0.12244211150469492,0.002744256363075709,0.2764345999580851,0.2539914861259202,True
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.12518636786777063,0.14060992544384518,-0.015423557576074554,0.2764345999580851,0.2828354534718461,False
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.12518636786777063,0.14123424027348389,-0.01604787240571326,0.2764345999580851,0.2883111293685962,False
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.05392666527617392,0.053204946686315646,0.0007217185898582765,0.2588867309972366,0.23444861570627773,True
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F4_state_log_age_scalar,F6_coupled_stress,0.05392666527617392,0.0529301385904567,0.0009965266857172236,0.2588867309972366,0.25468187166003275,True
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.05392666527617392,0.06278747063032113,-0.008860805354147204,0.2588867309972366,0.3111204066897637,False
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.05392666527617392,0.05357260418838129,0.00035406108779263007,0.2588867309972366,0.2578082469271345,True
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.05392666527617392,0.05528028158416026,-0.0013536163079863398,0.2588867309972366,0.29423298088063987,False
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.05392666527617392,0.059559121427649984,-0.005632456151476062,0.2588867309972366,0.3101508848179753,False
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.06929389733378725,0.06552545605153345,0.003768441282253801,0.2782085808786395,0.27275148409934113,True
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F4_state_log_age_scalar,F6_coupled_stress,0.06929389733378725,0.0641161170675708,0.0051777802662164585,0.2782085808786395,0.2878027823829729,True
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.06929389733378725,0.07049886868753326,-0.0012049713537460038,0.2782085808786395,0.331303668598275,False
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.06929389733378725,0.06426764374153762,0.005026253592249633,0.2782085808786395,0.27110814311431214,True
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.06929389733378725,0.0685249216026893,0.0007689757310979511,0.2782085808786395,0.3051672746513189,True
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.06929389733378725,0.07214628167684933,-0.0028523843430620782,0.2782085808786395,0.34321785838408836,False
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.08441287861354206,0.17338565841570078,-0.08897277980215872,0.3603624225203877,0.41833012587148144,False
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F4_state_log_age_scalar,F6_coupled_stress,0.08441287861354206,0.1676390360428036,-0.08322615742926155,0.3603624225203877,0.40738228631561274,False
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.08441287861354206,0.1312610723227868,-0.04684819370924474,0.3603624225203877,0.4344824886292166,False
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.08441287861354206,0.17064715207936518,-0.08623427346582312,0.3603624225203877,0.41067939456658337,False
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.08441287861354206,0.1831208172115598,-0.09870793859801773,0.3603624225203877,0.4526583951188319,False
