run_scope,model_level,target,split_name,from_feature_group,to_feature_group,from_condition_mean_mae,to_condition_mean_mae,condition_mean_mae_gain,from_worst_condition_mae,to_worst_condition_mae,worst_condition_mae_gain
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.12518636786777063,0.12060529262628518,0.004581075241485447,0.2764345999580851,0.24303524846680977,0.03339935149127535
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F5_log_age_histograms,F6_coupled_stress,0.12060529262628518,0.1238989099943343,-0.0032936173680491176,0.24303524846680977,0.2568744753749343,-0.01383922690812453
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F6_coupled_stress,F7_c_rate_focused,0.1238989099943343,0.15123294365951614,-0.027334033665181848,0.2568744753749343,0.31418380239132243,-0.057309327016388134
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F7_c_rate_focused,F8_timestamp_weighted_stress,0.15123294365951614,0.12244211150469492,0.028790832154821228,0.31418380239132243,0.2539914861259202,0.060192316265402224
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F8_timestamp_weighted_stress,F9_event_segmented_stress,0.12244211150469492,0.14060992544384518,-0.018167813939150262,0.2539914861259202,0.2828354534718461,-0.02884396734592587
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F9_event_segmented_stress,F10_c_rate_v1_1,0.14060992544384518,0.14123424027348389,-0.0006243148296387058,0.2828354534718461,0.2883111293685962,-0.005475675896750132
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.05392666527617392,0.053204946686315646,0.0007217185898582765,0.2588867309972366,0.23444861570627773,0.02443811529095885
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F5_log_age_histograms,F6_coupled_stress,0.053204946686315646,0.0529301385904567,0.00027480809585894717,0.23444861570627773,0.25468187166003275,-0.020233255953755025
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F6_coupled_stress,F7_c_rate_focused,0.0529301385904567,0.06278747063032113,-0.009857332039864428,0.25468187166003275,0.3111204066897637,-0.05643853502973095
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F7_c_rate_focused,F8_timestamp_weighted_stress,0.06278747063032113,0.05357260418838129,0.009214866441939834,0.3111204066897637,0.2578082469271345,0.05331215976262921
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F8_timestamp_weighted_stress,F9_event_segmented_stress,0.05357260418838129,0.05528028158416026,-0.0017076773957789698,0.2578082469271345,0.29423298088063987,-0.03642473395350537
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F9_event_segmented_stress,F10_c_rate_v1_1,0.05528028158416026,0.059559121427649984,-0.004278839843489722,0.29423298088063987,0.3101508848179753,-0.015917903937335443
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.06929389733378725,0.06552545605153345,0.003768441282253801,0.2782085808786395,0.27275148409934113,0.005457096779298343
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F5_log_age_histograms,F6_coupled_stress,0.06552545605153345,0.0641161170675708,0.0014093389839626574,0.27275148409934113,0.2878027823829729,-0.015051298283631775
