run_scope,model_level,feature_group,target,split_name,fold_count,mean_mae,mean_rmse,condition_mean_mae,condition_median_mae,worst_condition_mae,q10_q90_interval_coverage,q10_q90_interval_width_mean,pinball_loss_q10,pinball_loss_q50,pinball_loss_q90,test_rows,test_parameter_sets
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,capacity_Ah_k1,c_rate_holdout_fold,1,0.10754201883388906,0.18323191740212086,0.14123424027348389,0.14859583044443592,0.2883111293685962,,,,,,157,12
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,capacity_Ah_k1,condition_fold,5,0.03289470314843001,0.07722174224007004,0.059559121427649984,0.04718299421648573,0.3101508848179753,,,,,,3827,76
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,capacity_Ah_k1,temperature_holdout_fold,2,0.037718667579162986,0.09767179016581828,0.07214628167684933,0.05930847017609964,0.34321785838408836,,,,,,1802,38
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,capacity_Ah_k1,voltage_window_holdout_fold,3,0.06572783334630393,0.10690634445159257,0.0937988310224483,0.08804930814871552,0.39902957171096376,,,,,,3827,76
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,delta_capacity_Ah,c_rate_holdout_fold,1,0.12107738719532432,0.1954137205258397,0.15502890665400532,0.15106300246826077,0.29739903766425096,,,,,,157,12
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,delta_capacity_Ah,condition_fold,5,0.03121912580309954,0.07358671794819396,0.0610889562753976,0.04763769480557288,0.3188046861123515,,,,,,3827,76
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,delta_capacity_Ah,temperature_holdout_fold,2,0.03356132203651553,0.09106692975726605,0.06755914074988177,0.052624319288386776,0.2936675589941423,,,,,,1802,38
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,delta_capacity_Ah,voltage_window_holdout_fold,3,0.05067867251657904,0.0768274783358771,0.0705301234787448,0.06169004927816754,0.34186653716628007,,,,,,3827,76
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,0.09184040307093654,0.15916538230897417,0.12518636786777063,0.11979160891693752,0.2764345999580851,,,,,,157,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,5,0.030995424062215438,0.07218590001186348,0.05392666527617392,0.04475224925416543,0.2588867309972366,,,,,,3827,76
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,2,0.03871997782735417,0.09228357738144016,0.06929389733378725,0.05925269097387954,0.2782085808786395,,,,,,1802,38
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,3,0.06239438477866092,0.09793486716838541,0.08441287861354206,0.07963764587076089,0.3603624225203877,,,,,,3827,76
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.08173421578436833,0.12616470780674297,0.10113277130259181,0.08979647569805231,0.193505570859936,,,,,,157,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,5,0.026415232316391646,0.06338160048814606,0.044644919626207015,0.037842726786889436,0.18312179107343562,,,,,,3827,76
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,2,0.02841401828990739,0.0775029685431727,0.04857476766234761,0.04784279126059907,0.16868537789777535,,,,,,1802,38
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,3,0.05918880560915315,0.0807328445305194,0.07084470672683431,0.061544839778507214,0.2315662886975436,,,,,,3827,76
primary,L2_hist_gradient_boosting,F5_log_age_histograms,capacity_Ah_k1,c_rate_holdout_fold,1,0.08768268351796027,0.14797699971343037,0.12060529262628518,0.10658532430310702,0.24303524846680977,,,,,,157,12
primary,L2_hist_gradient_boosting,F5_log_age_histograms,capacity_Ah_k1,condition_fold,5,0.03150700013462619,0.07183582404934866,0.053204946686315646,0.04432339982476973,0.23444861570627773,,,,,,3827,76
primary,L2_hist_gradient_boosting,F5_log_age_histograms,capacity_Ah_k1,temperature_holdout_fold,2,0.03706029978240128,0.0887627312883531,0.06552545605153345,0.052430561697703396,0.27275148409934113,,,,,,1802,38
primary,L2_hist_gradient_boosting,F5_log_age_histograms,capacity_Ah_k1,voltage_window_holdout_fold,3,0.15231362612506158,0.1945070931982897,0.17338565841570078,0.18139903369957033,0.41833012587148144,,,,,,3827,76
primary,L2_hist_gradient_boosting,F5_log_age_histograms,delta_capacity_Ah,c_rate_holdout_fold,1,0.08088121372333434,0.13097219354950762,0.10859130301129503,0.08359606193959132,0.23010896530342606,,,,,,157,12
primary,L2_hist_gradient_boosting,F5_log_age_histograms,delta_capacity_Ah,condition_fold,5,0.02555157372157623,0.06091368207086791,0.041947367860054485,0.038998907640701956,0.17153293304126419,,,,,,3827,76
primary,L2_hist_gradient_boosting,F5_log_age_histograms,delta_capacity_Ah,temperature_holdout_fold,2,0.03066133508357153,0.0766421949917317,0.04886140183114461,0.04416719099731708,0.17200590401263677,,,,,,1802,38
primary,L2_hist_gradient_boosting,F5_log_age_histograms,delta_capacity_Ah,voltage_window_holdout_fold,3,0.13008969703927253,0.1530448378597772,0.14231592111184246,0.1398068535481369,0.26018463142187825,,,,,,3827,76
primary,L2_hist_gradient_boosting,F6_coupled_stress,capacity_Ah_k1,c_rate_holdout_fold,1,0.08821333355968536,0.14834268727026897,0.1238989099943343,0.10378848649383732,0.2568744753749343,,,,,,157,12
primary,L2_hist_gradient_boosting,F6_coupled_stress,capacity_Ah_k1,condition_fold,5,0.03125858751249336,0.0722953235786827,0.0529301385904567,0.04338022604589734,0.25468187166003275,,,,,,3827,76
primary,L2_hist_gradient_boosting,F6_coupled_stress,capacity_Ah_k1,temperature_holdout_fold,2,0.037083284429628716,0.08993967735904418,0.0641161170675708,0.05457379483605955,0.2878027823829729,,,,,,1802,38
primary,L2_hist_gradient_boosting,F6_coupled_stress,capacity_Ah_k1,voltage_window_holdout_fold,3,0.14600185081792735,0.18682374966433793,0.1676390360428036,0.17203026970252125,0.40738228631561274,,,,,,3827,76
primary,L2_hist_gradient_boosting,F6_coupled_stress,delta_capacity_Ah,c_rate_holdout_fold,1,0.07673710686748358,0.12145528463974861,0.10254128410922403,0.08321563199469256,0.2158290472215679,,,,,,157,12
primary,L2_hist_gradient_boosting,F6_coupled_stress,delta_capacity_Ah,condition_fold,5,0.025403074204436625,0.06079695056077209,0.04225526500214237,0.03458005902102364,0.17234662077666132,,,,,,3827,76
primary,L2_hist_gradient_boosting,F6_coupled_stress,delta_capacity_Ah,temperature_holdout_fold,2,0.029254287954440378,0.07427236540296756,0.048071706984308925,0.041598079320365064,0.1414521626024517,,,,,,1802,38
primary,L2_hist_gradient_boosting,F6_coupled_stress,delta_capacity_Ah,voltage_window_holdout_fold,3,0.1229957674877848,0.1470138122928622,0.13491693532158888,0.12873572069208586,0.23907732851825372,,,,,,3827,76
primary,L2_hist_gradient_boosting,F7_c_rate_focused,capacity_Ah_k1,c_rate_holdout_fold,1,0.11158117589671784,0.18616122577588654,0.15123294365951614,0.14556537880873627,0.31418380239132243,,,,,,157,12
primary,L2_hist_gradient_boosting,F7_c_rate_focused,capacity_Ah_k1,condition_fold,5,0.03439318165488699,0.07847374747178579,0.06278747063032113,0.049374263059530354,0.3111204066897637,,,,,,3827,76
primary,L2_hist_gradient_boosting,F7_c_rate_focused,capacity_Ah_k1,temperature_holdout_fold,2,0.03744030778721674,0.09517927727723763,0.07049886868753326,0.05816285464236283,0.331303668598275,,,,,,1802,38
primary,L2_hist_gradient_boosting,F7_c_rate_focused,capacity_Ah_k1,voltage_window_holdout_fold,3,0.10463071471452197,0.14756426603531078,0.1312610723227868,0.12075777005507742,0.4344824886292166,,,,,,3827,76
primary,L2_hist_gradient_boosting,F7_c_rate_focused,delta_capacity_Ah,c_rate_holdout_fold,1,0.11816146372027818,0.1908420965477729,0.15992102263431632,0.15981501997654915,0.31611838400029085,,,,,,157,12
primary,L2_hist_gradient_boosting,F7_c_rate_focused,delta_capacity_Ah,condition_fold,5,0.030915826196030734,0.07001450855344149,0.05638762939087991,0.044086159683610106,0.23901348904277964,,,,,,3827,76
primary,L2_hist_gradient_boosting,F7_c_rate_focused,delta_capacity_Ah,temperature_holdout_fold,2,0.03156495611621622,0.08545973169145045,0.06382188336835336,0.04720226798107241,0.27021738372040355,,,,,,1802,38
primary,L2_hist_gradient_boosting,F7_c_rate_focused,delta_capacity_Ah,voltage_window_holdout_fold,3,0.1071742606674911,0.13549078254628286,0.12741773946815294,0.10510976070856319,0.31627813046268105,,,,,,3827,76
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,c_rate_holdout_fold,1,0.08814494356804406,0.14958573796285973,0.12244211150469492,0.10792304693682522,0.2539914861259202,,,,,,157,12
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,condition_fold,5,0.031447922865746145,0.07237443538058565,0.05357260418838129,0.04404255391201638,0.2578082469271345,,,,,,3827,76
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,temperature_holdout_fold,2,0.03714096089602312,0.08972053789283846,0.06426764374153762,0.05214096446431114,0.27110814311431214,,,,,,1802,38
