model_level,feature_group,target,split_name,heldout_fold,primary_mae,sensitivity_mae,primary_minus_sensitivity_mae,primary_condition_mean_mae,sensitivity_condition_mean_mae,primary_minus_sensitivity_condition_mean_mae
L2_hist_gradient_boosting,F10_c_rate_v1_1,capacity_Ah_k1,c_rate_holdout_fold,1,0.10754201883388906,0.1196202464807394,-0.012078227646850348,0.14123424027348389,0.14717307217958372,-0.00593883190609984
L2_hist_gradient_boosting,F10_c_rate_v1_1,capacity_Ah_k1,condition_fold,0,0.03562094778383314,0.037622095406440195,-0.002001147622607058,0.05366453159795412,0.05546668078474285,-0.0018021491867887332
L2_hist_gradient_boosting,F10_c_rate_v1_1,capacity_Ah_k1,condition_fold,1,0.025756457681279522,0.025688549542596674,6.79081386828484e-05,0.044096682028508825,0.04201018390695567,0.0020864981215531556
L2_hist_gradient_boosting,F10_c_rate_v1_1,capacity_Ah_k1,condition_fold,2,0.02762527721888122,0.02885818970392834,-0.0012329124850471197,0.0442006946141991,0.05010568279735001,-0.005904988183150911
L2_hist_gradient_boosting,F10_c_rate_v1_1,capacity_Ah_k1,condition_fold,3,0.04473854805677241,0.04909693656981078,-0.0043583885130383734,0.08775949268006926,0.0913164306700255,-0.003556937989956238
L2_hist_gradient_boosting,F10_c_rate_v1_1,capacity_Ah_k1,condition_fold,4,0.030732285001383766,0.03349287822311069,-0.002760593221726927,0.0680742062175186,0.069952407220348,-0.0018782010028293994
L2_hist_gradient_boosting,F10_c_rate_v1_1,capacity_Ah_k1,temperature_holdout_fold,1,0.0341120841239251,0.039206969005146745,-0.005094884881221645,0.07908690304888098,0.0845117234286984,-0.0054248203798174105
L2_hist_gradient_boosting,F10_c_rate_v1_1,capacity_Ah_k1,temperature_holdout_fold,2,0.04132525103440087,0.04106498978071281,0.00026026125368806136,0.0652056603048177,0.06996930898491989,-0.004763648680102192
L2_hist_gradient_boosting,F10_c_rate_v1_1,capacity_Ah_k1,voltage_window_holdout_fold,1,0.09411923421553406,0.09778565644834933,-0.0036664222328152696,0.13791195144523608,0.134997850846776,0.002914100598460062
L2_hist_gradient_boosting,F10_c_rate_v1_1,capacity_Ah_k1,voltage_window_holdout_fold,2,0.0621977305167824,0.07403250763845456,-0.011834777121672163,0.10281619067668192,0.11670236684382719,-0.01388617616714527
