run_scope,model_level,feature_group,target,split_name,heldout_fold,worst_condition_mae,condition_mean_mae,condition_median_mae,test_parameter_sets
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,0.2764345999580851,0.12518636786777063,0.11979160891693752,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.193505570859936,0.10113277130259181,0.08979647569805231,12
primary,L2_hist_gradient_boosting,F5_log_age_histograms,capacity_Ah_k1,c_rate_holdout_fold,1,0.24303524846680977,0.12060529262628518,0.10658532430310702,12
primary,L2_hist_gradient_boosting,F5_log_age_histograms,delta_capacity_Ah,c_rate_holdout_fold,1,0.23010896530342606,0.10859130301129503,0.08359606193959132,12
primary,L2_hist_gradient_boosting,F6_coupled_stress,capacity_Ah_k1,c_rate_holdout_fold,1,0.2568744753749343,0.1238989099943343,0.10378848649383732,12
primary,L2_hist_gradient_boosting,F6_coupled_stress,delta_capacity_Ah,c_rate_holdout_fold,1,0.2158290472215679,0.10254128410922403,0.08321563199469256,12
primary,L2_hist_gradient_boosting,F7_c_rate_focused,capacity_Ah_k1,c_rate_holdout_fold,1,0.31418380239132243,0.15123294365951614,0.14556537880873627,12
primary,L2_hist_gradient_boosting,F7_c_rate_focused,delta_capacity_Ah,c_rate_holdout_fold,1,0.31611838400029085,0.15992102263431632,0.15981501997654915,12
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,c_rate_holdout_fold,1,0.2539914861259202,0.12244211150469492,0.10792304693682522,12
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,c_rate_holdout_fold,1,0.21193834940315578,0.10251578832333012,0.07764103216483734,12
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,capacity_Ah_k1,c_rate_holdout_fold,1,0.2828354534718461,0.14060992544384518,0.12305653445738605,12
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,delta_capacity_Ah,c_rate_holdout_fold,1,0.2699677504478344,0.13917991973946245,0.1421578037963277,12
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,capacity_Ah_k1,c_rate_holdout_fold,1,0.2883111293685962,0.14123424027348389,0.14859583044443592,12
primary,L2_hist_gradient_boosting,F10_c_rate_v1_1,delta_capacity_Ah,c_rate_holdout_fold,1,0.29739903766425096,0.15502890665400532,0.15106300246826077,12
