feature_group,inner_validation_rows,max_relative_degradation,mean_candidate_condition_mae,mean_gain_vs_r0,model_level,model_setting_id,outer_heldout_fold,outer_split_name,passes_inner_guardrail,schema_version,selected_by_train_only_rule,selection_policy,selection_score,target,weight_strength
F4_state_log_age_scalar,11,0.04285337697084726,0.07018253957301628,0.0003043939559020794,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,0,condition_fold,True,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,0.0003043939559020794,delta_capacity_Ah,0.25
F4_state_log_age_scalar,11,0.09901980055373025,0.07043267984277606,5.425368614229734e-05,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,0,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.048965546867587945,delta_capacity_Ah,0.5
F4_state_log_age_scalar,11,0.0713507350460915,0.0699874439612043,0.0004994895677140567,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,0,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.020851245478377446,delta_capacity_Ah,0.75
F4_state_log_age_scalar,11,0.295214693324314,0.07059657234272829,-0.00010963881380992851,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,0,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.24532433213812394,delta_capacity_Ah,1.0
F8_timestamp_weighted_stress,11,0.14911705606056164,0.08069348733841637,-0.0008030108095991577,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,0,condition_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.09992006687016079,delta_capacity_Ah,0.25
F8_timestamp_weighted_stress,11,0.13581569402449947,0.07750406569311052,0.002386410835706697,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,0,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.08342928318879278,delta_capacity_Ah,0.5
F8_timestamp_weighted_stress,11,0.18091128728594624,0.07644770333842596,0.0034427731903912597,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,0,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.12746851409555499,delta_capacity_Ah,0.75
F8_timestamp_weighted_stress,11,0.07476412723835682,0.0758631140405204,0.004027362488296807,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,0,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.020736764750060012,delta_capacity_Ah,1.0
F4_state_log_age_scalar,11,0.12153678619746743,0.06537278106318452,-0.0011615611171302165,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,1,condition_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.07269834731459764,delta_capacity_Ah,0.25
F4_state_log_age_scalar,11,0.4208594595913035,0.06633812392418881,-0.002126903978134503,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,1,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.372986363569438,delta_capacity_Ah,0.5
