run_scope,model_level,feature_group,target,split_name,fold_count,mean_mae,mean_rmse,condition_mean_mae,condition_median_mae,worst_condition_mae,q10_q90_interval_coverage,q10_q90_interval_width_mean,pinball_loss_q10,pinball_loss_q50,pinball_loss_q90,test_rows,test_parameter_sets
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,capacity_Ah_k1,c_rate_holdout_fold,1,0.1204078884770112,0.20277075202825307,0.17185735103731184,0.1687665391745104,0.37636341327119444,,,,,,156,12
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,capacity_Ah_k1,condition_fold,5,0.03463418605036385,0.07744359755773302,0.06478234959026768,0.04895625309844533,0.32835679908736165,,,,,,3821,76
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,capacity_Ah_k1,profile_holdout_fold,1,0.04059936506383095,0.08225657077393417,0.054364443442604514,0.04785632630000557,0.13042692011911594,,,,,,750,12
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,capacity_Ah_k1,temperature_holdout_fold,2,0.039306796984827835,0.09452159930829981,0.07935390622299845,0.052825002849606506,0.35055144920552594,,,,,,1799,38
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,capacity_Ah_k1,voltage_window_holdout_fold,3,0.0692945882868694,0.11421455288562381,0.0954329156589846,0.08689964965326824,0.36951997521161445,,,,,,3821,76
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,delta_capacity_Ah,c_rate_holdout_fold,1,0.11696739803666503,0.19473048103465468,0.16187806902577465,0.1648208998104858,0.3595855224466737,,,,,,156,12
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,delta_capacity_Ah,condition_fold,5,0.032135452083368175,0.07692988496623117,0.06397649588471985,0.04723690369499753,0.35477552749013275,,,,,,3821,76
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,delta_capacity_Ah,profile_holdout_fold,1,0.04399851060675115,0.08914290527143194,0.05784375141566689,0.0506690443978691,0.12156755908985256,,,,,,750,12
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,delta_capacity_Ah,temperature_holdout_fold,2,0.037406365798108215,0.09415947779814568,0.07644675976152313,0.057479293266422773,0.35136821245020505,,,,,,1799,38
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,delta_capacity_Ah,voltage_window_holdout_fold,3,0.049504592860568526,0.09307867426145204,0.07464160567190258,0.05716434091084801,0.38388489577709173,,,,,,3821,76
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,capacity_Ah_k1,c_rate_holdout_fold,1,0.11337030413686734,0.1926083749767612,0.14732072613174055,0.14373694754962058,0.326697160094545,,,,,,156,12
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,capacity_Ah_k1,condition_fold,5,0.031993610627488164,0.07443115293579274,0.05981827078688982,0.049573067570960846,0.29390275366341256,,,,,,3821,76
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,capacity_Ah_k1,profile_holdout_fold,1,0.043330028811731806,0.08586577469746229,0.06194241569591474,0.05367305053919843,0.16070512653849528,,,,,,750,12
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,capacity_Ah_k1,temperature_holdout_fold,2,0.03667277893989948,0.09113494818501422,0.07364200655287076,0.0549209387380981,0.32946341925245276,,,,,,1799,38
