target,split_name,best_model_level,best_feature_group,best_condition_mean_mae,best_worst_condition_mae,worst_parameter_set,worst_parameter_set_mae,l0_condition_mean_mae,l0_reference_status,condition_mean_mae_improvement_vs_l0
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.12357230124030993,0.251486184265265,36,0.251486184265265,reference_missing,reference_missing,reference_missing
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.053043133483872754,0.2441063268878336,23,0.2441063268878336,reference_missing,reference_missing,reference_missing
capacity_Ah_k1,profile_holdout_fold,L2_hist_gradient_boosting,C_E0_state_time_eis,0.054364443442604514,0.13042692011911594,70,0.13042692011911594,reference_missing,reference_missing,reference_missing
capacity_Ah_k1,temperature_holdout_fold,L2_hist_gradient_boosting,C_E3_stress_eis,0.06477214997031597,0.2784849598848377,23,0.2784849598848377,reference_missing,reference_missing,reference_missing
capacity_Ah_k1,voltage_window_holdout_fold,L2_hist_gradient_boosting,C_E2_log_age_eis,0.0830063178727438,0.35229913100781246,36,0.35229913100781246,reference_missing,reference_missing,reference_missing
delta_capacity_Ah,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.09612800583245128,0.18182999037219102,20,0.18182999037219102,reference_missing,reference_missing,reference_missing
delta_capacity_Ah,condition_fold,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.042763970274320495,0.17355398562632454,70,0.17355398562632454,reference_missing,reference_missing,reference_missing
delta_capacity_Ah,profile_holdout_fold,L2_hist_gradient_boosting,C_E0_state_time_eis,0.05784375141566689,0.12156755908985256,70,0.12156755908985256,reference_missing,reference_missing,reference_missing
delta_capacity_Ah,temperature_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.05007521965534965,0.16610253674272782,67,0.16610253674272782,reference_missing,reference_missing,reference_missing
delta_capacity_Ah,voltage_window_holdout_fold,L2_hist_gradient_boosting,C_E2_log_age_eis,0.07032943668749918,0.23416840363442862,36,0.23416840363442862,reference_missing,reference_missing,reference_missing
