grouping,group_value,row_count,parameter_set_count,total_intervals,mean_best_model_error,mean_persistence_error,mean_error_improvement_vs_persistence,max_best_model_error
temperature,0,6,3,38,0.1391694032654077,,,0.21315819307158593
temperature,10,6,3,54,0.14414001197178333,,,0.251486184265265
temperature,25,6,3,88,0.06887766594322078,,,0.11077277369577147
temperature,40,6,3,134,0.0872135329651106,,,0.14261000130866247
voltage_window_family,approx_0_100,8,4,62,0.14060647984251684,,,0.22132626187281146
voltage_window_family,approx_10_100,8,4,72,0.13265250139829407,,,0.251486184265265
voltage_window_family,approx_10_90,8,4,180,0.056291479368330906,,,0.0995197881426159
target,capacity_Ah_k1,12,12,157,0.12357230124030993,,,0.251486184265265
target,delta_capacity_Ah,12,12,157,0.09612800583245128,,,0.18182999037219102
parameter_set,20,2,1,12,0.19749409172188848,,,0.21315819307158593
parameter_set,24,2,1,8,0.14894867897292421,,,0.17717463083734886
parameter_set,28,2,1,18,0.07106543910141042,,,0.0995197881426159
parameter_set,32,2,1,12,0.17452570912943993,,,0.22132626187281146
parameter_set,36,2,1,12,0.19920858030101135,,,0.251486184265265
parameter_set,40,2,1,30,0.05868574648489872,,,0.06415963306811905
parameter_set,44,2,1,12,0.10408062495347653,,,0.11077277369577147
parameter_set,48,2,1,20,0.05008088720761507,,,0.060167581225160915
parameter_set,52,2,1,56,0.05247148566857075,,,0.05483226570957332
parameter_set,56,2,1,26,0.08632549356526245,,,0.0875691074369646
parameter_set,60,2,1,32,0.13237185911162563,,,0.14261000130866247
parameter_set,64,2,1,76,0.04294324621844373,,,0.04995257690350974
interval_count_bucket,11-20,6,3,88,0.09246103305392894,,,0.14261000130866247
interval_count_bucket,6-10,12,6,86,0.13274255540247362,,,0.251486184265265
interval_count_bucket,<=5,2,1,8,0.14894867897292421,,,0.17717463083734886
interval_count_bucket,>20,4,2,132,0.04770736594350724,,,0.05483226570957332
capacity_Ah_k_range,2.4-2.6,2,1,18,0.07106543910141042,,,0.0995197881426159
capacity_Ah_k_range,2.6-2.8,10,5,78,0.13147497211942602,,,0.22132626187281146
capacity_Ah_k_range,<2.4,8,4,194,0.07161808437088471,,,0.14261000130866247
capacity_Ah_k_range,>=2.8,4,2,24,0.15164460262724394,,,0.251486184265265
delta_capacity_Ah_range,-0.4--0.2,10,5,200,0.055049360936187744,,,0.0995197881426159
delta_capacity_Ah_range,-0.6--0.4,14,7,114,0.14899357682223263,,,0.251486184265265
