run_scope,model_level,target,split_name,from_feature_group,to_feature_group,from_condition_mean_mae,to_condition_mean_mae,condition_mean_mae_gain,from_worst_condition_mae,to_worst_condition_mae,worst_condition_mae_gain
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.17185735103731184,0.14732072613174055,0.02453662490557129,0.37636341327119444,0.326697160094545,0.04966625317664941
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.14732072613174055,0.12664127256829036,0.02067945356345019,0.326697160094545,0.27193507117439353,0.0547620889201515
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.12664127256829036,0.1338997539998659,-0.007258481431575536,0.27193507117439353,0.26398269827536375,0.00795237289902978
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.06478234959026768,0.05981827078688982,0.004964078803377868,0.32835679908736165,0.29390275366341256,0.03445404542394909
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.05981827078688982,0.05337740565315848,0.0064408651337313355,0.29390275366341256,0.2546534018028204,0.03924935186059214
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,C_E2_log_age_eis,C_E3_stress_eis,0.05337740565315848,0.053981944926220625,-0.0006045392730621435,0.2546534018028204,0.2782301133088169,-0.023576711505996495
primary,L2_hist_gradient_boosting,capacity_Ah_k1,profile_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.054364443442604514,0.06194241569591474,-0.007577972253310229,0.13042692011911594,0.16070512653849528,-0.03027820641937934
primary,L2_hist_gradient_boosting,capacity_Ah_k1,profile_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.06194241569591474,0.09263178372534404,-0.0306893680294293,0.16070512653849528,0.18042983519597686,-0.019724708657481577
primary,L2_hist_gradient_boosting,capacity_Ah_k1,profile_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.09263178372534404,0.0882758407447805,0.0043559429805635486,0.18042983519597686,0.23178948554074116,-0.05135965034476431
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.07935390622299845,0.07364200655287076,0.005711899670127696,0.35055144920552594,0.32946341925245276,0.021088029953073184
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.07364200655287076,0.07129910262169621,0.0023429039311745475,0.32946341925245276,0.2739402541021657,0.055523165150287046
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.07129910262169621,0.06477214997031597,0.006526952651380244,0.2739402541021657,0.2784849598848377,-0.004544705782671965
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.0954329156589846,0.08908498073081544,0.006347934928169152,0.36951997521161445,0.38158599695442647,-0.012066021742812016
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.08908498073081544,0.0830063178727438,0.00607866285807164,0.38158599695442647,0.35229913100781246,0.029286865946614005
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.0830063178727438,0.1728149558544099,-0.08980863798166609,0.35229913100781246,0.41830239555914445,-0.06600326455133199
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.16187806902577465,0.14669516987670744,0.015182899149067203,0.3595855224466737,0.22784658529758714,0.13173893714908655
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.14669516987670744,0.10357379954361647,0.04312137033309098,0.22784658529758714,0.18109669953421328,0.046749885763373855
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.10357379954361647,0.09823532168660691,0.005338477857009555,0.18109669953421328,0.19893394035855516,-0.017837240824341877
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.06397649588471985,0.06006037165724702,0.003916124227472825,0.35477552749013275,0.25391797031021035,0.1008575571799224
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.06006037165724702,0.044212604319993916,0.015847767337253106,0.25391797031021035,0.17597655329748196,0.07794141701272839
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,C_E2_log_age_eis,C_E3_stress_eis,0.044212604319993916,0.04323830199432784,0.0009743023256660738,0.17597655329748196,0.18582474850417974,-0.009848195206697774
primary,L2_hist_gradient_boosting,delta_capacity_Ah,profile_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.05784375141566689,0.06583940880719673,-0.00799565739152984,0.12156755908985256,0.1540742727732224,-0.032506713683369826
primary,L2_hist_gradient_boosting,delta_capacity_Ah,profile_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.06583940880719673,0.10008662305423206,-0.034247214247035335,0.1540742727732224,0.17145811144856407,-0.017383838675341684
primary,L2_hist_gradient_boosting,delta_capacity_Ah,profile_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.10008662305423206,0.07902236765463581,0.02106425539959625,0.17145811144856407,0.1616342849074806,0.009823826541083464
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.07644675976152313,0.06907062810681573,0.0073761316547073935,0.35136821245020505,0.2936981266611401,0.05767008578906496
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.06907062810681573,0.05088016563034641,0.01819046247646932,0.2936981266611401,0.16475001494456684,0.12894811171657325
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.05088016563034641,0.05269236579621784,-0.0018122001658714276,0.16475001494456684,0.14788035031245006,0.016869664632116782
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.07464160567190258,0.0807701000639755,-0.006128494392072928,0.38388489577709173,0.33900271910859364,0.044882176668498086
