run_scope,model_level,feature_group,target,split_name,heldout_fold,worst_condition_mae,condition_mean_mae,condition_median_mae,test_parameter_sets
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,0.09505356916316329,0.045632190410694405,0.040989520007806736,16
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0,0.11320936898177414,0.04010145367703808,0.03450537044151438,16
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,condition_fold,0,0.12265642422443568,0.0437059349915941,0.0387553139919497,16
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,0,0.17355398562632454,0.03866878783011603,0.027307089418524624,16
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,capacity_Ah_k1,condition_fold,0,0.12534820621460568,0.05441138251889697,0.053547477973303226,16
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,delta_capacity_Ah,condition_fold,0,0.13571129290917866,0.05543064294187935,0.05154121292581644,16
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,capacity_Ah_k1,condition_fold,0,0.10702465595079791,0.04849286794494169,0.055668728687008,16
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,delta_capacity_Ah,condition_fold,0,0.09867504874003982,0.04665069642465575,0.04727182279511523,16
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,capacity_Ah_k1,condition_fold,0,0.10249131044334696,0.0449844608188953,0.0467319229304841,16
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,delta_capacity_Ah,condition_fold,0,0.09778777908711904,0.0401325931599143,0.03490950176443307,16
primary,L2_hist_gradient_boosting,C_E3_stress_eis,capacity_Ah_k1,condition_fold,0,0.12732181802539952,0.04277456269166924,0.03717076806632036,16
primary,L2_hist_gradient_boosting,C_E3_stress_eis,delta_capacity_Ah,condition_fold,0,0.18582474850417974,0.042591300330728644,0.03462561100340539,16
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,0.14583214962648103,0.04100878016160584,0.027463581169439272,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,1,0.18087602771351483,0.04256802247785573,0.023150701773313166,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,condition_fold,1,0.14458933346690817,0.03982708371853227,0.027415175499643032,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,1,0.1320815630507254,0.03983262731505719,0.021898268753238977,15
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,capacity_Ah_k1,condition_fold,1,0.16070594648315775,0.04935183147855778,0.02776665648686181,15
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,delta_capacity_Ah,condition_fold,1,0.19910773605370094,0.05169626990673017,0.024811686717738427,15
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,capacity_Ah_k1,condition_fold,1,0.16279187680906754,0.042691831278761465,0.02588892595667683,15
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,delta_capacity_Ah,condition_fold,1,0.1912649204313336,0.05023935949137224,0.029777866586764772,15
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,capacity_Ah_k1,condition_fold,1,0.13958924131593536,0.04066197754115512,0.029014581897268982,15
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,delta_capacity_Ah,condition_fold,1,0.17597655329748196,0.04143322460075643,0.022393441201843892,15
primary,L2_hist_gradient_boosting,C_E3_stress_eis,capacity_Ah_k1,condition_fold,1,0.1428800753842439,0.0388055701899414,0.026695679188824335,15
primary,L2_hist_gradient_boosting,C_E3_stress_eis,delta_capacity_Ah,condition_fold,1,0.1350427696681916,0.039083597209924784,0.019618923686770266,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,2,0.17060070865835006,0.044533445593755716,0.028327112658602892,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,2,0.12842171624859275,0.03468711216809079,0.025952099019181638,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,condition_fold,2,0.13154336991205387,0.0456384758382938,0.03855494080656833,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,2,0.08221086670933918,0.030679674819334736,0.024582118854838467,15
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,capacity_Ah_k1,condition_fold,2,0.2624271574675238,0.054867046951566065,0.02683349449811667,15
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,delta_capacity_Ah,condition_fold,2,0.2571962113463028,0.05363977302493239,0.034226820512701,15
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,capacity_Ah_k1,condition_fold,2,0.1957784522164775,0.04632889158014152,0.027285008334381168,15
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,delta_capacity_Ah,condition_fold,2,0.1467615556009827,0.04482049601993769,0.04333678432266653,15
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,capacity_Ah_k1,condition_fold,2,0.18067646014911662,0.04483620949660509,0.02981612402086024,15
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,delta_capacity_Ah,condition_fold,2,0.10265055544587588,0.03390481824171432,0.030522465386942567,15
primary,L2_hist_gradient_boosting,C_E3_stress_eis,capacity_Ah_k1,condition_fold,2,0.11114869554863438,0.044131176208681205,0.040797630225101765,15
primary,L2_hist_gradient_boosting,C_E3_stress_eis,delta_capacity_Ah,condition_fold,2,0.0868066943531715,0.03305494790689432,0.025850801117809383,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,3,0.22836873003929647,0.07795354740211148,0.07384903710956525,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,3,0.17915986350690008,0.061949087221383856,0.04956949065523442,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,condition_fold,3,0.26364925373629483,0.08397846126806,0.0692046699644785,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,3,0.17156914053515526,0.06168494584148249,0.05442847967819154,15
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,capacity_Ah_k1,condition_fold,3,0.3142818232162101,0.09712971787810804,0.098060885972578,15
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,delta_capacity_Ah,condition_fold,3,0.35477552749013275,0.09464549626222568,0.08765425269166305,15
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,capacity_Ah_k1,condition_fold,3,0.2906339442056458,0.08972904570650542,0.0792228866366991,15
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,delta_capacity_Ah,condition_fold,3,0.25391797031021035,0.09072849323235332,0.07136270443666576,15
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,capacity_Ah_k1,condition_fold,3,0.2363928260326761,0.07508337851260229,0.06829688278574929,15
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,delta_capacity_Ah,condition_fold,3,0.1559245867305486,0.060463326933361844,0.05084212407110534,15
primary,L2_hist_gradient_boosting,C_E3_stress_eis,capacity_Ah_k1,condition_fold,3,0.2782301133088169,0.08103514601973848,0.0560569652807635,15
primary,L2_hist_gradient_boosting,C_E3_stress_eis,delta_capacity_Ah,condition_fold,3,0.15692578492921935,0.06162058286996351,0.05188677051170177,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,4,0.2441063268878336,0.05608770385119634,0.052659039089304596,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,4,0.11132315389737213,0.045105111448409944,0.050623323941317876,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,condition_fold,4,0.253796330998371,0.056110891988131566,0.052613777821980526,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,4,0.10424612205433148,0.042953815565612036,0.04691513713549813,15
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,capacity_Ah_k1,condition_fold,4,0.32835679908736165,0.06815176912420956,0.03857275056136698,15
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,delta_capacity_Ah,condition_fold,4,0.31965659383980816,0.06447029728783162,0.03795054562706872,15
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,capacity_Ah_k1,condition_fold,4,0.29390275366341256,0.07184871742409897,0.05979978824003913,15
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,delta_capacity_Ah,condition_fold,4,0.24818966730437664,0.06786281311791612,0.03422761824104856,15
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,capacity_Ah_k1,condition_fold,4,0.2546534018028204,0.06132100189653463,0.05848922802465099,15
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,delta_capacity_Ah,condition_fold,4,0.0920257153094979,0.045129058664222683,0.05500399240746998,15
primary,L2_hist_gradient_boosting,C_E3_stress_eis,capacity_Ah_k1,condition_fold,4,0.2626732647362676,0.06316326952107282,0.05094695356211594,15
primary,L2_hist_gradient_boosting,C_E3_stress_eis,delta_capacity_Ah,condition_fold,4,0.08566456542551128,0.03984108165412797,0.04402236859734076,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,1,0.2835857479045965,0.07910165651817316,0.06516925164948792,19
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,1,0.16610253674272782,0.05739736769334154,0.04915112154998277,19
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,temperature_holdout_fold,1,0.2765376156049883,0.07079264669556118,0.055017149150876875,19
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,temperature_holdout_fold,1,0.13452053159428376,0.05297580035622684,0.04579606758614787,19
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,capacity_Ah_k1,temperature_holdout_fold,1,0.35055144920552594,0.09267754100114164,0.06714254534273807,19
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,delta_capacity_Ah,temperature_holdout_fold,1,0.35136821245020505,0.09225607242729696,0.06733121998614058,19
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,capacity_Ah_k1,temperature_holdout_fold,1,0.32946341925245276,0.08249987978263933,0.05604905806300484,19
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,delta_capacity_Ah,temperature_holdout_fold,1,0.2936981266611401,0.08353526169632226,0.05755578211907282,19
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,capacity_Ah_k1,temperature_holdout_fold,1,0.2739402541021657,0.08108124831826533,0.05679980758965381,19
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,delta_capacity_Ah,temperature_holdout_fold,1,0.16475001494456684,0.059209924801122464,0.05240348866230948,19
primary,L2_hist_gradient_boosting,C_E3_stress_eis,capacity_Ah_k1,temperature_holdout_fold,1,0.2784849598848377,0.06999621891990436,0.047043514105663216,19
primary,L2_hist_gradient_boosting,C_E3_stress_eis,delta_capacity_Ah,temperature_holdout_fold,1,0.14788035031245006,0.05378742997064102,0.052235724895837256,19
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,2,0.15315500775219393,0.061862445738306335,0.05947986045518036,19
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,2,0.13723770866727428,0.04275307161735775,0.03739391708728909,19
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,temperature_holdout_fold,2,0.1474174840750998,0.059559552486517876,0.051917754134442745,19
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,temperature_holdout_fold,2,0.13867561548350346,0.050653078257790383,0.0505453864733723,19
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,capacity_Ah_k1,temperature_holdout_fold,2,0.22141857661955167,0.06603027144485525,0.03850746035647493,19
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,delta_capacity_Ah,temperature_holdout_fold,2,0.17146748736940737,0.060637447095749294,0.04762736654670497,19
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,capacity_Ah_k1,temperature_holdout_fold,2,0.22026039344498327,0.06478413332310218,0.05379281941319136,19
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,delta_capacity_Ah,temperature_holdout_fold,2,0.19010579442144904,0.0546059945173092,0.039024295359341765,19
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,capacity_Ah_k1,temperature_holdout_fold,2,0.16442625933205868,0.0615169569251271,0.05489191292202794,19
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,delta_capacity_Ah,temperature_holdout_fold,2,0.13014654400392503,0.04255040645957036,0.04327849047852761,19
primary,L2_hist_gradient_boosting,C_E3_stress_eis,capacity_Ah_k1,temperature_holdout_fold,2,0.15167347831503694,0.05954808102072757,0.04760174316710202,19
primary,L2_hist_gradient_boosting,C_E3_stress_eis,delta_capacity_Ah,temperature_holdout_fold,2,0.14163872135695468,0.05159730162179466,0.04939735704735713,19
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,0.26984982175920685,0.12866732986436566,0.11139977656358112,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.18182999037219102,0.09612800583245128,0.09123517795237093,12
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,capacity_Ah_k1,c_rate_holdout_fold,1,0.251486184265265,0.12357230124030993,0.10514628091919369,12
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,c_rate_holdout_fold,1,0.1737967459814639,0.09849174654349895,0.08259053043172707,12
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,capacity_Ah_k1,c_rate_holdout_fold,1,0.37636341327119444,0.17185735103731184,0.1687665391745104,12
primary,L2_hist_gradient_boosting,C_E0_state_time_eis,delta_capacity_Ah,c_rate_holdout_fold,1,0.3595855224466737,0.16187806902577465,0.1648208998104858,12
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,capacity_Ah_k1,c_rate_holdout_fold,1,0.326697160094545,0.14732072613174055,0.14373694754962058,12
primary,L2_hist_gradient_boosting,C_E1_nominal_eis,delta_capacity_Ah,c_rate_holdout_fold,1,0.22784658529758714,0.14669516987670744,0.14970220418738314,12
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,capacity_Ah_k1,c_rate_holdout_fold,1,0.27193507117439353,0.12664127256829036,0.12474912028193144,12
primary,L2_hist_gradient_boosting,C_E2_log_age_eis,delta_capacity_Ah,c_rate_holdout_fold,1,0.18109669953421328,0.10357379954361647,0.08691036568285884,12
