target,split_name,best_model_level,best_feature_group,best_condition_mean_mae,best_worst_condition_mae,worst_parameter_set,worst_parameter_set_mae,l0_condition_mean_mae,l0_reference_status,condition_mean_mae_improvement_vs_l0
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,C_P3_stress_pulse,0.12021268749525883,0.2586140441947962,36,0.2586140441947962,reference_missing,reference_missing,reference_missing
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,C_P2_log_age_pulse,0.05312315632302529,0.24265208913923042,23,0.24265208913923042,reference_missing,reference_missing,reference_missing
capacity_Ah_k1,profile_holdout_fold,L2_hist_gradient_boosting,C_P0_state_time_pulse,0.06184349604554155,0.134486257049371,70,0.134486257049371,reference_missing,reference_missing,reference_missing
capacity_Ah_k1,temperature_holdout_fold,L2_hist_gradient_boosting,C_P3_stress_pulse,0.06486916593529139,0.29211959747461086,23,0.29211959747461086,reference_missing,reference_missing,reference_missing
capacity_Ah_k1,voltage_window_holdout_fold,L2_hist_gradient_boosting,C_P2_log_age_pulse,0.08399639463355267,0.37027388147914525,36,0.37027388147914525,reference_missing,reference_missing,reference_missing
delta_capacity_Ah,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.09773474317278785,0.1867080728061712,20,0.1867080728061712,reference_missing,reference_missing,reference_missing
delta_capacity_Ah,condition_fold,L2_hist_gradient_boosting,C_P3_stress_pulse,0.04276054137924977,0.17226636401034504,67,0.17226636401034504,reference_missing,reference_missing,reference_missing
delta_capacity_Ah,profile_holdout_fold,L2_hist_gradient_boosting,C_P0_state_time_pulse,0.06547352220636114,0.14664199730244684,67,0.14664199730244684,reference_missing,reference_missing,reference_missing
delta_capacity_Ah,temperature_holdout_fold,L2_hist_gradient_boosting,C_P3_stress_pulse,0.048760167696155515,0.15628200209886692,67,0.15628200209886692,reference_missing,reference_missing,reference_missing
delta_capacity_Ah,voltage_window_holdout_fold,L2_hist_gradient_boosting,C_P2_log_age_pulse,0.07086831777585517,0.23977198634403427,36,0.23977198634403427,reference_missing,reference_missing,reference_missing
