grouping,group_value,row_count,parameter_set_count,total_intervals,mean_best_model_error,mean_persistence_error,mean_error_improvement_vs_persistence,max_best_model_error
temperature,0,6,3,38,0.13813531854579061,,,0.20910165084896706
temperature,10,6,3,54,0.14737513511524575,,,0.2586140441947962
temperature,25,6,3,88,0.06640548058404672,,,0.11128699729882396
temperature,40,6,3,134,0.08397892709101028,,,0.13535996473883996
voltage_window_family,approx_0_100,8,4,62,0.13943280608446038,,,0.22910827484085428
voltage_window_family,approx_10_100,8,4,72,0.132204984091849,,,0.2586140441947962
voltage_window_family,approx_10_90,8,4,180,0.055283355825760654,,,0.08774148554091624
target,capacity_Ah_k1,12,12,157,0.12021268749525883,,,0.2586140441947962
target,delta_capacity_Ah,12,12,157,0.09773474317278785,,,0.1867080728061712
parameter_set,20,2,1,12,0.1979048618275691,,,0.20910165084896706
parameter_set,24,2,1,8,0.1471533917991784,,,0.15337857295309454
parameter_set,28,2,1,18,0.06934770201062433,,,0.08774148554091624
parameter_set,32,2,1,12,0.17909359839222533,,,0.22910827484085428
parameter_set,36,2,1,12,0.2027542556895264,,,0.2586140441947962
parameter_set,40,2,1,30,0.06027755126398553,,,0.07696474148386914
parameter_set,44,2,1,12,0.09914732124455516,,,0.11128699729882396
parameter_set,48,2,1,20,0.050816535056702895,,,0.05645733322050095
parameter_set,52,2,1,56,0.04925258545088208,,,0.055822335659217286
parameter_set,56,2,1,26,0.08158544287349193,,,0.09366678022620059
parameter_set,60,2,1,32,0.12809575382198823,,,0.13535996473883996
parameter_set,64,2,1,76,0.042255584577550666,,,0.051665623034041826
interval_count_bucket,11-20,6,3,88,0.0899862493198219,,,0.13535996473883996
interval_count_bucket,6-10,12,6,86,0.13317737903686722,,,0.2586140441947962
interval_count_bucket,<=5,2,1,8,0.1471533917991784,,,0.15337857295309454
interval_count_bucket,>20,4,2,132,0.04575408501421638,,,0.055822335659217286
capacity_Ah_k_range,2.4-2.6,2,1,18,0.06934770201062433,,,0.08774148554091624
capacity_Ah_k_range,2.6-2.8,10,5,78,0.13131076598983354,,,0.22910827484085428
capacity_Ah_k_range,<2.4,8,4,194,0.06997036877860163,,,0.13535996473883996
capacity_Ah_k_range,>=2.8,4,2,24,0.1509507884670408,,,0.2586140441947962
delta_capacity_Ah_range,-0.4--0.2,10,5,200,0.0543899916719491,,,0.08774148554091624
delta_capacity_Ah_range,-0.6--0.4,14,7,114,0.1479620893783621,,,0.2586140441947962
