run_scope,model_level,target,split_name,from_feature_group,to_feature_group,from_condition_mean_mae,to_condition_mean_mae,condition_mean_mae_gain,from_worst_condition_mae,to_worst_condition_mae,worst_condition_mae_gain
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,C_P0_state_time_pulse,C_P1_nominal_pulse,0.17345305288167778,0.14644875054454037,0.02700430233713741,0.36622928601571453,0.3044203148910827,0.06180897112463185
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,C_P1_nominal_pulse,C_P2_log_age_pulse,0.14644875054454037,0.12396366922676678,0.02248508131777359,0.3044203148910827,0.25891903830891366,0.045501276582169015
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,C_P2_log_age_pulse,C_P3_stress_pulse,0.12396366922676678,0.12021268749525883,0.003750981731507952,0.25891903830891366,0.2586140441947962,0.0003049941141174406
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,C_P0_state_time_pulse,C_P1_nominal_pulse,0.06577125138197244,0.05995484716969816,0.005816404212274286,0.3240454741409196,0.3015714841752058,0.022473989965713814
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,C_P1_nominal_pulse,C_P2_log_age_pulse,0.05995484716969816,0.05312315632302529,0.006831690846672865,0.3015714841752058,0.24265208913923042,0.058919395035975375
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,C_P2_log_age_pulse,C_P3_stress_pulse,0.05312315632302529,0.05495428981873516,-0.0018311334957098677,0.24265208913923042,0.2713462206743504,-0.02869413153511996
primary,L2_hist_gradient_boosting,capacity_Ah_k1,profile_holdout_fold,C_P0_state_time_pulse,C_P1_nominal_pulse,0.06184349604554155,0.06468049307072833,-0.002836997025186784,0.134486257049371,0.15535487397009262,-0.020868616920721617
primary,L2_hist_gradient_boosting,capacity_Ah_k1,profile_holdout_fold,C_P1_nominal_pulse,C_P2_log_age_pulse,0.06468049307072833,0.0833507765587758,-0.018670283488047473,0.15535487397009262,0.16786962124112062,-0.012514747271027998
primary,L2_hist_gradient_boosting,capacity_Ah_k1,profile_holdout_fold,C_P2_log_age_pulse,C_P3_stress_pulse,0.0833507765587758,0.0955580589863424,-0.012207282427566593,0.16786962124112062,0.23416485482181174,-0.06629523358069112
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,C_P0_state_time_pulse,C_P1_nominal_pulse,0.07851516139190962,0.07129242588381521,0.007222735508094408,0.3379670376144525,0.3198981536113877,0.018068884003064833
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,C_P1_nominal_pulse,C_P2_log_age_pulse,0.07129242588381521,0.06960379376862716,0.001688632115188049,0.3198981536113877,0.2508915348376008,0.06900661877378689
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,C_P2_log_age_pulse,C_P3_stress_pulse,0.06960379376862716,0.06486916593529139,0.004734627833335767,0.2508915348376008,0.29211959747461086,-0.041228062637010066
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,C_P0_state_time_pulse,C_P1_nominal_pulse,0.09873519855381542,0.09169521447692797,0.007039984076887454,0.3934193531140599,0.38858451262220667,0.004834840491853232
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,C_P1_nominal_pulse,C_P2_log_age_pulse,0.09169521447692797,0.08399639463355267,0.007698819843375296,0.38858451262220667,0.37027388147914525,0.018310631143061418
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,C_P2_log_age_pulse,C_P3_stress_pulse,0.08399639463355267,0.1681164226460655,-0.08412002801251282,0.37027388147914525,0.4060287070639624,-0.03575482558481713
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,C_P0_state_time_pulse,C_P1_nominal_pulse,0.16144981963991686,0.13747606289741507,0.023973756742501795,0.39532886131976647,0.20814942449486173,0.18717943682490473
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,C_P1_nominal_pulse,C_P2_log_age_pulse,0.13747606289741507,0.10391177680572156,0.03356428609169351,0.20814942449486173,0.1958780337497151,0.012271390745146632
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,C_P2_log_age_pulse,C_P3_stress_pulse,0.10391177680572156,0.10347704636816722,0.00043473043755433427,0.1958780337497151,0.2090309500228459,-0.01315291627313081
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,C_P0_state_time_pulse,C_P1_nominal_pulse,0.06462095785963144,0.059557796368345586,0.005063161491285856,0.3726282639962745,0.2555962790317235,0.11703198496455103
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,C_P1_nominal_pulse,C_P2_log_age_pulse,0.059557796368345586,0.04485048145196145,0.014707314916384134,0.2555962790317235,0.18117631280799446,0.07441996622372904
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,C_P2_log_age_pulse,C_P3_stress_pulse,0.04485048145196145,0.04276054137924977,0.0020899400727116824,0.18117631280799446,0.17226636401034504,0.00890994879764942
primary,L2_hist_gradient_boosting,delta_capacity_Ah,profile_holdout_fold,C_P0_state_time_pulse,C_P1_nominal_pulse,0.06547352220636114,0.07802868263467458,-0.012555160428313436,0.14664199730244684,0.15554615751784356,-0.008904160215396723
primary,L2_hist_gradient_boosting,delta_capacity_Ah,profile_holdout_fold,C_P1_nominal_pulse,C_P2_log_age_pulse,0.07802868263467458,0.10352951606176007,-0.025500833427085492,0.15554615751784356,0.17358566267543532,-0.018039505157591756
primary,L2_hist_gradient_boosting,delta_capacity_Ah,profile_holdout_fold,C_P2_log_age_pulse,C_P3_stress_pulse,0.10352951606176007,0.08136700980001728,0.022162506261742793,0.17358566267543532,0.16552081625273185,0.00806484642270347
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,C_P0_state_time_pulse,C_P1_nominal_pulse,0.07724032459355487,0.06744754141436846,0.009792783179186415,0.33416468847131764,0.3095215758158743,0.024643112655443333
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,C_P1_nominal_pulse,C_P2_log_age_pulse,0.06744754141436846,0.050252487141131244,0.017195054273237212,0.3095215758158743,0.18697304913552754,0.12254852668034677
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,C_P2_log_age_pulse,C_P3_stress_pulse,0.050252487141131244,0.048760167696155515,0.0014923194449757288,0.18697304913552754,0.15628200209886692,0.030691047036660618
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,C_P0_state_time_pulse,C_P1_nominal_pulse,0.07929353298993451,0.07899032006200811,0.00030321292792639953,0.4019597118434884,0.3237189436226717,0.07824076822081671
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,C_P1_nominal_pulse,C_P2_log_age_pulse,0.07899032006200811,0.07086831777585517,0.008122002286152938,0.3237189436226717,0.23977198634403427,0.08394695727863741
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,C_P2_log_age_pulse,C_P3_stress_pulse,0.07086831777585517,0.12203812087679151,-0.05116980310093634,0.23977198634403427,0.22792845120726887,0.011843535136765393
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,C_P0_state_time_pulse,C_P1_nominal_pulse,0.18194485115200978,0.15262087415733977,0.029323976994670015,0.3648403946965931,0.2999324132911272,0.06490798140546589
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,C_P1_nominal_pulse,C_P2_log_age_pulse,0.15262087415733977,0.13063806161050265,0.02198281254683712,0.2999324132911272,0.26025331935319596,0.03967909393793123
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,C_P2_log_age_pulse,C_P3_stress_pulse,0.13063806161050265,0.13846171725321726,-0.007823655642714616,0.26025331935319596,0.29240316631630564,-0.032149846963109685
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,C_P0_state_time_pulse,C_P1_nominal_pulse,0.06717843532346102,0.06306428551087337,0.0041141498125876474,0.31661601551058566,0.3306605288174201,-0.014044513306834427
