best_pulse_feature_group,gain_vs_f4,split_name,status,target
C_P3_stress_pulse,0.006692081995197843,c_rate_holdout_fold,supported,capacity_Ah_k1
C_P2_log_age_pulse,0.00021705662340821413,condition_fold,supported,capacity_Ah_k1
C_P0_state_time_pulse,0.021490514049651084,profile_holdout_fold,supported,capacity_Ah_k1
C_P3_stress_pulse,0.005096198430968507,temperature_holdout_fold,supported,capacity_Ah_k1
C_P2_log_age_pulse,0.0007711172913271724,voltage_window_holdout_fold,supported,capacity_Ah_k1
C_P3_stress_pulse,-0.00574230319537937,c_rate_holdout_fold,not_supported,delta_capacity_Ah
C_P3_stress_pulse,0.002495069966404216,condition_fold,supported,delta_capacity_Ah
C_P0_state_time_pulse,0.043381694210265886,profile_holdout_fold,supported,delta_capacity_Ah
C_P3_stress_pulse,0.0010313032842351744,temperature_holdout_fold,supported,delta_capacity_Ah
C_P2_log_age_pulse,0.0031334239483818555,voltage_window_holdout_fold,supported,delta_capacity_Ah
