run_scope,model_level,feature_group,target,split_name,heldout_fold,worst_condition_mae,condition_mean_mae,condition_median_mae,test_parameter_sets
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,0.10158600719528497,0.04878847673892299,0.04718412255773119,16
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0,0.09655420082542654,0.03870535297767127,0.03486829058251344,16
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,condition_fold,0,0.13382260779608635,0.06104166099552472,0.05203433600255691,16
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,condition_fold,0,0.1407943288989434,0.06442417609982143,0.05181370439686994,16
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,capacity_Ah_k1,condition_fold,0,0.11288803956354693,0.04951288788166244,0.04737895267973112,16
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,delta_capacity_Ah,condition_fold,0,0.10999472976034101,0.0484927021165283,0.04997287901662703,16
primary,L2_hist_gradient_boosting,C_P2_log_age_pulse,capacity_Ah_k1,condition_fold,0,0.10128396672017566,0.04585005753129492,0.046063595218275764,16
primary,L2_hist_gradient_boosting,C_P2_log_age_pulse,delta_capacity_Ah,condition_fold,0,0.10913419793059925,0.039993579611489846,0.033281878836612294,16
primary,L2_hist_gradient_boosting,C_P3_stress_pulse,capacity_Ah_k1,condition_fold,0,0.13836582481513834,0.04560731607800193,0.04141333871433582,16
primary,L2_hist_gradient_boosting,C_P3_stress_pulse,delta_capacity_Ah,condition_fold,0,0.1705184113811785,0.040048375547681585,0.028702921010064483,16
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,0.13951238100612554,0.040851939527990454,0.0271518038838276,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,1,0.18223866137505193,0.043519950114941766,0.025385309092649706,15
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,condition_fold,1,0.2088503617605554,0.05314299580215131,0.027260280466117844,15
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,condition_fold,1,0.21694081471178975,0.05233110217097843,0.026969119037123,15
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,capacity_Ah_k1,condition_fold,1,0.15197136479548562,0.042438258002927144,0.02551622257246966,15
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,delta_capacity_Ah,condition_fold,1,0.2067237263814714,0.0509604274257345,0.023386037468631944,15
primary,L2_hist_gradient_boosting,C_P2_log_age_pulse,capacity_Ah_k1,condition_fold,1,0.1417115874454677,0.04163375257171924,0.02540560330057361,15
primary,L2_hist_gradient_boosting,C_P2_log_age_pulse,delta_capacity_Ah,condition_fold,1,0.1782451705544518,0.0429741511081057,0.022790299461322425,15
primary,L2_hist_gradient_boosting,C_P3_stress_pulse,capacity_Ah_k1,condition_fold,1,0.1425440856338146,0.04047640982305507,0.02546376885805867,15
primary,L2_hist_gradient_boosting,C_P3_stress_pulse,delta_capacity_Ah,condition_fold,1,0.1347610215730987,0.03940683263539936,0.020939251147450728,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,2,0.16931331880149056,0.04324263104013461,0.0255913658654814,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,2,0.12792773735762994,0.035625052408174374,0.025820824879151043,15
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,condition_fold,2,0.2448197310050035,0.05240744968159149,0.02652324731703244,15
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,condition_fold,2,0.2555750831695061,0.04965490423426198,0.023985281131595655,15
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,capacity_Ah_k1,condition_fold,2,0.17266116639299908,0.04526518826915298,0.030352876531251606,15
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,delta_capacity_Ah,condition_fold,2,0.1441900644226556,0.04663782919867521,0.023066737629664935,15
primary,L2_hist_gradient_boosting,C_P2_log_age_pulse,capacity_Ah_k1,condition_fold,2,0.16912599584762666,0.04334276634705817,0.026598994719024754,15
primary,L2_hist_gradient_boosting,C_P2_log_age_pulse,delta_capacity_Ah,condition_fold,2,0.11286898286435898,0.034539179050388266,0.029439214841007602,15
primary,L2_hist_gradient_boosting,C_P3_stress_pulse,capacity_Ah_k1,condition_fold,2,0.12769114565561746,0.04467862219398252,0.036791031786964246,15
primary,L2_hist_gradient_boosting,C_P3_stress_pulse,delta_capacity_Ah,condition_fold,2,0.08067971601501973,0.03361811013319115,0.02757372948981513,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,3,0.2261174125800769,0.07727283968865419,0.06790987100976328,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,3,0.1727610085255454,0.061585070065125695,0.048070064144536705,15
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,condition_fold,3,0.3240454741409196,0.09773344966716453,0.10450136857483074,15
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,condition_fold,3,0.3726282639962745,0.09458848008587037,0.0850376561980443,15
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,capacity_Ah_k1,condition_fold,3,0.3015714841752058,0.09060382599025184,0.07507634248318737,15
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,delta_capacity_Ah,condition_fold,3,0.2555962790317235,0.08816578645643389,0.0561008538531578,15
primary,L2_hist_gradient_boosting,C_P2_log_age_pulse,capacity_Ah_k1,condition_fold,3,0.21506660051818458,0.07656604600637787,0.0732656412929221,15
primary,L2_hist_gradient_boosting,C_P2_log_age_pulse,delta_capacity_Ah,condition_fold,3,0.18117631280799446,0.06232963656555809,0.052604390265288556,15
primary,L2_hist_gradient_boosting,C_P3_stress_pulse,capacity_Ah_k1,condition_fold,3,0.255195728796014,0.08134833288206256,0.0624773376021171,15
primary,L2_hist_gradient_boosting,C_P3_stress_pulse,delta_capacity_Ah,condition_fold,3,0.17226636401034504,0.06166447371172055,0.05742306291599961,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,4,0.23144060317011828,0.056545177736465314,0.05827985632543221,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,4,0.10982069727744405,0.04684263116235681,0.05090924834019581,15
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,condition_fold,4,0.30024427710264046,0.06453070076343015,0.03676488458421699,15
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,condition_fold,4,0.29710626896833675,0.062106126707225026,0.03822999213118474,15
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,capacity_Ah_k1,condition_fold,4,0.3004103022898795,0.07195407570449636,0.05037660613767956,15
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,delta_capacity_Ah,condition_fold,4,0.2311076167717536,0.06353223664435605,0.03740976815725196,15
primary,L2_hist_gradient_boosting,C_P2_log_age_pulse,capacity_Ah_k1,condition_fold,4,0.24265208913923042,0.05822315915867625,0.053206943151791995,15
primary,L2_hist_gradient_boosting,C_P2_log_age_pulse,delta_capacity_Ah,condition_fold,4,0.09772803017015545,0.04441586092426538,0.05102629437712451,15
primary,L2_hist_gradient_boosting,C_P3_stress_pulse,capacity_Ah_k1,condition_fold,4,0.2713462206743504,0.06266076811657371,0.052418348370086125,15
primary,L2_hist_gradient_boosting,C_P3_stress_pulse,delta_capacity_Ah,condition_fold,4,0.0785792851935712,0.03906491486825619,0.04545720524310795,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,1,0.2809738877419638,0.0785849624336239,0.06179319082887979,19
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,1,0.17362464370879896,0.05705500830598189,0.05089104882492133,19
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,temperature_holdout_fold,1,0.3379670376144525,0.09235315384953793,0.06709282829922258,19
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,temperature_holdout_fold,1,0.33416468847131764,0.09263567362423313,0.06443949038320221,19
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,capacity_Ah_k1,temperature_holdout_fold,1,0.3198981536113877,0.08004168482934039,0.056355762984769,19
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,delta_capacity_Ah,temperature_holdout_fold,1,0.3095215758158743,0.08244677597481807,0.05842701793510947,19
primary,L2_hist_gradient_boosting,C_P2_log_age_pulse,capacity_Ah_k1,temperature_holdout_fold,1,0.2508915348376008,0.07681576912132462,0.060479106202638196,19
primary,L2_hist_gradient_boosting,C_P2_log_age_pulse,delta_capacity_Ah,temperature_holdout_fold,1,0.18697304913552754,0.059046132457654076,0.05457342578551219,19
primary,L2_hist_gradient_boosting,C_P3_stress_pulse,capacity_Ah_k1,temperature_holdout_fold,1,0.29211959747461086,0.0707931442627299,0.053105314167112234,19
primary,L2_hist_gradient_boosting,C_P3_stress_pulse,delta_capacity_Ah,temperature_holdout_fold,1,0.15628200209886692,0.05175045272434638,0.04739435281637575,19
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,2,0.14975356606789403,0.06134576629889591,0.0564568308912638,19
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,2,0.12617242258338138,0.042527933654799496,0.04318589597729387,19
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,temperature_holdout_fold,2,0.19110510078454432,0.0646771689342813,0.03804504025751095,19
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,temperature_holdout_fold,2,0.1801856000240744,0.061844975562876624,0.0470408947062772,19
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,capacity_Ah_k1,temperature_holdout_fold,2,0.2125819851118802,0.06254316693829003,0.05738145307977199,19
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,delta_capacity_Ah,temperature_holdout_fold,2,0.1692911468198986,0.052448306853918825,0.04452776307220806,19
primary,L2_hist_gradient_boosting,C_P2_log_age_pulse,capacity_Ah_k1,temperature_holdout_fold,2,0.15266029472054113,0.06239181841592969,0.057542802962483645,19
primary,L2_hist_gradient_boosting,C_P2_log_age_pulse,delta_capacity_Ah,temperature_holdout_fold,2,0.12356258440818593,0.041458841824608406,0.04051364895488657,19
primary,L2_hist_gradient_boosting,C_P3_stress_pulse,capacity_Ah_k1,temperature_holdout_fold,2,0.14033760155664568,0.05894518760785288,0.053640003128677054,19
primary,L2_hist_gradient_boosting,C_P3_stress_pulse,delta_capacity_Ah,temperature_holdout_fold,2,0.13887626085281463,0.04576988266796465,0.044320187387023736,19
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,0.25317789858661105,0.12690476949045668,0.11879817656081007,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.1867080728061712,0.09773474317278785,0.08198619333707775,12
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,c_rate_holdout_fold,1,0.36622928601571453,0.17345305288167778,0.15222896193732244,12
primary,L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,c_rate_holdout_fold,1,0.39532886131976647,0.16144981963991686,0.14642215475565656,12
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,capacity_Ah_k1,c_rate_holdout_fold,1,0.3044203148910827,0.14644875054454037,0.14407898081954978,12
primary,L2_hist_gradient_boosting,C_P1_nominal_pulse,delta_capacity_Ah,c_rate_holdout_fold,1,0.20814942449486173,0.13747606289741507,0.14073987786076148,12
