diagnostic_family,feature_group,horizon_checkups,mean_condition_mae,mean_mae,mean_rmse,model_level,rows,split_name,target_name,total_test_rows,worst_condition_mae
eis,persistence,1,0.3995762996688368,0.32792587128647316,0.44193356295917813,DM0_persistence,12,all,eis_phase_1kHz,10131,1.1131666666666666
eis,train_mean,1,0.5495341482000923,0.5161536880240548,0.669564875678605,DM1_train_mean,12,all,eis_phase_1kHz,10131,1.1024119638826186
eis,DH0_time_nominal,1,0.5129465563254533,0.47813666346258327,0.6094152238849945,DM2_ridge,12,all,eis_phase_1kHz,10131,1.22207245364986
eis,DH1_capacity_state,1,0.4502489611179123,0.4247425289007678,0.5386173635957007,DM2_ridge,12,all,eis_phase_1kHz,10131,1.1773735723140906
eis,DH2_prior_same_diagnostic_state,1,0.37584751188922816,0.32146172561232017,0.4237346302970526,DM2_ridge,12,all,eis_phase_1kHz,10131,1.037608705611157
eis,DH3_capacity_plus_prior_same_diagnostic,1,0.3425020260200949,0.29699294637935264,0.38858811687937617,DM2_ridge,12,all,eis_phase_1kHz,10131,0.906930196696966
eis,DH0_time_nominal,1,0.5348356934380697,0.5269115947789962,0.6696459638069877,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,10131,1.4301015774936072
eis,DH1_capacity_state,1,0.4363263683453657,0.4151155698968634,0.5335201110598159,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,10131,1.1462375061853374
eis,DH2_prior_same_diagnostic_state,1,0.36246044716301395,0.31611875913542475,0.41678649322185196,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,10131,1.0635959614972208
eis,DH3_capacity_plus_prior_same_diagnostic,1,0.3472044126565281,0.3031089271387674,0.3966827223166282,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,10131,0.9578413665594475
eis,persistence,2,0.49924412925209033,0.3593225271216219,0.4899215721808305,DM0_persistence,12,all,eis_phase_1kHz,9504,1.676
eis,train_mean,2,0.5965625976028196,0.5238836527349194,0.6796837335888996,DM1_train_mean,12,all,eis_phase_1kHz,9504,1.7208423613363608
eis,DH0_time_nominal,2,0.5265109704631493,0.4889579720687029,0.6217144163316456,DM2_ridge,12,all,eis_phase_1kHz,9504,1.4346022025122058
eis,DH1_capacity_state,2,0.5266748990177588,0.44726958099257613,0.5721685179466734,DM2_ridge,12,all,eis_phase_1kHz,9504,1.8015641609350699
eis,DH2_prior_same_diagnostic_state,2,0.4400594000197769,0.3487013642202063,0.46462207229308056,DM2_ridge,12,all,eis_phase_1kHz,9504,1.5155535816864816
eis,DH3_capacity_plus_prior_same_diagnostic,2,0.4511698920517084,0.33026707099514446,0.4441814719307649,DM2_ridge,12,all,eis_phase_1kHz,9504,1.7158613764347541
eis,DH0_time_nominal,2,0.5579686110319668,0.5338838595972583,0.6778063142332846,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,9504,1.5359000067523458
eis,DH1_capacity_state,2,0.4760344421502541,0.4292831891471924,0.5567105568866911,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,9504,1.6487497865140002
eis,DH2_prior_same_diagnostic_state,2,0.42083137899014217,0.34292009135739093,0.45685975683722907,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,9504,1.7683749163607996
eis,DH3_capacity_plus_prior_same_diagnostic,2,0.4140793179636933,0.32460379816650553,0.43575546062356163,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,9504,1.7419103443173103
eis,persistence,3,0.46925742444623025,0.3694532312363783,0.4996349062071348,DM0_persistence,12,all,eis_phase_1kHz,8873,1.5200000000000002
eis,train_mean,3,0.5632022767009631,0.5201073393117129,0.6733693534813909,DM1_train_mean,12,all,eis_phase_1kHz,8873,1.28041189674523
eis,DH0_time_nominal,3,0.53607594359233,0.49615397970592884,0.6281750643985174,DM2_ridge,12,all,eis_phase_1kHz,8873,1.3197085815296723
eis,DH1_capacity_state,3,0.4954201973589063,0.44720157134620986,0.5731511168374707,DM2_ridge,12,all,eis_phase_1kHz,8873,1.4695155480795021
eis,DH2_prior_same_diagnostic_state,3,0.4334043077037127,0.3584227984752159,0.47357400495818647,DM2_ridge,12,all,eis_phase_1kHz,8873,1.2730378022377289
eis,DH3_capacity_plus_prior_same_diagnostic,3,0.4044040243537255,0.3323170448678769,0.44415655607629817,DM2_ridge,12,all,eis_phase_1kHz,8873,1.423090448513715
eis,DH0_time_nominal,3,0.5521002526481721,0.534687631198266,0.6790252567105611,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,8873,1.526221628430715
eis,DH1_capacity_state,3,0.48372560415889515,0.4380571949123447,0.564511564843221,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,8873,1.2731374568166922
eis,DH2_prior_same_diagnostic_state,3,0.4165451364471318,0.3542171835720911,0.4685942075276124,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,8873,1.3484905230323199
eis,DH3_capacity_plus_prior_same_diagnostic,3,0.40215157570812243,0.3323498308445396,0.4409157079441415,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,8873,1.3887259647748118
eis,persistence,5,0.4873618024429282,0.40962291448420823,0.5413727048830849,DM0_persistence,12,all,eis_phase_1kHz,7771,1.26375
eis,train_mean,5,0.586181480529487,0.5266737692189547,0.6774203121243204,DM1_train_mean,12,all,eis_phase_1kHz,7771,1.474386180785613
eis,DH0_time_nominal,5,0.5613327288239126,0.5189267009063269,0.6539202580463087,DM2_ridge,12,all,eis_phase_1kHz,7771,1.4167225167464774
eis,DH1_capacity_state,5,0.543864442203288,0.46922305958613864,0.5970532026533374,DM2_ridge,12,all,eis_phase_1kHz,7771,1.6355229980810362
eis,DH2_prior_same_diagnostic_state,5,0.44759507462295073,0.3987472771577827,0.5161354765895315,DM2_ridge,12,all,eis_phase_1kHz,7771,1.2631060593452619
eis,DH3_capacity_plus_prior_same_diagnostic,5,0.4491923108401022,0.3711692624696819,0.48526829756792117,DM2_ridge,12,all,eis_phase_1kHz,7771,1.5732978462313878
eis,DH0_time_nominal,5,0.570192150749074,0.5297189898032201,0.6722636026205023,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,7771,1.284424190750786
eis,DH1_capacity_state,5,0.5019988291997116,0.4429053819046686,0.5698240342229935,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,7771,1.2691139659455757
