beats_reference,candidate_feature_group,candidate_mean_mae,candidate_model_level,diagnostic_family,failure_reason,gain,horizon_checkups,is_c_rate_gate_row,is_primary_gate_row,passes_10pct_gain,passes_noncollapse,reference_feature_group,reference_mean_mae,reference_model_level,reference_name,relative_gain,split_name,target_name
True,DH3_capacity_plus_prior_same_diagnostic,0.3865458543541096,DM3_hist_gradient_boosting,eis,not_gate_row,0.03233560400730562,1,False,False,False,True,DH1_capacity_state,0.4188814583614152,DM3_hist_gradient_boosting,capacity_state,0.07719511895751215,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.3865458543541096,DM3_hist_gradient_boosting,eis,not_gate_row,0.0702428448589068,1,False,False,True,True,persistence,0.4567886992130164,DM0_persistence,persistence,0.15377535604520315,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.3865458543541096,DM3_hist_gradient_boosting,eis,not_gate_row,0.0016913928452041427,1,False,False,False,True,DH2_prior_same_diagnostic_state,0.38823724719931374,DM3_hist_gradient_boosting,prior_same_diagnostic,0.004356596018042064,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.42517098190528235,DM3_hist_gradient_boosting,eis,passes_gate_row,0.026109089253217088,2,True,False,False,True,DH1_capacity_state,0.45128007115849944,DM3_hist_gradient_boosting,capacity_state,0.0578556220889422,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.42517098190528235,DM3_hist_gradient_boosting,eis,passes_gate_row,0.11619109657752902,2,True,False,True,True,persistence,0.5413620784828114,DM0_persistence,persistence,0.2146273283550986,c_rate_holdout_fold,eis_phase_1kHz
False,DH3_capacity_plus_prior_same_diagnostic,0.42517098190528235,DM3_hist_gradient_boosting,eis,not_gate_row,-0.020295266061640338,2,False,False,False,False,DH2_prior_same_diagnostic_state,0.404875715843642,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.0501271507957719,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.39779445997052515,DM3_hist_gradient_boosting,eis,passes_gate_row,0.04609473844677203,3,True,False,True,True,DH1_capacity_state,0.4438891984172972,DM3_hist_gradient_boosting,capacity_state,0.10384289280100636,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.39779445997052515,DM3_hist_gradient_boosting,eis,passes_gate_row,0.08993509393282062,3,True,False,True,True,persistence,0.48772955390334577,DM0_persistence,persistence,0.18439541588788613,c_rate_holdout_fold,eis_phase_1kHz
False,DH3_capacity_plus_prior_same_diagnostic,0.39779445997052515,DM3_hist_gradient_boosting,eis,not_gate_row,-6.106924522797375e-05,3,False,False,False,False,DH2_prior_same_diagnostic_state,0.3977333907252972,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.0001535431689972253,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.36813902871239396,DM3_hist_gradient_boosting,eis,not_gate_row,0.08151966973498354,5,False,False,True,True,DH1_capacity_state,0.4496586984473775,DM3_hist_gradient_boosting,capacity_state,0.1812923224135596,c_rate_holdout_fold,eis_phase_1kHz
