feature_group,horizon_checkups,max_abs_error,mean_abs_error,median_abs_error,model_level,parameter_set,rows,split_name,target_name
DH2_prior_same_diagnostic_state,2,1.914456098370441,1.7683749163607996,1.7950515710314598,DM3_hist_gradient_boosting,23,3,temperature_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.9048028346561372,1.7419103443173103,1.819148290438232,DM3_hist_gradient_boosting,23,3,condition_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.8769877453889947,1.707461684853597,1.71882465604759,DM3_hist_gradient_boosting,23,3,temperature_holdout_fold,eis_phase_1kHz
persistence,2,2.03,1.676,1.578,DM0_persistence,23,3,condition_fold,eis_phase_1kHz
persistence,2,2.03,1.676,1.578,DM0_persistence,23,3,temperature_holdout_fold,eis_phase_1kHz
persistence,2,2.03,1.676,1.578,DM0_persistence,23,3,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,2.34487587321743,1.6487497865140002,1.78169126326731,DM3_hist_gradient_boosting,36,3,c_rate_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.728998895335715,1.5974204737659055,1.7113049931293651,DM3_hist_gradient_boosting,23,3,condition_fold,eis_phase_1kHz
DH1_capacity_state,2,1.9144520688634674,1.582015403396998,1.6102970706637634,DM3_hist_gradient_boosting,23,3,temperature_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.8460843731617267,1.5467033969650699,1.732860631218194,DM3_hist_gradient_boosting,36,3,c_rate_holdout_fold,eis_phase_1kHz
persistence,2,1.807,1.5350000000000001,1.425,DM0_persistence,36,3,c_rate_holdout_fold,eis_phase_1kHz
persistence,2,1.807,1.5350000000000001,1.425,DM0_persistence,36,3,condition_fold,eis_phase_1kHz
persistence,2,1.807,1.5350000000000001,1.425,DM0_persistence,36,3,voltage_window_holdout_fold,eis_phase_1kHz
persistence,2,1.6720000000000002,1.5236666666666665,1.505,DM0_persistence,32,3,c_rate_holdout_fold,eis_phase_1kHz
persistence,2,1.6720000000000002,1.5236666666666665,1.505,DM0_persistence,32,3,condition_fold,eis_phase_1kHz
persistence,2,1.6720000000000002,1.5236666666666665,1.505,DM0_persistence,32,3,voltage_window_holdout_fold,eis_phase_1kHz
persistence,3,1.7730000000000001,1.5200000000000002,1.44,DM0_persistence,28,3,c_rate_holdout_fold,eis_phase_1kHz
persistence,3,1.7730000000000001,1.5200000000000002,1.44,DM0_persistence,28,3,condition_fold,eis_phase_1kHz
persistence,3,1.7730000000000001,1.5200000000000002,1.44,DM0_persistence,28,3,temperature_holdout_fold,eis_phase_1kHz
persistence,3,1.7730000000000001,1.5200000000000002,1.44,DM0_persistence,28,3,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.7547068900376326,1.453088033569319,1.5753031567005293,DM3_hist_gradient_boosting,32,3,c_rate_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.7932403443697926,1.4076022300823017,1.4246467993059633,DM3_hist_gradient_boosting,36,3,c_rate_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.7070403408731658,1.401913031540798,1.6309056337667966,DM3_hist_gradient_boosting,32,3,c_rate_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,3,1.584016039697984,1.3887259647748118,1.3278464434018316,DM3_hist_gradient_boosting,28,3,c_rate_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,2.1090741135147395,1.3881136942912806,1.3911248743835074,DM3_hist_gradient_boosting,70,4,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.5052790615608516,1.3675605255428829,1.491999659522346,DM3_hist_gradient_boosting,32,3,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,3,2.1059769341758656,1.3484905230323199,1.5281361933334145,DM3_hist_gradient_boosting,67,6,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,1.669639388927005,1.3426961570616707,1.3737245411290036,DM3_hist_gradient_boosting,23,3,condition_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,1.8822216104150935,1.3096101074025064,1.3697116708754669,DM3_hist_gradient_boosting,70,4,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,3,1.552215700781289,1.3026516972531503,1.1790019479090479,DM3_hist_gradient_boosting,28,3,temperature_holdout_fold,eis_phase_1kHz
