diagnostic_family,gain_10pct_rows,horizon_checkups,max_relative_gain,mean_gain,mean_relative_gain,min_gain,min_relative_gain,nonnegative_gain_rows,positive_gain_rows,reference_name,rows,split_name,target_name
eis,1,1,0.2698203846844972,0.11200664275809596,0.2698203846844972,0.11200664275809596,0.2698203846844972,1,1,capacity_state,1,all,eis_phase_1kHz
eis,0,1,0.07567851859430108,0.024816944147705744,0.07567851859430108,0.024816944147705744,0.07567851859430108,1,1,persistence,1,all,eis_phase_1kHz
eis,0,1,0.04115488758793953,0.01300983199665734,0.04115488758793953,0.01300983199665734,0.04115488758793953,1,1,prior_same_diagnostic,1,all,eis_phase_1kHz
eis,0,1,0.07719511895751215,0.03233560400730562,0.07719511895751215,0.03233560400730562,0.07719511895751215,1,1,capacity_state,1,c_rate_holdout_fold,eis_phase_1kHz
eis,1,1,0.15377535604520315,0.0702428448589068,0.15377535604520315,0.0702428448589068,0.15377535604520315,1,1,persistence,1,c_rate_holdout_fold,eis_phase_1kHz
eis,0,1,0.004356596018042064,0.0016913928452041427,0.004356596018042064,0.0016913928452041427,0.004356596018042064,1,1,prior_same_diagnostic,1,c_rate_holdout_fold,eis_phase_1kHz
eis,1,1,0.27796250828304986,0.11320962234399112,0.27796250828304986,0.11320962234399112,0.27796250828304986,1,1,capacity_state,1,condition_fold,eis_phase_1kHz
eis,0,1,0.06623560597408168,0.02085984479750075,0.06623560597408168,0.02085984479750075,0.06623560597408168,1,1,persistence,1,condition_fold,eis_phase_1kHz
eis,0,1,0.004703135698164941,0.0013896061968158846,0.004703135698164941,0.0013896061968158846,0.004703135698164941,1,1,prior_same_diagnostic,1,condition_fold,eis_phase_1kHz
eis,1,1,0.2570894876587399,0.09876246576738079,0.2570894876587399,0.09876246576738079,0.2570894876587399,1,1,capacity_state,1,profile_holdout_fold,eis_phase_1kHz
eis,1,1,0.11480609014854645,0.037014391888615605,0.11480609014854645,0.037014391888615605,0.11480609014854645,1,1,persistence,1,profile_holdout_fold,eis_phase_1kHz
eis,0,1,0.07945927375728766,0.024634610127767853,0.07945927375728766,0.024634610127767853,0.07945927375728766,1,1,prior_same_diagnostic,1,profile_holdout_fold,eis_phase_1kHz
eis,1,1,0.3097592288948624,0.13387505215995876,0.3097592288948624,0.13387505215995876,0.3097592288948624,1,1,capacity_state,1,temperature_holdout_fold,eis_phase_1kHz
eis,0,1,0.06467054198313664,0.020626136865489197,0.06467054198313664,0.020626136865489197,0.06467054198313664,1,1,persistence,1,temperature_holdout_fold,eis_phase_1kHz
eis,0,1,0.04144711315256864,0.012898945695938357,0.04144711315256864,0.012898945695938357,0.04144711315256864,1,1,prior_same_diagnostic,1,temperature_holdout_fold,eis_phase_1kHz
eis,1,1,0.2968053633126573,0.126394475760864,0.2968053633126573,0.126394475760864,0.2968053633126573,1,1,capacity_state,1,voltage_window_holdout_fold,eis_phase_1kHz
eis,0,1,0.0476960885768423,0.014998198435488108,0.0476960885768423,0.014998198435488108,0.0476960885768423,1,1,persistence,1,voltage_window_holdout_fold,eis_phase_1kHz
eis,0,1,0.09749338362514001,0.032348686203653276,0.09749338362514001,0.032348686203653276,0.09749338362514001,1,1,prior_same_diagnostic,1,voltage_window_holdout_fold,eis_phase_1kHz
eis,1,2,0.24384693746950906,0.10467939098068685,0.24384693746950906,0.10467939098068685,0.24384693746950906,1,1,capacity_state,1,all,eis_phase_1kHz
eis,0,2,0.096622745123255,0.03471872895511635,0.096622745123255,0.03471872895511635,0.096622745123255,1,1,persistence,1,all,eis_phase_1kHz
eis,0,2,0.05341271524331942,0.018316293190885402,0.05341271524331942,0.018316293190885402,0.05341271524331942,1,1,prior_same_diagnostic,1,all,eis_phase_1kHz
eis,0,2,0.0578556220889422,0.026109089253217088,0.0578556220889422,0.026109089253217088,0.0578556220889422,1,1,capacity_state,1,c_rate_holdout_fold,eis_phase_1kHz
eis,1,2,0.2146273283550986,0.11619109657752902,0.2146273283550986,0.11619109657752902,0.2146273283550986,1,1,persistence,1,c_rate_holdout_fold,eis_phase_1kHz
eis,0,2,-0.0501271507957719,-0.020295266061640338,-0.0501271507957719,-0.020295266061640338,-0.0501271507957719,0,0,prior_same_diagnostic,1,c_rate_holdout_fold,eis_phase_1kHz
eis,1,2,0.2721210504352899,0.11258737061074331,0.2721210504352899,0.11258737061074331,0.2721210504352899,1,1,capacity_state,1,condition_fold,eis_phase_1kHz
eis,1,2,0.11354530557853294,0.03857441395568889,0.11354530557853294,0.03857441395568889,0.11354530557853294,1,1,persistence,1,condition_fold,eis_phase_1kHz
eis,0,2,0.03663818594054076,0.011453315712656231,0.03663818594054076,0.011453315712656231,0.03663818594054076,1,1,prior_same_diagnostic,1,condition_fold,eis_phase_1kHz
eis,1,2,0.22825086256125895,0.0910233540412333,0.22825086256125895,0.0910233540412333,0.22825086256125895,1,1,capacity_state,1,profile_holdout_fold,eis_phase_1kHz
