feature_group,folds,horizon_checkups,max_worst_condition_brier,max_worst_condition_mae,mean_auprc,mean_auroc,mean_brier,mean_condition_mean_brier,mean_condition_mean_mae,mean_ece_10_bin,mean_ece_10_bin_equal_freq,mean_log_loss,mean_mae,mean_rmse,model_level,n_test,split_name,target,task
D0_capacity_state_reference,12,2,,0.7936656101298741,,,,,0.17169418134358147,,,,0.09306841334653655,0.14920837618841926,DS0_regularized_linear,9723,all,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,12,2,,0.7753447846024418,,,,,0.17289416248064912,,,,0.0956557306726775,0.15091127334168677,DS0_regularized_linear,9723,all,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,12,2,,0.7885959685180296,,,,,0.17274923670473763,,,,0.09581444740421118,0.1508942114659744,DS0_regularized_linear,9723,all,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,12,2,,0.7738881572473316,,,,,0.17406610444151502,,,,0.09946443370502772,0.15320276592392978,DS0_regularized_linear,9723,all,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,12,2,,0.6639177839981095,,,,,0.1403077794168874,,,,0.0773609496377813,0.14327199561655776,DS1_hist_gradient_boosting,9723,all,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,12,2,,0.7798742209637197,,,,,0.1474879783877468,,,,0.08199814842899363,0.14847559168709737,DS1_hist_gradient_boosting,9723,all,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,12,2,,0.7075464384202528,,,,,0.14519314722307272,,,,0.08367056813176943,0.1506263582172125,DS1_hist_gradient_boosting,9723,all,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,12,2,,0.7772252524258372,,,,,0.1485051012862837,,,,0.08388686507032883,0.15009904706474833,DS1_hist_gradient_boosting,9723,all,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,12,3,,0.8535108367058165,,,,,0.1607256493256943,,,,0.10477792060480538,0.16770491169796733,DS0_regularized_linear,9089,all,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,12,3,,0.8490416997963447,,,,,0.16332485000691352,,,,0.10864141206743881,0.16984296821160305,DS0_regularized_linear,9089,all,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,12,3,,0.8518255200259266,,,,,0.16328328939542971,,,,0.10916069323506143,0.17007748091597494,DS0_regularized_linear,9089,all,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,12,3,,0.8487758572440385,,,,,0.16630457768155624,,,,0.11371895065225524,0.17282306905120326,DS0_regularized_linear,9089,all,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,12,3,,0.7438971172561464,,,,,0.15325094231913616,,,,0.09353041291001336,0.168529454985768,DS1_hist_gradient_boosting,9089,all,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,12,3,,0.8358798846083713,,,,,0.15486222323434432,,,,0.09558570226556705,0.16888980871287815,DS1_hist_gradient_boosting,9089,all,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,12,3,,0.7825103281382876,,,,,0.16471118250443348,,,,0.10450551431264476,0.1794257152704687,DS1_hist_gradient_boosting,9089,all,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,12,3,,0.7907630015943948,,,,,0.1625625542098946,,,,0.10218352465979923,0.17754443029677483,DS1_hist_gradient_boosting,9089,all,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,12,2,,0.7934987516399971,,,,,0.17176423361644352,,,,0.09310438290874236,0.1492122872567427,DS0_regularized_linear,9723,all,delta_capacity_Ah_h,capacity_horizon
D1_predicted_pulse_state,12,2,,0.7750437911122185,,,,,0.17293367375734323,,,,0.09569971610066687,0.1509088032055688,DS0_regularized_linear,9723,all,delta_capacity_Ah_h,capacity_horizon
D2_predicted_eis_state,12,2,,0.788531691021162,,,,,0.17280451829794266,,,,0.09586587439176449,0.15092832530920416,DS0_regularized_linear,9723,all,delta_capacity_Ah_h,capacity_horizon
D3_predicted_pulse_eis_state,12,2,,0.7736384032200135,,,,,0.1740268463351657,,,,0.09946290404540886,0.15317958758390604,DS0_regularized_linear,9723,all,delta_capacity_Ah_h,capacity_horizon
D0_capacity_state_reference,12,2,,0.6748523876034263,,,,,0.1348169341251768,,,,0.07220432936944944,0.14412883378870242,DS1_hist_gradient_boosting,9723,all,delta_capacity_Ah_h,capacity_horizon
D1_predicted_pulse_state,12,2,,0.6634757771677715,,,,,0.13545582326544442,,,,0.07208340489595032,0.14037620365016654,DS1_hist_gradient_boosting,9723,all,delta_capacity_Ah_h,capacity_horizon
D2_predicted_eis_state,12,2,,0.6212495622133044,,,,,0.13224410000092215,,,,0.0726003920588908,0.14301528895826957,DS1_hist_gradient_boosting,9723,all,delta_capacity_Ah_h,capacity_horizon
D3_predicted_pulse_eis_state,12,2,,0.6921434822341461,,,,,0.13621730975185098,,,,0.07277524409294099,0.14100125134702812,DS1_hist_gradient_boosting,9723,all,delta_capacity_Ah_h,capacity_horizon
D0_capacity_state_reference,12,3,,0.8531184989207972,,,,,0.16080436605763979,,,,0.10482793235694644,0.16771496142009437,DS0_regularized_linear,9089,all,delta_capacity_Ah_h,capacity_horizon
D1_predicted_pulse_state,12,3,,0.848730366029409,,,,,0.1633350769959575,,,,0.10864995143536417,0.16980385426223232,DS0_regularized_linear,9089,all,delta_capacity_Ah_h,capacity_horizon
D2_predicted_eis_state,12,3,,0.8513163172534284,,,,,0.16334907946909338,,,,0.10922591359332602,0.17010545655484557,DS0_regularized_linear,9089,all,delta_capacity_Ah_h,capacity_horizon
D3_predicted_pulse_eis_state,12,3,,0.8481699763605572,,,,,0.16628365326650016,,,,0.11372321493258121,0.17278080076776095,DS0_regularized_linear,9089,all,delta_capacity_Ah_h,capacity_horizon
D0_capacity_state_reference,12,3,,0.7562222594057745,,,,,0.13923694224378477,,,,0.08072773747459237,0.1580111754603714,DS1_hist_gradient_boosting,9089,all,delta_capacity_Ah_h,capacity_horizon
D1_predicted_pulse_state,12,3,,0.7618042370401703,,,,,0.14225007584113614,,,,0.08384333959200181,0.16009772706582207,DS1_hist_gradient_boosting,9089,all,delta_capacity_Ah_h,capacity_horizon
D2_predicted_eis_state,12,3,,0.7189563691201477,,,,,0.1465121771611523,,,,0.08867485517271063,0.16622847192668042,DS1_hist_gradient_boosting,9089,all,delta_capacity_Ah_h,capacity_horizon
D3_predicted_pulse_eis_state,12,3,,0.7499389234797482,,,,,0.1450043288138582,,,,0.0877902188226462,0.16649415213196977,DS1_hist_gradient_boosting,9089,all,delta_capacity_Ah_h,capacity_horizon
D0_capacity_state_reference,12,,0.5548139236686738,,0.4446457964006148,0.6672886074345956,0.15151656647862602,0.16440016695461737,,0.0904299720419663,0.1205695992412698,0.49803010748920734,,,DS0_regularized_linear,7018,all,event_within_3_checkups,threshold_warning
D1_predicted_pulse_state,12,,0.5544771494435502,,0.4548797200446056,0.6722896694518848,0.15060168843839014,0.1630373511207324,,0.08971614236191507,0.11515552566102678,0.4955058115315025,,,DS0_regularized_linear,7018,all,event_within_3_checkups,threshold_warning
D2_predicted_eis_state,12,,0.554510162246266,,0.453904690710829,0.6723544080931152,0.15058625726111122,0.16185610164977907,,0.09698791659034361,0.11460368316714643,0.49785077271217815,,,DS0_regularized_linear,7018,all,event_within_3_checkups,threshold_warning
D3_predicted_pulse_eis_state,12,,0.5598778791091156,,0.4517224005828467,0.670024645215645,0.1505881577286514,0.16242885813541,,0.09841993129770998,0.11320280514255116,0.4978161525750758,,,DS0_regularized_linear,7018,all,event_within_3_checkups,threshold_warning
D0_capacity_state_reference,12,,0.758636708231692,,0.8302233126348594,0.9435486718099272,0.09011601732726354,0.11629586434007945,,0.08699463476496888,0.08485133101675563,0.32094213712228364,,,DS1_hist_gradient_boosting,7018,all,event_within_3_checkups,threshold_warning
D1_predicted_pulse_state,12,,0.7713611887608186,,0.8496975088908992,0.9506998288499134,0.08994635034570612,0.1164137293344899,,0.08985740905457797,0.08300883337823586,0.32191341792873146,,,DS1_hist_gradient_boosting,7018,all,event_within_3_checkups,threshold_warning
