auxiliary_family,auxiliary_target,evaluated_rows,mean_mae,mean_mae_gain_vs_train_mean,mean_train_mean_baseline_mae,relative_mae_gain_vs_train_mean,split_name,task
eis,eis_phase_1kHz_k,12,0.4380252261869066,0.023885513753466425,0.461910739940373,0.05171023682313546,all,capacity_horizon
eis,eis_z_abs_1kHz_k,12,0.0007464865612228903,0.00037098374453813684,0.0011174703057610271,0.3319853267022492,all,capacity_horizon
eis,nyquist_im_peak_abs_k,12,0.0003240784303652632,1.6757220721003976e-05,0.0003408356510862672,0.04916510543306586,all,capacity_horizon
eis,nyquist_semicircle_width_proxy_k,12,0.0011313906567340909,0.00113472411283022,0.0022661147695643108,0.5007355002802374,all,capacity_horizon
pulse,pulse_10ms_resistance_k,12,0.0010079697413117952,0.0010228163544272514,0.0020307860957390466,0.5036553857510171,all,capacity_horizon
pulse,pulse_1s_resistance_k,12,0.0012933363221165038,0.0017461044553197544,0.003039440777436258,0.5744821443083284,all,capacity_horizon
eis,eis_phase_1kHz_k,12,0.4380745969314563,0.04258359792874972,0.480658194860206,0.08859434497134637,all,threshold_warning
eis,eis_z_abs_1kHz_k,12,0.0008617373248643764,0.0004640129414434092,0.0013257502663077856,0.35000026267065004,all,threshold_warning
eis,nyquist_im_peak_abs_k,12,0.00033906520071358355,2.5107716857516126e-05,0.0003641729175710997,0.06894449215217711,all,threshold_warning
eis,nyquist_semicircle_width_proxy_k,12,0.0012259615986729738,0.0012331784703169318,0.0024591400689899057,0.5014673567673033,all,threshold_warning
pulse,pulse_10ms_resistance_k,12,0.001065476956826591,0.0012576657047231605,0.0023231426615497514,0.5413639573405195,all,threshold_warning
pulse,pulse_1s_resistance_k,12,0.0013944405569215879,0.0019965923059700203,0.003391032862891608,0.5887858911126808,all,threshold_warning
