feature_group,folds,horizon_checkups,max_worst_condition_brier,max_worst_condition_mae,mean_auprc,mean_auroc,mean_brier,mean_condition_mean_brier,mean_condition_mean_mae,mean_ece_10_bin,mean_ece_10_bin_equal_freq,mean_log_loss,mean_mae,mean_rmse,model_level,n_test,split_name,target,task
D0_capacity_state_reference,1,2,,0.7235258775192003,,,,,0.37038165683674795,,,,0.24333339936008425,0.30250529909482177,DS0_regularized_linear,121,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,1,2,,0.7224249018167953,,,,,0.3693963094860028,,,,0.24249254748095875,0.30189258232401667,DS0_regularized_linear,121,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,1,2,,0.7218102736672991,,,,,0.36911839584279904,,,,0.24313872433308045,0.3017626868648019,DS0_regularized_linear,121,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,1,2,,0.71199253178905,,,,,0.36467784445344154,,,,0.24322203842095086,0.2999747586514707,DS0_regularized_linear,121,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,1,2,,0.6376246492756521,,,,,0.2697062078496358,,,,0.18368390165369589,0.263246915333304,DS1_hist_gradient_boosting,121,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,1,2,,0.7170558512114497,,,,,0.31160398730372824,,,,0.1998729632124758,0.2872441003126368,DS1_hist_gradient_boosting,121,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,1,2,,0.5764345472137746,,,,,0.29244395522728556,,,,0.19264337679940616,0.2706549622695211,DS1_hist_gradient_boosting,121,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,1,2,,0.5925102169499846,,,,,0.3020587549846799,,,,0.1930605699252473,0.27630076574000967,DS1_hist_gradient_boosting,121,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,5,2,,0.7147895783342587,,,,,0.151173821421917,,,,0.07343052613228057,0.13077860138972097,DS0_regularized_linear,3599,condition_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,5,2,,0.7026686927375931,,,,,0.15188202058075861,,,,0.07586291063863368,0.13165270424445427,DS0_regularized_linear,3599,condition_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,5,2,,0.7117951958153963,,,,,0.15213091015608532,,,,0.07544524173275362,0.13130645014746162,DS0_regularized_linear,3599,condition_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,5,2,,0.6979517420683549,,,,,0.15355893079441713,,,,0.07998307219130243,0.13409095942738522,DS0_regularized_linear,3599,condition_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,5,2,,0.550979536850681,,,,,0.10692540800853674,,,,0.0530943827552817,0.11615825877088362,DS1_hist_gradient_boosting,3599,condition_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,5,2,,0.5746513563439876,,,,,0.1137138592052245,,,,0.05683146292463096,0.12333295031571534,DS1_hist_gradient_boosting,3599,condition_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,5,2,,0.561894885070544,,,,,0.10414406638129328,,,,0.05381448387229791,0.11689856752630168,DS1_hist_gradient_boosting,3599,condition_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,5,2,,0.5877129627565489,,,,,0.10630262460119791,,,,0.05447050863155417,0.11657601786467389,DS1_hist_gradient_boosting,3599,condition_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,1,2,,0.46998831737778807,,,,,0.12352750992874843,,,,0.08017631853789577,0.14002843590890138,DS0_regularized_linear,716,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,1,2,,0.46329777285821727,,,,,0.1260854436407617,,,,0.08414268757730332,0.14136513456215016,DS0_regularized_linear,716,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,1,2,,0.46800214488620767,,,,,0.12398287594529318,,,,0.08088018840977772,0.14009539726166206,DS0_regularized_linear,716,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
