target,split_name,prior_eis_feature_group,best_noneis_feature_group,best_noneis_source_report,n_conditions,mean_gain,median_gain,win_rate,worst_condition_gain,bootstrap_resamples,gain_mean,gain_p05,gain_p50,gain_p95,win_rate_mean,target_family,feature_completeness_filter,eligible_interval_keys
delta_pulse_1s_resistance,c_rate_holdout_fold,P_E1_nominal_eis,P3_state_nominal,pulse_resistance_l0_l3_report.json,12,-9.390590913989042e-05,-2.0232700063809892e-05,0.16666666666666666,-0.0005095457954451318,1000,-9.054325208458853e-05,-0.00018568147554845436,-8.532932645590195e-05,-1.3465748420576287e-05,0.16566666666666666,pulse,all_rt50,3827
delta_pulse_1s_resistance,condition_fold,P_E3_stress_eis,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,76,1.3029013606356756e-05,1.559028346590619e-05,0.5921052631578947,-0.0006429315146437106,1000,1.3009919645465802e-05,-2.7637722923185615e-05,1.2343983446534847e-05,5.645453568205589e-05,0.5932631578947368,pulse,all_rt50,3827
delta_pulse_1s_resistance,profile_holdout_fold,P_E1_nominal_eis,P3_state_nominal,pulse_resistance_l0_l3_report.json,12,3.0680541730513534e-05,3.6539414333309724e-05,0.8333333333333334,-0.00013277698707742157,1000,3.103290201735406e-05,1.275315623935839e-06,3.11118799036068e-05,6.14917531699826e-05,0.8350833333333334,pulse,all_rt50,3827
delta_pulse_1s_resistance,temperature_holdout_fold,P_E3_stress_eis,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,38,2.47078163647647e-05,4.243366860166885e-06,0.5789473684210527,-0.0003370711291735412,1000,2.4206716561156306e-05,-1.4655421653364533e-05,2.3532124336195813e-05,6.880979028712911e-05,0.5776842105263158,pulse,all_rt50,3827
delta_pulse_1s_resistance,voltage_window_holdout_fold,P_E1_nominal_eis,P1_state_time,pulse_resistance_l0_l3_report.json,76,-7.744874207204302e-05,7.63271950336315e-05,0.618421052631579,-0.002283269445273558,1000,-7.73269451201006e-05,-0.00023314400746138122,-7.179089368843944e-05,6.184427335829428e-05,0.6204342105263159,pulse,all_rt50,3827
capacity_Ah_k1,c_rate_holdout_fold,C_E2_log_age_eis,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,12,-0.005279204538350871,-0.0035095425550991516,0.4166666666666667,-0.04008242056706683,1000,-0.005189712581242932,-0.013944372826768745,-0.005083016717289378,0.0037428119925803616,0.4159166666666667,capacity,all_rt50,3827
capacity_Ah_k1,condition_fold,C_E2_log_age_eis,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,76,-0.0004945740783821386,-0.0001705194455767882,0.4868421052631579,-0.05096643871141979,1000,-0.0005002413163646635,-0.0032304768057170477,-0.0004913758129108522,0.002100255333953375,0.48760526315789476,capacity,all_rt50,3827
capacity_Ah_k1,profile_holdout_fold,C_E0_state_time_eis,F1_state_time,capacity_hgb50_focused_report.json,12,0.006765480045867679,0.006105711222181004,0.8333333333333334,-0.0018274947887237138,1000,0.006649591182416639,0.0038406236811399626,0.006508188970422112,0.009803818506614607,0.8316666666666667,capacity,all_rt50,3827
capacity_Ah_k1,temperature_holdout_fold,C_E3_stress_eis,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,38,-0.00041749565791934,-0.0006650577905295985,0.39473684210526316,-0.04795638706420738,1000,-0.00037992483534369896,-0.003335619585274966,-0.0003274608648385621,0.0022976222396969876,0.396,capacity,all_rt50,3827
capacity_Ah_k1,voltage_window_holdout_fold,C_E2_log_age_eis,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,76,5.1061093909377756e-05,0.0016185470386520344,0.5657894736842105,-0.045461690244952266,1000,7.752243584764092e-05,-0.0025125623640410324,0.00012021230984815432,0.0024947831315119896,0.5664736842105264,capacity,all_rt50,3827
delta_capacity_Ah,c_rate_holdout_fold,C_E3_stress_eis,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,12,0.003392623301369179,0.005546400363272988,0.6666666666666666,-0.05801461487098977,1000,0.0033930709536697363,-0.008943787326343218,0.0034471177614549798,0.014599709989930518,0.6660833333333334,capacity,all_rt50,3827
delta_capacity_Ah,condition_fold,C_E3_stress_eis,F8_timestamp_weighted_stress,capacity_stress_features_v1_1_hgb50_report.json,76,-0.0015255354233879542,-0.000539693653949791,0.4473684210526316,-0.019626329995837674,1000,-0.0015350869364922646,-0.002687509968456958,-0.00151864069457463,-0.00045176812786906816,0.44793421052631577,capacity,all_rt50,3827
delta_capacity_Ah,profile_holdout_fold,C_E0_state_time_eis,F1_state_time,capacity_hgb50_focused_report.json,12,0.0076397990132853295,0.007434359946194999,0.8333333333333334,-0.003117944927248678,1000,0.007506009304672207,0.004284723344092816,0.007424657873758965,0.010950130960878667,0.8343333333333334,capacity,all_rt50,3827
delta_capacity_Ah,temperature_holdout_fold,C_E2_log_age_eis,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,38,-0.002598369742762812,-0.0009707850979019626,0.4473684210526316,-0.054046263422183896,1000,-0.0026685685100664557,-0.0076144936781574225,-0.0025342951252958408,0.002255413689835445,0.4477894736842105,capacity,all_rt50,3827
delta_capacity_Ah,voltage_window_holdout_fold,C_E2_log_age_eis,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,76,0.0007340932397699554,-0.00011409809865072906,0.4868421052631579,-0.03220757111095415,1000,0.0006649070335441628,-0.0018162539450221925,0.0006269230827545562,0.0033479976143064093,0.4873157894736842,capacity,all_rt50,3827
delta_pulse_1s_resistance,c_rate_holdout_fold,P_E1_nominal_eis,P3_state_nominal,pulse_resistance_l0_l3_report.json,12,-9.390590913989042e-05,-2.0232700063809892e-05,0.16666666666666666,-0.0005095457954451318,1000,-9.054325208458853e-05,-0.00018568147554845436,-8.532932645590195e-05,-1.3465748420576287e-05,0.16566666666666666,pulse,complete_selected_frequencies,3821
delta_pulse_1s_resistance,condition_fold,P_E3_stress_eis,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,76,1.3029013606356756e-05,1.559028346590619e-05,0.5921052631578947,-0.0006429315146437106,1000,1.3009919645465802e-05,-2.7637722923185615e-05,1.2343983446534847e-05,5.645453568205589e-05,0.5932631578947368,pulse,complete_selected_frequencies,3821
delta_pulse_1s_resistance,profile_holdout_fold,P_E1_nominal_eis,P3_state_nominal,pulse_resistance_l0_l3_report.json,12,3.0680541730513534e-05,3.6539414333309724e-05,0.8333333333333334,-0.00013277698707742157,1000,3.103290201735406e-05,1.275315623935839e-06,3.11118799036068e-05,6.14917531699826e-05,0.8350833333333334,pulse,complete_selected_frequencies,3821
delta_pulse_1s_resistance,temperature_holdout_fold,P_E3_stress_eis,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,38,2.47078163647647e-05,4.243366860166885e-06,0.5789473684210527,-0.0003370711291735412,1000,2.4206716561156306e-05,-1.4655421653364533e-05,2.3532124336195813e-05,6.880979028712911e-05,0.5776842105263158,pulse,complete_selected_frequencies,3821
delta_pulse_1s_resistance,voltage_window_holdout_fold,P_E1_nominal_eis,P1_state_time,pulse_resistance_l0_l3_report.json,76,-7.744874207204302e-05,7.63271950336315e-05,0.618421052631579,-0.002283269445273558,1000,-7.73269451201006e-05,-0.00023314400746138122,-7.179089368843944e-05,6.184427335829428e-05,0.6204342105263159,pulse,complete_selected_frequencies,3821
capacity_Ah_k1,c_rate_holdout_fold,C_E2_log_age_eis,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,12,-0.005279204538350871,-0.0035095425550991516,0.4166666666666667,-0.04008242056706683,1000,-0.005189712581242932,-0.013944372826768745,-0.005083016717289378,0.0037428119925803616,0.4159166666666667,capacity,complete_selected_frequencies,3821
capacity_Ah_k1,condition_fold,C_E2_log_age_eis,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,76,-0.0004945740783821386,-0.0001705194455767882,0.4868421052631579,-0.05096643871141979,1000,-0.0005002413163646635,-0.0032304768057170477,-0.0004913758129108522,0.002100255333953375,0.48760526315789476,capacity,complete_selected_frequencies,3821
capacity_Ah_k1,profile_holdout_fold,C_E0_state_time_eis,F1_state_time,capacity_hgb50_focused_report.json,12,0.006765480045867679,0.006105711222181004,0.8333333333333334,-0.0018274947887237138,1000,0.006649591182416639,0.0038406236811399626,0.006508188970422112,0.009803818506614607,0.8316666666666667,capacity,complete_selected_frequencies,3821
capacity_Ah_k1,temperature_holdout_fold,C_E3_stress_eis,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,38,-0.00041749565791934,-0.0006650577905295985,0.39473684210526316,-0.04795638706420738,1000,-0.00037992483534369896,-0.003335619585274966,-0.0003274608648385621,0.0022976222396969876,0.396,capacity,complete_selected_frequencies,3821
capacity_Ah_k1,voltage_window_holdout_fold,C_E2_log_age_eis,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,76,5.1061093909377756e-05,0.0016185470386520344,0.5657894736842105,-0.045461690244952266,1000,7.752243584764092e-05,-0.0025125623640410324,0.00012021230984815432,0.0024947831315119896,0.5664736842105264,capacity,complete_selected_frequencies,3821
delta_capacity_Ah,c_rate_holdout_fold,C_E3_stress_eis,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,12,0.003392623301369179,0.005546400363272988,0.6666666666666666,-0.05801461487098977,1000,0.0033930709536697363,-0.008943787326343218,0.0034471177614549798,0.014599709989930518,0.6660833333333334,capacity,complete_selected_frequencies,3821
