run_scope,model_level,feature_group,target,split_name,fold_count,condition_mean_mae,condition_median_mae,worst_condition_mae,mean_mae,mean_rmse,test_rows
primary,L0_persistence,E0_persistence,delta_eis_z_abs_1kHz,c_rate_holdout_fold,1,0.0017618527343027342,0.0016139692307692308,0.0035798333333333337,0.001291531914893617,0.002233800333306004,141
primary,L0_persistence,E0_persistence,delta_eis_z_abs_1kHz,condition_fold,5,0.0007791464359502642,0.0005730286505599626,0.0035798333333333337,0.0003699197015248749,0.0009416072666934862,3744
primary,L0_persistence,E0_persistence,delta_eis_z_abs_1kHz,profile_holdout_fold,1,0.0004912516771568824,0.00036680716981132063,0.0019307499999999995,0.0003062024623803009,0.0007228276591950538,731
primary,L0_persistence,E0_persistence,delta_eis_z_abs_1kHz,temperature_holdout_fold,2,0.0008786497513205335,0.0008020607142857144,0.00311,0.000426806827890036,0.0010670436052130218,1753
primary,L0_persistence,E0_persistence,delta_eis_z_abs_1kHz,voltage_window_holdout_fold,3,0.0006713675127101546,0.00047765342713865824,0.0035798333333333337,0.0003643126194981064,0.0008251317204122165,3744
primary,L0_persistence,E0_persistence,delta_nyquist_semicircle_width_proxy,c_rate_holdout_fold,1,0.0020158424200799204,0.0016318333333333337,0.003872499999999999,0.0014528794326241136,0.0020877900019395106,141
primary,L0_persistence,E0_persistence,delta_nyquist_semicircle_width_proxy,condition_fold,5,0.0010654691894771272,0.0007242862302955949,0.004830818181818182,0.0006168160418874329,0.0013804643919554378,3744
primary,L0_persistence,E0_persistence,delta_nyquist_semicircle_width_proxy,profile_holdout_fold,1,0.0007104075389760309,0.0005787306559571621,0.0019489166666666672,0.0005551874145006841,0.0008422914758161559,731
primary,L0_persistence,E0_persistence,delta_nyquist_semicircle_width_proxy,temperature_holdout_fold,2,0.001144858099456166,0.0009133346153846156,0.004830818181818182,0.0006681229334886648,0.0019983297680896284,1753
primary,L0_persistence,E0_persistence,delta_nyquist_semicircle_width_proxy,voltage_window_holdout_fold,3,0.0009416292949927391,0.0007486617876615721,0.004830818181818182,0.0006180285244903605,0.0013696628237949043,3744
primary,L0_persistence,E0_persistence,eis_z_abs_1kHz_k1,c_rate_holdout_fold,1,0.0017618527343027342,0.0016139692307692308,0.0035798333333333337,0.001291531914893617,0.002233800333306004,142
primary,L0_persistence,E0_persistence,eis_z_abs_1kHz_k1,condition_fold,5,0.0007791464359502642,0.0005730286505599626,0.0035798333333333337,0.0003699197015248749,0.0009416072666934862,3750
primary,L0_persistence,E0_persistence,eis_z_abs_1kHz_k1,profile_holdout_fold,1,0.0004912516771568824,0.00036680716981132063,0.0019307499999999995,0.0003062024623803009,0.0007228276591950538,733
primary,L0_persistence,E0_persistence,eis_z_abs_1kHz_k1,temperature_holdout_fold,2,0.0008786497513205335,0.0008020607142857144,0.00311,0.000426806827890036,0.0010670436052130218,1756
primary,L0_persistence,E0_persistence,eis_z_abs_1kHz_k1,voltage_window_holdout_fold,3,0.0006713675127101546,0.00047765342713865824,0.0035798333333333337,0.0003643126194981064,0.0008251317204122165,3750
primary,L0_persistence,E0_persistence,nyquist_semicircle_width_proxy_k1,c_rate_holdout_fold,1,0.0020158424200799204,0.0016318333333333337,0.003872499999999999,0.0014528794326241136,0.0020877900019395106,142
primary,L0_persistence,E0_persistence,nyquist_semicircle_width_proxy_k1,condition_fold,5,0.0010654691894771272,0.0007242862302955949,0.004830818181818182,0.0006168160418874329,0.0013804643919554378,3750
primary,L0_persistence,E0_persistence,nyquist_semicircle_width_proxy_k1,profile_holdout_fold,1,0.0007104075389760309,0.0005787306559571621,0.0019489166666666672,0.0005551874145006841,0.0008422914758161559,733
primary,L0_persistence,E0_persistence,nyquist_semicircle_width_proxy_k1,temperature_holdout_fold,2,0.001144858099456166,0.0009133346153846156,0.004830818181818182,0.0006681229334886648,0.0019983297680896284,1756
primary,L0_persistence,E0_persistence,nyquist_semicircle_width_proxy_k1,voltage_window_holdout_fold,3,0.0009416292949927391,0.0007486617876615721,0.004830818181818182,0.0006180285244903605,0.0013696628237949043,3750
primary,L1_ridge,E0_persistence,delta_eis_z_abs_1kHz,c_rate_holdout_fold,1,0.0016205540020787486,0.0015063697871313896,0.0034784208929406236,0.0011219832107376363,0.0020604676576531527,141
primary,L1_ridge,E0_persistence,delta_eis_z_abs_1kHz,condition_fold,5,0.000692348202211296,0.0004752363598952665,0.0034301321140235114,0.00034597524305149,0.0008056403202006037,3744
primary,L1_ridge,E0_persistence,delta_eis_z_abs_1kHz,profile_holdout_fold,1,0.0005131786037820754,0.00041230992713998824,0.0017748046280590447,0.0004077620702996648,0.000654117886054268,731
primary,L1_ridge,E0_persistence,delta_eis_z_abs_1kHz,temperature_holdout_fold,2,0.0007635287126040243,0.0006080452256479348,0.0030913417997575163,0.0003943279131790739,0.0009333740386270283,1753
primary,L1_ridge,E0_persistence,delta_eis_z_abs_1kHz,voltage_window_holdout_fold,3,0.000677809765930979,0.00043970152201489336,0.003458480478446453,0.00041570595049553486,0.0008376512202603405,3744
primary,L1_ridge,E0_persistence,delta_nyquist_semicircle_width_proxy,c_rate_holdout_fold,1,0.0017853194932054954,0.0013002023171429303,0.0036562068989937115,0.0012032625091869694,0.0018820901230626836,141
primary,L1_ridge,E0_persistence,delta_nyquist_semicircle_width_proxy,condition_fold,5,0.0009051368323048433,0.0005579561003207386,0.004509604395031524,0.0005425478588821925,0.0012386984552231806,3744
primary,L1_ridge,E0_persistence,delta_nyquist_semicircle_width_proxy,profile_holdout_fold,1,0.0006283745809101041,0.0005232214577221046,0.0017296876753750466,0.0005315084580066829,0.0007321563250453303,731
primary,L1_ridge,E0_persistence,delta_nyquist_semicircle_width_proxy,temperature_holdout_fold,2,0.001003865770338843,0.0007057163532000497,0.004549362781129342,0.0006350803358187411,0.001953828069453881,1753
primary,L1_ridge,E0_persistence,delta_nyquist_semicircle_width_proxy,voltage_window_holdout_fold,3,0.0009452535369845625,0.0006461773358022405,0.004554546766813241,0.0006542902677393233,0.0014443983473828327,3744
primary,L1_ridge,E0_persistence,eis_z_abs_1kHz_k1,c_rate_holdout_fold,1,0.0016176244623763547,0.0015062680066219825,0.0034769967440837304,0.0011195895815186102,0.002053942598816283,142
primary,L1_ridge,E0_persistence,eis_z_abs_1kHz_k1,condition_fold,5,0.0006973588057052297,0.0004792620954150996,0.003427747799444524,0.00035023454374348193,0.0008268077948601516,3750
primary,L1_ridge,E0_persistence,eis_z_abs_1kHz_k1,profile_holdout_fold,1,0.0005413300685173085,0.0004270149145110182,0.0017757125587928053,0.000423097390476759,0.0007676786375902875,733
primary,L1_ridge,E0_persistence,eis_z_abs_1kHz_k1,temperature_holdout_fold,2,0.0007638240622264257,0.0006076294537475579,0.00309123984515425,0.0003965185337530061,0.0009350839341261061,1756
primary,L1_ridge,E0_persistence,eis_z_abs_1kHz_k1,voltage_window_holdout_fold,3,0.0006823692263446753,0.00044673604322238383,0.0034598983324222433,0.00042052341646697686,0.00085697256432371,3750
primary,L1_ridge,E0_persistence,nyquist_semicircle_width_proxy_k1,c_rate_holdout_fold,1,0.0017942892880540183,0.0013218887539409945,0.0036560845583364816,0.0012118409850751738,0.001886377794355782,142
primary,L1_ridge,E0_persistence,nyquist_semicircle_width_proxy_k1,condition_fold,5,0.0009126834948077224,0.0005777075286318831,0.004508678694809543,0.0005474139545104737,0.0012564256834973735,3750
primary,L1_ridge,E0_persistence,nyquist_semicircle_width_proxy_k1,profile_holdout_fold,1,0.0006546437564840486,0.0005774224473781909,0.001731123489558246,0.0005449217212439864,0.0008288468324537413,733
primary,L1_ridge,E0_persistence,nyquist_semicircle_width_proxy_k1,temperature_holdout_fold,2,0.0010085244706295462,0.0007062767682902079,0.004549498557821258,0.0006383934219475721,0.0019594777243095436,1756
primary,L1_ridge,E0_persistence,nyquist_semicircle_width_proxy_k1,voltage_window_holdout_fold,3,0.0009516143334457631,0.0006676403098704002,0.0045529559999495945,0.000659471083165903,0.0014633253242730293,3750
primary,L1_ridge,E1_state_time,delta_eis_z_abs_1kHz,c_rate_holdout_fold,1,0.0015153609579514726,0.0013167683696885474,0.003427693768032489,0.0010278755429484877,0.001946729487062071,141
primary,L1_ridge,E1_state_time,delta_eis_z_abs_1kHz,condition_fold,5,0.0006706425304394017,0.00044184416255536456,0.003344127902134801,0.00037498262579754773,0.0007693741074109393,3744
primary,L1_ridge,E1_state_time,delta_eis_z_abs_1kHz,profile_holdout_fold,1,0.0004588873347447806,0.0003939434959922123,0.0015181319376406145,0.0003613501422484644,0.0006011929685318961,731
primary,L1_ridge,E1_state_time,delta_eis_z_abs_1kHz,temperature_holdout_fold,2,0.000726802659981507,0.0005395523992406836,0.002938003719128803,0.0004160263570919196,0.000883763986855044,1753
primary,L1_ridge,E1_state_time,delta_eis_z_abs_1kHz,voltage_window_holdout_fold,3,0.0006698639434506323,0.0004810200845734385,0.0033418277393237397,0.0004391849604104218,0.0008098802979136879,3744
primary,L1_ridge,E1_state_time,delta_nyquist_semicircle_width_proxy,c_rate_holdout_fold,1,0.001647267281256344,0.0010848053400332241,0.0036353201668407552,0.0010424492446270207,0.0017344426909033472,141
primary,L1_ridge,E1_state_time,delta_nyquist_semicircle_width_proxy,condition_fold,5,0.0008304596489071269,0.0005107083152167365,0.0043791693453458765,0.0005337133772747401,0.0012117274353033527,3744
primary,L1_ridge,E1_state_time,delta_nyquist_semicircle_width_proxy,profile_holdout_fold,1,0.0005203805842036234,0.0004809664524806456,0.0012568371261239683,0.0004635377267756427,0.0007324677651521583,731
