comparison,target,split_name,heldout_fold,reference_model_level,reference_feature_group,candidate_model_level,candidate_feature_group,reference_condition_mean_mae,candidate_condition_mean_mae,gain,test_rows,test_parameter_sets
true_sequence_vs_shuffled,capacity_Ah_k1,c_rate_holdout_fold,1,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.7065313366570161,0.3352501263923744,0.37128121026464167,157,12
true_sequence_vs_shuffled,delta_capacity_Ah,c_rate_holdout_fold,1,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.7096777274927804,0.33913976323130796,0.3705379642614724,157,12
true_sequence_vs_shuffled,capacity_Ah_k1,c_rate_holdout_fold,1,S3_torch_mlp_shuffled_sequence,E0_f4_plus_event_sequence,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,2.644855137474737,0.987951703947437,1.6569034335273,157,12
true_sequence_vs_shuffled,delta_capacity_Ah,c_rate_holdout_fold,1,S3_torch_mlp_shuffled_sequence,E0_f4_plus_event_sequence,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.4875854293709588,0.5109201177086475,-0.023334688337688758,157,12
true_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.13157356792440153,0.3352501263923744,-0.20367655846797286,157,12
true_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.09546361519432946,0.33913976323130796,-0.2436761480369785,157,12
true_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.13157356792440153,0.987951703947437,-0.8563781360230355,157,12
true_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.09546361519432946,0.5109201177086475,-0.4154565025143181,157,12
true_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.12244211150469492,0.3352501263923744,-0.21280801488767948,157,12
true_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.10251578832333012,0.33913976323130796,-0.23662397490797782,157,12
true_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.12244211150469492,0.987951703947437,-0.8655095924427421,157,12
true_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.10251578832333012,0.5109201177086475,-0.4084043293853174,157,12
