comparison,target,split_name,heldout_fold,reference_model_level,reference_feature_group,candidate_model_level,candidate_feature_group,reference_condition_mean_mae,candidate_condition_mean_mae,gain,test_rows,test_parameter_sets
true_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,0,L2_hist_gradient_boosting,F14_event_aggregate,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.046329797862479094,0.11148275089648643,-0.06515295303400734,844,16
true_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,0,L2_hist_gradient_boosting,F14_event_aggregate,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.037151998494231786,0.11181142267064581,-0.07465942417641402,844,16
true_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,0,L2_hist_gradient_boosting,F14_event_aggregate,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.046329797862479094,0.3311885735296558,-0.2848587756671767,844,16
true_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,0,L2_hist_gradient_boosting,F14_event_aggregate,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.037151998494231786,0.10384888583787742,-0.06669688734364564,844,16
true_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.04278559024704874,0.10269940249888955,-0.05991381225184081,865,15
true_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.04182559456671073,0.10300881300292497,-0.06118321843621424,865,15
true_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.04278559024704874,0.2928751715737514,-0.25008958132670267,865,15
true_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.04182559456671073,0.14985755881256208,-0.10803196424585135,865,15
true_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.0425649618847694,0.09109431116589438,-0.04852934928112498,892,15
true_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.03434115107913387,0.09162637179671042,-0.057285220717576545,892,15
true_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.0425649618847694,0.19275891690676944,-0.15019395502200003,892,15
true_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.03434115107913387,0.08008153211820793,-0.04574038103907405,892,15
true_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,3,L2_hist_gradient_boosting,F14_event_aggregate,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.08057078117878551,0.12868570901095464,-0.04811492783216913,509,15
true_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,3,L2_hist_gradient_boosting,F14_event_aggregate,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.06095291138483762,0.12811426866498135,-0.06716135728014373,509,15
true_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,3,L2_hist_gradient_boosting,F14_event_aggregate,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.08057078117878551,0.36486336974961525,-0.28429258857082973,509,15
true_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,3,L2_hist_gradient_boosting,F14_event_aggregate,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.06095291138483762,0.1722500217444702,-0.11129711035963259,509,15
true_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,4,L2_hist_gradient_boosting,F14_event_aggregate,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.06152716554563386,0.168384832953716,-0.10685766740808214,717,15
true_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,4,L2_hist_gradient_boosting,F14_event_aggregate,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.04674589835165645,0.1703243935615887,-0.12357849520993226,717,15
