comparison,target,split_name,heldout_fold,reference_model_level,reference_feature_group,candidate_model_level,candidate_feature_group,reference_condition_mean_mae,candidate_condition_mean_mae,gain,test_rows,test_parameter_sets
true_sequence_vs_shuffled,capacity_Ah_k1,c_rate_holdout_fold,1,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.7065313366570161,0.3352501263923744,0.37128121026464167,157,12
true_sequence_vs_shuffled,capacity_Ah_k1,condition_fold,0,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.09487484609863965,0.11148275089648643,-0.01660790479784678,844,16
true_sequence_vs_shuffled,capacity_Ah_k1,condition_fold,1,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.10043316233599739,0.10269940249888955,-0.002266240162892161,865,15
true_sequence_vs_shuffled,capacity_Ah_k1,condition_fold,2,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.09224521580540158,0.09109431116589438,0.0011509046395072053,892,15
true_sequence_vs_shuffled,capacity_Ah_k1,condition_fold,3,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.1382851294893788,0.12868570901095464,0.009599420478424159,509,15
true_sequence_vs_shuffled,capacity_Ah_k1,condition_fold,4,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.15163434241378268,0.168384832953716,-0.016750490539933327,717,15
true_sequence_vs_shuffled,capacity_Ah_k1,profile_holdout_fold,1,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.13616016263575978,0.4806383149960461,-0.34447815236028634,752,12
true_sequence_vs_shuffled,capacity_Ah_k1,temperature_holdout_fold,1,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.1558024525407667,0.18618167038952638,-0.030379217848759688,742,19
true_sequence_vs_shuffled,capacity_Ah_k1,temperature_holdout_fold,2,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.18673086533818584,0.1716339963019423,0.015096869036243549,1060,19
true_sequence_vs_shuffled,capacity_Ah_k1,voltage_window_holdout_fold,1,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.15691990685715962,0.2568464079723458,-0.0999265011151862,1130,28
true_sequence_vs_shuffled,capacity_Ah_k1,voltage_window_holdout_fold,2,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.17816734499551137,0.15145108888726605,0.026716256108245323,1371,32
true_sequence_vs_shuffled,capacity_Ah_k1,voltage_window_holdout_fold,3,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.1102074183567565,0.4526293266073301,-0.34242190825057356,1326,16
true_sequence_vs_shuffled,delta_capacity_Ah,c_rate_holdout_fold,1,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.7096777274927804,0.33913976323130796,0.3705379642614724,157,12
true_sequence_vs_shuffled,delta_capacity_Ah,condition_fold,0,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.09449300398881799,0.11181142267064581,-0.01731841868182782,844,16
true_sequence_vs_shuffled,delta_capacity_Ah,condition_fold,1,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.10061950144094851,0.10300881300292497,-0.0023893115619764566,865,15
true_sequence_vs_shuffled,delta_capacity_Ah,condition_fold,2,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.09248042357473832,0.09162637179671042,0.0008540517780279006,892,15
true_sequence_vs_shuffled,delta_capacity_Ah,condition_fold,3,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.138682333729729,0.12811426866498135,0.01056806506474764,509,15
true_sequence_vs_shuffled,delta_capacity_Ah,condition_fold,4,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.15239582205216434,0.1703243935615887,-0.017928571509424368,717,15
true_sequence_vs_shuffled,delta_capacity_Ah,profile_holdout_fold,1,S1_ridge_shuffled_sequence,E0_f4_plus_event_sequence,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.12710887731100873,0.45716319646483994,-0.3300543191538312,752,12
