comparison,target,split_name,heldout_fold,reference_model_level,reference_feature_group,candidate_model_level,candidate_feature_group,reference_condition_mean_mae,candidate_condition_mean_mae,gain,test_rows,test_parameter_sets
true_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,0,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.046556445210339005,0.11148275089648643,-0.06492630568614743,844,16
true_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,0,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.04088863554975263,0.11181142267064581,-0.07092278712089317,844,16
true_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,0,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.046556445210339005,0.3311885735296558,-0.2846321283193168,844,16
true_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,0,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.04088863554975263,0.10384888583787742,-0.0629602502881248,844,16
true_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.03989094716143135,0.10269940249888955,-0.0628084553374582,865,15
true_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.03778654425497253,0.10300881300292497,-0.06522226874795245,865,15
true_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.03989094716143135,0.2928751715737514,-0.25298422441232005,865,15
true_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.03778654425497253,0.14985755881256208,-0.11207101455758955,865,15
true_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,2,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.04458338582344426,0.09109431116589438,-0.04651092534245012,892,15
true_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,2,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.0326792774245017,0.09162637179671042,-0.05894709437220872,892,15
true_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,2,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.04458338582344426,0.19275891690676944,-0.14817553108332518,892,15
true_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,2,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.0326792774245017,0.08008153211820793,-0.04740225469370623,892,15
true_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,3,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.08010937726556579,0.12868570901095464,-0.04857633174538885,509,15
true_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,3,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.05923954871874726,0.12811426866498135,-0.06887471994623409,509,15
true_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,3,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.08010937726556579,0.36486336974961525,-0.2847539924840495,509,15
true_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,3,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.05923954871874726,0.1722500217444702,-0.11301047302572295,509,15
true_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,4,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.05672286548112605,0.168384832953716,-0.11166196747258995,717,15
true_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,4,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.037907406046335586,0.1703243935615887,-0.13241698751525313,717,15
true_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,4,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.05672286548112605,0.3172861974335932,-0.26056333195246717,717,15
true_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,4,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.037907406046335586,0.16917551407331988,-0.1312681080269843,717,15
true_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,temperature_holdout_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.06977724888847443,0.18618167038952638,-0.11640442150105194,742,19
true_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,temperature_holdout_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S0_ridge_true_sequence,E0_f4_plus_event_sequence,0.05301253618604369,0.1868158655217582,-0.13380332933571448,742,19
true_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,temperature_holdout_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,S2_torch_mlp_true_sequence,E0_f4_plus_event_sequence,0.06977724888847443,0.4594698445589175,-0.38969259567044306,742,19
