comparison,target,split_name,heldout_fold,reference_model_level,reference_feature_group,candidate_model_level,candidate_feature_group,reference_condition_mean_mae,candidate_condition_mean_mae,gain,test_rows,test_parameter_sets
true_neural_sequence_vs_shuffled,delta_capacity_Ah,c_rate_holdout_fold,1,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.5726206832307937,0.599322608363983,-0.026701925133189253,157,12
true_neural_sequence_vs_shuffled,delta_capacity_Ah,c_rate_holdout_fold,1,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.22629146405726344,0.32253812627741524,-0.0962466622201518,157,12
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.09546361519432946,0.599322608363983,-0.5038589931696535,157,12
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS3_cnn1d_true_sequence,E1_f4_plus_event_sequence_tensor,0.09546361519432946,0.5997319089781693,-0.5042682937838399,157,12
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS4_tcn_true_sequence,E1_f4_plus_event_sequence_tensor,0.09546361519432946,0.9898600000617419,-0.8943963848674125,157,12
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.09546361519432946,0.32253812627741524,-0.2270745110830858,157,12
true_neural_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.10251578832333012,0.599322608363983,-0.49680682004065285,157,12
true_neural_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS3_cnn1d_true_sequence,E1_f4_plus_event_sequence_tensor,0.10251578832333012,0.5997319089781693,-0.49721612065483917,157,12
true_neural_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS4_tcn_true_sequence,E1_f4_plus_event_sequence_tensor,0.10251578832333012,0.9898600000617419,-0.8873442117384118,157,12
true_neural_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.10251578832333012,0.32253812627741524,-0.2200223379540851,157,12
