model_level,target,split_name,heldout_fold,condition_mean_mae,worst_condition_mae,test_parameter_sets,test_rows
NS3_cnn1d_true_sequence,capacity_Ah_k1,temperature_holdout_fold,2,11.61056829245915,13.827315434440614,19,1060
NS3_cnn1d_true_sequence,delta_capacity_Ah,temperature_holdout_fold,2,9.133391771070542,10.795633770332337,19,1060
NS4_tcn_true_sequence,capacity_Ah_k1,temperature_holdout_fold,2,5.162906257660162,6.157351805900937,19,1060
NS4_tcn_true_sequence,delta_capacity_Ah,c_rate_holdout_fold,1,0.9898600000617419,3.152297532036675,12,157
NS4_tcn_true_sequence,capacity_Ah_k1,temperature_holdout_fold,1,0.6218519366052043,2.9043860372365318,19,742
NS4_tcn_true_sequence,delta_capacity_Ah,temperature_holdout_fold,2,2.369397426318852,2.8092838499005635,19,1060
NS3_cnn1d_true_sequence,capacity_Ah_k1,temperature_holdout_fold,1,0.37912746758483723,2.3738345904278226,19,742
NS4_tcn_true_sequence,capacity_Ah_k1,c_rate_holdout_fold,1,0.5704102483525223,2.345709900371975,12,157
NS3_cnn1d_true_sequence,capacity_Ah_k1,c_rate_holdout_fold,1,0.8229953230466159,1.2970221254178562,12,157
NS2_ridge_flat_shuffled_sequence,capacity_Ah_k1,temperature_holdout_fold,1,0.9838109095832086,1.2798362105819836,19,742
NS4_tcn_true_sequence,delta_capacity_Ah,temperature_holdout_fold,1,0.4671254868999341,1.274454688504113,19,742
NS3_cnn1d_true_sequence,delta_capacity_Ah,temperature_holdout_fold,1,0.27911036827540486,1.2649096271807352,19,742
NS2_ridge_flat_shuffled_sequence,delta_capacity_Ah,temperature_holdout_fold,1,0.8558366872398375,1.1499049385073226,19,742
NS3_cnn1d_true_sequence,delta_capacity_Ah,c_rate_holdout_fold,1,0.5997319089781693,1.034907321788336,12,157
NS1_ridge_flat_true_sequence,capacity_Ah_k1,voltage_window_holdout_fold,3,0.3979148460296447,1.0147176061871324,16,1326
NS1_ridge_flat_true_sequence,delta_capacity_Ah,condition_fold,0,0.15540597482013777,1.0012369108678665,16,844
NS3_cnn1d_true_sequence,capacity_Ah_k1,voltage_window_holdout_fold,2,0.1746914969882776,0.9841848681165906,32,1371
NS1_ridge_flat_true_sequence,capacity_Ah_k1,condition_fold,0,0.16133608221682114,0.9735631798214056,16,844
NS1_ridge_flat_true_sequence,delta_capacity_Ah,voltage_window_holdout_fold,3,0.33303707958627626,0.9398678369772885,16,1326
NS4_tcn_true_sequence,delta_capacity_Ah,voltage_window_holdout_fold,2,0.16130486118867723,0.8141786411154005,32,1371
NS1_ridge_flat_true_sequence,delta_capacity_Ah,c_rate_holdout_fold,1,0.599322608363983,0.785800800373979,12,157
NS1_ridge_flat_true_sequence,capacity_Ah_k1,c_rate_holdout_fold,1,0.5722442180142994,0.7696243696978093,12,157
NS4_tcn_true_sequence,capacity_Ah_k1,voltage_window_holdout_fold,3,0.22988861847035091,0.7569649403918339,16,1326
NS2_ridge_flat_shuffled_sequence,capacity_Ah_k1,c_rate_holdout_fold,1,0.588085272092651,0.7269247229699562,12,157
NS5_cnn_lstm_true_sequence,capacity_Ah_k1,c_rate_holdout_fold,1,0.4399003024767827,0.725948281535222,12,157
NS2_ridge_flat_shuffled_sequence,delta_capacity_Ah,c_rate_holdout_fold,1,0.5726206832307937,0.7179890737201979,12,157
NS5_cnn_lstm_true_sequence,capacity_Ah_k1,voltage_window_holdout_fold,2,0.223363625602847,0.6734566576110295,32,1371
NS2_ridge_flat_shuffled_sequence,capacity_Ah_k1,voltage_window_holdout_fold,3,0.40635144980568616,0.6694671034084074,16,1326
