comparison,target,split_name,heldout_fold,reference_model_level,reference_feature_group,candidate_model_level,candidate_feature_group,reference_condition_mean_mae,candidate_condition_mean_mae,gain,test_rows,test_parameter_sets
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,0,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.046329797862479094,0.16133608221682114,-0.11500628435434204,844,16
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,0,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.037151998494231786,0.15540597482013777,-0.11825397632590598,844,16
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,0,L2_hist_gradient_boosting,F14_event_aggregate,NS3_cnn1d_true_sequence,E1_f4_plus_event_sequence_tensor,0.046329797862479094,0.05090751725062929,-0.0045777193881501935,844,16
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,0,L2_hist_gradient_boosting,F14_event_aggregate,NS3_cnn1d_true_sequence,E1_f4_plus_event_sequence_tensor,0.037151998494231786,0.05033774907475631,-0.013185750580524527,844,16
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,0,L2_hist_gradient_boosting,F14_event_aggregate,NS4_tcn_true_sequence,E1_f4_plus_event_sequence_tensor,0.046329797862479094,0.05268075105274163,-0.006350953190262534,844,16
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,0,L2_hist_gradient_boosting,F14_event_aggregate,NS4_tcn_true_sequence,E1_f4_plus_event_sequence_tensor,0.037151998494231786,0.045914758081504324,-0.008762759587272538,844,16
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,0,L2_hist_gradient_boosting,F14_event_aggregate,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.046329797862479094,0.05350665825437275,-0.007176860391893657,844,16
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,0,L2_hist_gradient_boosting,F14_event_aggregate,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.037151998494231786,0.047183526515465285,-0.010031528021233499,844,16
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.04278559024704874,0.15169665768844393,-0.10891106744139518,865,15
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.04182559456671073,0.1487855475199012,-0.10695995295319047,865,15
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS3_cnn1d_true_sequence,E1_f4_plus_event_sequence_tensor,0.04278559024704874,0.04768828598518486,-0.00490269573813612,865,15
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS3_cnn1d_true_sequence,E1_f4_plus_event_sequence_tensor,0.04182559456671073,0.056257621369160044,-0.014432026802449316,865,15
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS4_tcn_true_sequence,E1_f4_plus_event_sequence_tensor,0.04278559024704874,0.051980001570710484,-0.009194411323661743,865,15
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS4_tcn_true_sequence,E1_f4_plus_event_sequence_tensor,0.04182559456671073,0.07318123951835234,-0.031355644951641615,865,15
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.04278559024704874,0.04916663315121949,-0.006381042904170749,865,15
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.04182559456671073,0.05648662572388805,-0.014661031157177325,865,15
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.0425649618847694,0.10579640636397106,-0.06323144447920165,892,15
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.03434115107913387,0.10231042487395788,-0.06796927379482401,892,15
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,NS3_cnn1d_true_sequence,E1_f4_plus_event_sequence_tensor,0.0425649618847694,0.05872194206817728,-0.01615698018340788,892,15
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,NS3_cnn1d_true_sequence,E1_f4_plus_event_sequence_tensor,0.03434115107913387,0.04612949752346314,-0.011788346444329266,892,15
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,NS4_tcn_true_sequence,E1_f4_plus_event_sequence_tensor,0.0425649618847694,0.05760093211864101,-0.015035970233871605,892,15
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,NS4_tcn_true_sequence,E1_f4_plus_event_sequence_tensor,0.03434115107913387,0.060203890464800965,-0.02586273938566709,892,15
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.0425649618847694,0.04685912620105621,-0.004294164316286805,892,15
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.03434115107913387,0.037691134105188644,-0.0033499830260547703,892,15
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,3,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.08057078117878551,0.15082012903776082,-0.07024934785897531,509,15
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,3,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.06095291138483762,0.15311679782749746,-0.09216388644265984,509,15
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,3,L2_hist_gradient_boosting,F14_event_aggregate,NS3_cnn1d_true_sequence,E1_f4_plus_event_sequence_tensor,0.08057078117878551,0.09002969328378603,-0.009458912105000522,509,15
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,3,L2_hist_gradient_boosting,F14_event_aggregate,NS3_cnn1d_true_sequence,E1_f4_plus_event_sequence_tensor,0.06095291138483762,0.08350171352180853,-0.022548802136970914,509,15
