comparison,target,split_name,heldout_fold,reference_model_level,reference_feature_group,candidate_model_level,candidate_feature_group,reference_condition_mean_mae,candidate_condition_mean_mae,gain,test_rows,test_parameter_sets
true_neural_sequence_vs_shuffled,capacity_Ah_k1,c_rate_holdout_fold,1,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.588085272092651,0.5722442180142994,0.01584105407835168,157,12
true_neural_sequence_vs_shuffled,capacity_Ah_k1,condition_fold,0,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.13259728037350224,0.16133608221682114,-0.028738801843318895,844,16
true_neural_sequence_vs_shuffled,capacity_Ah_k1,condition_fold,1,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.15221242886898467,0.15169665768844393,0.0005157711805407472,865,15
true_neural_sequence_vs_shuffled,capacity_Ah_k1,condition_fold,2,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.13423406094523777,0.10579640636397106,0.028437654581266708,892,15
true_neural_sequence_vs_shuffled,capacity_Ah_k1,condition_fold,3,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.2025140705576611,0.15082012903776082,0.05169394151990028,509,15
true_neural_sequence_vs_shuffled,capacity_Ah_k1,condition_fold,4,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.20061282760565044,0.18713877328916922,0.013474054316481215,717,15
true_neural_sequence_vs_shuffled,capacity_Ah_k1,profile_holdout_fold,1,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.15429316060712295,0.32258327820444765,-0.1682901175973247,752,12
true_neural_sequence_vs_shuffled,capacity_Ah_k1,temperature_holdout_fold,1,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.9838109095832086,0.37899894813561685,0.6048119614475918,742,19
true_neural_sequence_vs_shuffled,capacity_Ah_k1,temperature_holdout_fold,2,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.21425036532098007,0.14833123260365974,0.06591913271732033,1060,19
true_neural_sequence_vs_shuffled,capacity_Ah_k1,voltage_window_holdout_fold,1,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.13322680434995302,0.2302729780806862,-0.09704617373073318,1130,28
true_neural_sequence_vs_shuffled,capacity_Ah_k1,voltage_window_holdout_fold,2,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.2179425100594525,0.23478997872297236,-0.016847468663519855,1371,32
true_neural_sequence_vs_shuffled,capacity_Ah_k1,voltage_window_holdout_fold,3,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.40635144980568616,0.3979148460296447,0.00843660377604144,1326,16
true_neural_sequence_vs_shuffled,delta_capacity_Ah,c_rate_holdout_fold,1,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.5726206832307937,0.599322608363983,-0.026701925133189253,157,12
true_neural_sequence_vs_shuffled,delta_capacity_Ah,condition_fold,0,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.1249060882119615,0.15540597482013777,-0.030499886608176263,844,16
true_neural_sequence_vs_shuffled,delta_capacity_Ah,condition_fold,1,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.14484600677777548,0.1487855475199012,-0.003939540742125713,865,15
true_neural_sequence_vs_shuffled,delta_capacity_Ah,condition_fold,2,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.1275212036949676,0.10231042487395788,0.025210778821009736,892,15
true_neural_sequence_vs_shuffled,delta_capacity_Ah,condition_fold,3,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.18473736907098595,0.15311679782749746,0.03162057124348849,509,15
true_neural_sequence_vs_shuffled,delta_capacity_Ah,condition_fold,4,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.19069671605713076,0.19522791741978043,-0.004531201362649673,717,15
