comparison,target,split_name,heldout_fold,reference_model_level,reference_feature_group,candidate_model_level,candidate_feature_group,reference_condition_mean_mae,candidate_condition_mean_mae,gain,test_rows,test_parameter_sets
true_neural_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,0,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.046556445210339005,0.16133608221682114,-0.11477963700648214,844,16
true_neural_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,0,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.04088863554975263,0.15540597482013777,-0.11451733927038513,844,16
true_neural_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,0,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS3_cnn1d_true_sequence,E1_f4_plus_event_sequence_tensor,0.046556445210339005,0.05090751725062929,-0.0043510720402902825,844,16
true_neural_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,0,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS3_cnn1d_true_sequence,E1_f4_plus_event_sequence_tensor,0.04088863554975263,0.05033774907475631,-0.009449113525003681,844,16
true_neural_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,0,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS4_tcn_true_sequence,E1_f4_plus_event_sequence_tensor,0.046556445210339005,0.05268075105274163,-0.006124305842402623,844,16
true_neural_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,0,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS4_tcn_true_sequence,E1_f4_plus_event_sequence_tensor,0.04088863554975263,0.045914758081504324,-0.005026122531751692,844,16
true_neural_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,0,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.046556445210339005,0.05350665825437275,-0.006950213044033746,844,16
true_neural_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,0,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.04088863554975263,0.047183526515465285,-0.006294890965712653,844,16
true_neural_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.03989094716143135,0.15169665768844393,-0.11180571052701258,865,15
true_neural_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.03778654425497253,0.1487855475199012,-0.11099900326492868,865,15
true_neural_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS3_cnn1d_true_sequence,E1_f4_plus_event_sequence_tensor,0.03989094716143135,0.04768828598518486,-0.007797338823753511,865,15
true_neural_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS3_cnn1d_true_sequence,E1_f4_plus_event_sequence_tensor,0.03778654425497253,0.056257621369160044,-0.018471077114187516,865,15
true_neural_sequence_vs_timestamp_stress_hgb,capacity_Ah_k1,condition_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS4_tcn_true_sequence,E1_f4_plus_event_sequence_tensor,0.03989094716143135,0.051980001570710484,-0.012089054409279133,865,15
true_neural_sequence_vs_timestamp_stress_hgb,delta_capacity_Ah,condition_fold,1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,NS4_tcn_true_sequence,E1_f4_plus_event_sequence_tensor,0.03778654425497253,0.07318123951835234,-0.035394695263379815,865,15
