model_level,target,split_name,heldout_fold,condition_mean_mae,worst_condition_mae,test_parameter_sets,test_rows
NS2_ridge_flat_shuffled_sequence,capacity_Ah_k1,temperature_holdout_fold,1,0.9838109095832086,1.2798362105819836,19,742
NS2_ridge_flat_shuffled_sequence,delta_capacity_Ah,temperature_holdout_fold,1,0.8558366872398375,1.1499049385073226,19,742
NS1_ridge_flat_true_sequence,capacity_Ah_k1,voltage_window_holdout_fold,3,0.3979148460296447,1.0147176061871324,16,1326
NS1_ridge_flat_true_sequence,delta_capacity_Ah,condition_fold,0,0.15540597482013777,1.0012369108678665,16,844
NS1_ridge_flat_true_sequence,capacity_Ah_k1,condition_fold,0,0.16133608221682114,0.9735631798214056,16,844
NS1_ridge_flat_true_sequence,delta_capacity_Ah,voltage_window_holdout_fold,3,0.33303707958627626,0.9398678369772885,16,1326
NS1_ridge_flat_true_sequence,delta_capacity_Ah,c_rate_holdout_fold,1,0.599322608363983,0.785800800373979,12,157
NS1_ridge_flat_true_sequence,capacity_Ah_k1,c_rate_holdout_fold,1,0.5722442180142994,0.7696243696978093,12,157
NS2_ridge_flat_shuffled_sequence,capacity_Ah_k1,c_rate_holdout_fold,1,0.588085272092651,0.7269247229699562,12,157
NS2_ridge_flat_shuffled_sequence,delta_capacity_Ah,c_rate_holdout_fold,1,0.5726206832307937,0.7179890737201979,12,157
NS2_ridge_flat_shuffled_sequence,capacity_Ah_k1,voltage_window_holdout_fold,3,0.40635144980568616,0.6694671034084074,16,1326
NS1_ridge_flat_true_sequence,capacity_Ah_k1,voltage_window_holdout_fold,2,0.23478997872297236,0.5615306588219168,32,1371
NS1_ridge_flat_true_sequence,delta_capacity_Ah,condition_fold,4,0.19522791741978043,0.5607937016420618,15,717
NS1_ridge_flat_true_sequence,capacity_Ah_k1,condition_fold,4,0.18713877328916922,0.5599143974284368,15,717
NS1_ridge_flat_true_sequence,capacity_Ah_k1,temperature_holdout_fold,1,0.37899894813561685,0.554586750893568,19,742
NS1_ridge_flat_true_sequence,delta_capacity_Ah,condition_fold,1,0.1487855475199012,0.529940396392533,15,865
NS1_ridge_flat_true_sequence,delta_capacity_Ah,temperature_holdout_fold,1,0.3161810733511038,0.5229792134327831,19,742
NS1_ridge_flat_true_sequence,capacity_Ah_k1,condition_fold,1,0.15169665768844393,0.5101131261056663,15,865
NS1_ridge_flat_true_sequence,capacity_Ah_k1,voltage_window_holdout_fold,1,0.2302729780806862,0.507885065321927,28,1130
NS2_ridge_flat_shuffled_sequence,delta_capacity_Ah,voltage_window_holdout_fold,3,0.2681685423889381,0.5066027470142881,16,1326
NS1_ridge_flat_true_sequence,delta_capacity_Ah,voltage_window_holdout_fold,2,0.2015103105955565,0.47020647944683286,32,1371
NS2_ridge_flat_shuffled_sequence,capacity_Ah_k1,voltage_window_holdout_fold,2,0.2179425100594525,0.45156499875303313,32,1371
NS2_ridge_flat_shuffled_sequence,delta_capacity_Ah,voltage_window_holdout_fold,2,0.18068911257749395,0.4501524032712194,32,1371
NS1_ridge_flat_true_sequence,delta_capacity_Ah,profile_holdout_fold,1,0.30804699438970823,0.4382814626855016,12,752
NS2_ridge_flat_shuffled_sequence,capacity_Ah_k1,condition_fold,3,0.2025140705576611,0.4353020730562979,15,509
NS2_ridge_flat_shuffled_sequence,delta_capacity_Ah,condition_fold,1,0.14484600677777548,0.41082881945027594,15,865
NS1_ridge_flat_true_sequence,capacity_Ah_k1,profile_holdout_fold,1,0.32258327820444765,0.4099553090232814,12,752
NS1_ridge_flat_true_sequence,delta_capacity_Ah,voltage_window_holdout_fold,1,0.1980243972685714,0.40367734116957404,28,1130
NS2_ridge_flat_shuffled_sequence,delta_capacity_Ah,condition_fold,0,0.1249060882119615,0.39968343726715394,16,844
NS2_ridge_flat_shuffled_sequence,delta_capacity_Ah,condition_fold,3,0.18473736907098595,0.39930115429346996,15,509
NS2_ridge_flat_shuffled_sequence,capacity_Ah_k1,condition_fold,1,0.15221242886898467,0.3887461140238766,15,865
NS2_ridge_flat_shuffled_sequence,delta_capacity_Ah,temperature_holdout_fold,2,0.20382663281085386,0.3873157391816353,19,1060
NS2_ridge_flat_shuffled_sequence,delta_capacity_Ah,condition_fold,4,0.19069671605713076,0.3768434145034269,15,717
NS2_ridge_flat_shuffled_sequence,capacity_Ah_k1,condition_fold,0,0.13259728037350224,0.3758752172085805,16,844
NS2_ridge_flat_shuffled_sequence,capacity_Ah_k1,condition_fold,4,0.20061282760565044,0.3665939100436701,15,717
NS2_ridge_flat_shuffled_sequence,capacity_Ah_k1,temperature_holdout_fold,2,0.21425036532098007,0.3364286443860248,19,1060
NS1_ridge_flat_true_sequence,capacity_Ah_k1,temperature_holdout_fold,2,0.14833123260365974,0.33499559048719435,19,1060
NS1_ridge_flat_true_sequence,delta_capacity_Ah,condition_fold,3,0.15311679782749746,0.31589226640825635,15,509
NS1_ridge_flat_true_sequence,delta_capacity_Ah,temperature_holdout_fold,2,0.11801923504717313,0.3149416831493281,19,1060
NS2_ridge_flat_shuffled_sequence,capacity_Ah_k1,profile_holdout_fold,1,0.15429316060712295,0.3108538346843781,12,752
NS2_ridge_flat_shuffled_sequence,capacity_Ah_k1,voltage_window_holdout_fold,1,0.13322680434995302,0.3099547139854723,28,1130
NS1_ridge_flat_true_sequence,capacity_Ah_k1,condition_fold,3,0.15082012903776082,0.2979590837654123,15,509
NS2_ridge_flat_shuffled_sequence,delta_capacity_Ah,voltage_window_holdout_fold,1,0.14413395692053468,0.25751145073542975,28,1130
NS2_ridge_flat_shuffled_sequence,delta_capacity_Ah,condition_fold,2,0.1275212036949676,0.2266851572027305,15,892
NS1_ridge_flat_true_sequence,delta_capacity_Ah,condition_fold,2,0.10231042487395788,0.20797594184524582,15,892
NS2_ridge_flat_shuffled_sequence,capacity_Ah_k1,condition_fold,2,0.13423406094523777,0.20337385419860377,15,892
NS2_ridge_flat_shuffled_sequence,delta_capacity_Ah,profile_holdout_fold,1,0.16302481758291903,0.20332733297285155,12,752
NS1_ridge_flat_true_sequence,capacity_Ah_k1,condition_fold,2,0.10579640636397106,0.1963592697089058,15,892
