comparison,target,split_name,heldout_fold,reference_model_level,reference_feature_group,candidate_model_level,candidate_feature_group,reference_condition_mean_mae,candidate_condition_mean_mae,gain,test_rows,test_parameter_sets
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,0,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.046329797862479094,0.16133608221682114,-0.11500628435434204,844,16
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,0,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.037151998494231786,0.15540597482013777,-0.11825397632590598,844,16
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.04278559024704874,0.15169665768844393,-0.10891106744139518,865,15
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.04182559456671073,0.1487855475199012,-0.10695995295319047,865,15
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.0425649618847694,0.10579640636397106,-0.06323144447920165,892,15
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.03434115107913387,0.10231042487395788,-0.06796927379482401,892,15
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,3,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.08057078117878551,0.15082012903776082,-0.07024934785897531,509,15
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,3,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.06095291138483762,0.15311679782749746,-0.09216388644265984,509,15
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,condition_fold,4,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.06152716554563386,0.18713877328916922,-0.12561160774353536,717,15
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,condition_fold,4,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.04674589835165645,0.19522791741978043,-0.14848201906812397,717,15
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,temperature_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.07784508459876045,0.37899894813561685,-0.3011538635368564,742,19
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,temperature_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.0591278072161258,0.3161810733511038,-0.257053266134978,742,19
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,temperature_holdout_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.0642411303265696,0.14833123260365974,-0.08409010227709014,1060,19
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,temperature_holdout_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.04663479837569638,0.11801923504717313,-0.07138443667147674,1060,19
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.13157356792440153,0.5722442180142994,-0.4406706500898978,157,12
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,c_rate_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.09546361519432946,0.599322608363983,-0.5038589931696535,157,12
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,profile_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.104286657659333,0.32258327820444765,-0.21829662054511467,752,12
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,profile_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.10957071288525212,0.30804699438970823,-0.19847628150445612,752,12
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,voltage_window_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.11893737782633,0.2302729780806862,-0.1113356002543562,1130,28
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,voltage_window_holdout_fold,1,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.09027377100738931,0.1980243972685714,-0.10775062626118209,1130,28
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,voltage_window_holdout_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.10728598598930565,0.23478997872297236,-0.1275039927336667,1371,32
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,voltage_window_holdout_fold,2,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.10804112905855977,0.2015103105955565,-0.09346918153699672,1371,32
true_neural_sequence_vs_event_aggregate_hgb,capacity_Ah_k1,voltage_window_holdout_fold,3,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.0579459830588469,0.3979148460296447,-0.3399688629707978,1326,16
true_neural_sequence_vs_event_aggregate_hgb,delta_capacity_Ah,voltage_window_holdout_fold,3,L2_hist_gradient_boosting,F14_event_aggregate,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.028977479772394666,0.33303707958627626,-0.3040595998138816,1326,16
