target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,prior_eis_feature_group,prior_eis_source_report,best_noneis_feature_group,best_noneis_source_report,best_noneis_condition_mae,prior_eis_condition_mae
delta_pulse_1s_resistance,c_rate_holdout_fold,1,20,-0.00043019745383412805,6,0.0,approx_0_100,1.67,cyclic,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.0019281383879716134,0.0023583358418057415
delta_pulse_1s_resistance,c_rate_holdout_fold,1,24,-0.00019184081606024844,4,0.0,approx_10_100,1.67,cyclic,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.0014032327029098125,0.001595073518970061
delta_pulse_1s_resistance,c_rate_holdout_fold,1,28,-5.413444811759572e-05,9,0.0,approx_10_90,1.67,cyclic,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.0016901790547677261,0.0017443135028853219
delta_pulse_1s_resistance,c_rate_holdout_fold,1,32,-0.0005095457954451318,6,10.0,approx_0_100,1.67,cyclic,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.004124533289854175,0.004634079085299307
delta_pulse_1s_resistance,c_rate_holdout_fold,1,36,-2.8105031387977777e-06,6,10.0,approx_10_100,1.67,cyclic,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.004605961575282497,0.004608772078421295
delta_pulse_1s_resistance,c_rate_holdout_fold,1,40,-3.6593715570683565e-06,13,10.0,approx_10_90,1.67,cyclic,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.001424588406628647,0.0014282477781857154
delta_pulse_1s_resistance,c_rate_holdout_fold,1,44,-2.75080460393224e-07,5,25.0,approx_0_100,1.67,cyclic,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.001842826715578708,0.0018431017960391012
delta_pulse_1s_resistance,c_rate_holdout_fold,1,48,-2.7513718158281167e-05,10,25.0,approx_10_100,1.67,cyclic,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.0008774208821681791,0.0009049346003264602
delta_pulse_1s_resistance,c_rate_holdout_fold,1,52,5.6303209762554934e-05,26,25.0,approx_10_90,1.67,cyclic,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.000994392000365434,0.0009380887906028791
delta_pulse_1s_resistance,c_rate_holdout_fold,1,56,0.00011552405962775595,10,40.0,approx_0_100,1.67,cyclic,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.0012181014603674805,0.0011025774007397246
delta_pulse_1s_resistance,c_rate_holdout_fold,1,60,-1.2951681969338618e-05,12,40.0,approx_10_100,1.67,cyclic,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.0017325634523789443,0.001745515134348283
delta_pulse_1s_resistance,c_rate_holdout_fold,1,64,-6.576931032801288e-05,35,40.0,approx_10_90,1.67,cyclic,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.0005782850577124281,0.000644054368040441
delta_pulse_1s_resistance,condition_fold,0,8,3.176171278481939e-05,84,10.0,calendar_soc_100,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.000424029567408847,0.0003922678546240276
delta_pulse_1s_resistance,condition_fold,0,15,1.619467892161866e-05,78,40.0,calendar_soc_90,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.00044971216767208456,0.0004335174887504659
delta_pulse_1s_resistance,condition_fold,0,18,0.00011126532576048644,17,0.0,approx_0_100,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0016317302885979768,0.0015204649628374903
delta_pulse_1s_resistance,condition_fold,0,24,0.0003956931054248597,4,0.0,approx_10_100,1.67,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0010868726409042923,0.0006911795354794326
delta_pulse_1s_resistance,condition_fold,0,30,0.00039462225939835096,24,10.0,approx_0_100,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0018531527592444968,0.0014585304998461458
delta_pulse_1s_resistance,condition_fold,0,34,0.000442032175332912,43,10.0,approx_10_100,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0013457873012222706,0.0009037551258893586
delta_pulse_1s_resistance,condition_fold,0,37,-1.8030585671128933e-05,84,10.0,approx_10_90,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.000494719222746311,0.0005127498084174399
delta_pulse_1s_resistance,condition_fold,0,39,-1.42398648117735e-05,20,10.0,approx_10_90,1.0,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0011247024759090552,0.0011389423407208287
delta_pulse_1s_resistance,condition_fold,0,42,0.00011557639344447832,46,25.0,approx_0_100,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0010593124158254559,0.0009437360223809775
delta_pulse_1s_resistance,condition_fold,0,61,9.394058615978687e-06,84,40.0,approx_10_90,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.00041827619184435174,0.00040888213322837306
delta_pulse_1s_resistance,condition_fold,0,65,9.444848161720273e-05,53,0.0,approx_0_100,0.0,profile,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0011091793355012432,0.0010147308538840404
delta_pulse_1s_resistance,condition_fold,0,68,0.00014954447588783103,75,10.0,approx_0_100,0.0,profile,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0008225523968692932,0.0006730079209814622
delta_pulse_1s_resistance,condition_fold,0,70,0.001139774480971622,16,10.0,approx_0_100,0.0,profile,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0023623896833305773,0.0012226152023589554
delta_pulse_1s_resistance,condition_fold,0,72,4.1743782138797206e-05,84,25.0,approx_0_100,0.0,profile,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0006269709130486939,0.0005852271309098967
delta_pulse_1s_resistance,condition_fold,0,73,0.00025631458272049024,31,25.0,approx_0_100,0.0,profile,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0008934700899326569,0.0006371555072121666
delta_pulse_1s_resistance,condition_fold,0,75,1.743929973644368e-05,83,40.0,approx_0_100,0.0,profile,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0004691814851685462,0.00045174218543210255
delta_pulse_1s_resistance,condition_fold,1,3,2.9654587648934774e-05,84,0.0,calendar_soc_90,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0003318709874076314,0.00030221639975869664
delta_pulse_1s_resistance,condition_fold,1,5,6.598313432607363e-06,84,10.0,calendar_soc_10,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.00033796365685423343,0.00033136534342162607
delta_pulse_1s_resistance,condition_fold,1,10,6.162271345947108e-07,84,25.0,calendar_soc_50,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0003962389677459025,0.0003956227406113078
delta_pulse_1s_resistance,condition_fold,1,11,3.260942626243628e-05,84,25.0,calendar_soc_90,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0003675597827750556,0.0003349503565126193
delta_pulse_1s_resistance,condition_fold,1,20,0.00033426586158586866,6,0.0,approx_0_100,1.67,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0014102581747349177,0.001075992313149049
delta_pulse_1s_resistance,condition_fold,1,25,-6.44384376587023e-05,66,0.0,approx_10_90,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.00044966021968055424,0.0005140986573392565
delta_pulse_1s_resistance,condition_fold,1,29,4.584687728799474e-05,40,10.0,approx_0_100,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0008359699320100208,0.0007901230547220261
delta_pulse_1s_resistance,condition_fold,1,33,5.6345159909305215e-05,64,10.0,approx_10_100,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0005320930630318606,0.0004757479031225554
