run_scope,model_level,feature_group,target,split_name,fold_count,condition_mean_mae,condition_median_mae,worst_condition_mae,mean_mae,mean_rmse,test_rows
primary,L0_persistence,P0_persistence,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.0035347314204314203,0.0032171461538461543,0.006730833333333334,0.0025722307692307694,0.003947836653758011,143
primary,L0_persistence,P0_persistence,delta_pulse_1s_resistance,condition_fold,5,0.001702025706607925,0.0012315013390073448,0.006730833333333334,0.0009625007161544925,0.0017104803053284157,3748
primary,L0_persistence,P0_persistence,delta_pulse_1s_resistance,profile_holdout_fold,1,0.0011956672675752904,0.0009910125301204821,0.003641916666666667,0.0008841923601637108,0.0014397792449592933,733
primary,L0_persistence,P0_persistence,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.0017910768954761155,0.0015807444444444444,0.006399833333333334,0.0009739606868489192,0.0017493671418755147,1756
primary,L0_persistence,P0_persistence,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,0.0015176735747797158,0.0011824746770025842,0.006730833333333334,0.0009528903068185211,0.0015661209430821409,3748
primary,L1_ridge,P0_persistence,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.0031905569845806134,0.0027821381708649545,0.006482150233480778,0.0022048195479204323,0.0036178312420505196,143
primary,L1_ridge,P0_persistence,delta_pulse_1s_resistance,condition_fold,5,0.0014719996463263701,0.0009605729873498151,0.0064633484282283285,0.0008554088776005844,0.0014734533612448994,3748
primary,L1_ridge,P0_persistence,delta_pulse_1s_resistance,profile_holdout_fold,1,0.0011156503191150713,0.0009150256961805755,0.0033195734310571875,0.0009011043263706487,0.001290759468316483,733
primary,L1_ridge,P0_persistence,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.001537853570182074,0.0011557836341376053,0.005922152512026115,0.0008623730983038043,0.0015086719432641873,1756
primary,L1_ridge,P0_persistence,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,0.0013795811372089278,0.0009356060896609559,0.006462499646849273,0.0008818569325880237,0.0014285070694235614,3748
primary,L1_ridge,P1_state_time,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.002977489115191285,0.0024028120786870055,0.006309320851068626,0.002013539072675731,0.0034002366909474556,143
primary,L1_ridge,P1_state_time,delta_pulse_1s_resistance,condition_fold,5,0.0013753121605116722,0.0008986222795506037,0.0062239362841401144,0.0008376545160860022,0.00140246393247178,3748
primary,L1_ridge,P1_state_time,delta_pulse_1s_resistance,profile_holdout_fold,1,0.001011611526266377,0.0008758434174946966,0.0028770236434287346,0.0008342790734281167,0.0012230541496135684,733
primary,L1_ridge,P1_state_time,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.0014187040909463136,0.0009788124542758386,0.0056320667308741475,0.0008340245214012655,0.001414403896331499,1756
primary,L1_ridge,P1_state_time,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,0.0013668310649283461,0.0010151714429437063,0.006272355212867387,0.0009209783696373556,0.0014621606545617023,3748
primary,L1_ridge,P2_state_capacity,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.0029597002712452897,0.0022671077108828543,0.006460307740787756,0.00196910168409313,0.0033307650961992763,143
