run_scope,target,split_name,heldout_fold,model_level,feature_group,train_rows,test_rows,test_parameter_sets
primary,delta_pulse_1s_resistance,condition_fold,0,L0_persistence,P0_persistence,2921,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L1_ridge,P0_persistence,2921,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L1_ridge,P1_state_time,2921,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L1_ridge,P2_state_capacity,2921,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L1_ridge,P3_state_nominal,2921,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L1_ridge,P4_state_log_age_scalar,2921,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L1_ridge,P5_stress_v1_1,2921,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P0_persistence,2921,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P1_state_time,2921,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P2_state_capacity,2921,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P3_state_nominal,2921,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P4_state_log_age_scalar,2921,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P5_stress_v1_1,2921,827,16
primary,delta_pulse_1s_resistance,condition_fold,1,L0_persistence,P0_persistence,2897,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L1_ridge,P0_persistence,2897,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L1_ridge,P1_state_time,2897,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L1_ridge,P2_state_capacity,2897,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L1_ridge,P3_state_nominal,2897,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L1_ridge,P4_state_log_age_scalar,2897,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L1_ridge,P5_stress_v1_1,2897,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P0_persistence,2897,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P1_state_time,2897,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P2_state_capacity,2897,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P3_state_nominal,2897,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P4_state_log_age_scalar,2897,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P5_stress_v1_1,2897,851,15
primary,delta_pulse_1s_resistance,condition_fold,2,L0_persistence,P0_persistence,2866,882,15
primary,delta_pulse_1s_resistance,condition_fold,2,L1_ridge,P0_persistence,2866,882,15
primary,delta_pulse_1s_resistance,condition_fold,2,L1_ridge,P1_state_time,2866,882,15
primary,delta_pulse_1s_resistance,condition_fold,2,L1_ridge,P2_state_capacity,2866,882,15
