threshold,split_name,best_model_level,best_feature_group,condition_mean_mae,worst_condition_mae,test_rows,selected_subset_rows,selected_parameter_sets
all,condition_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.000960406687696265,0.0035708383078568566,3751,3827,76
all,temperature_holdout_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.0010961036552214524,0.0043704568741254465,1756,3827,76
all,c_rate_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.0018584237602246756,0.004605961575282497,143,3827,76
all,profile_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.0009534063675410161,0.002780866022284322,733,3827,76
all,voltage_window_holdout_fold,L2_hist_gradient_boosting,P1_state_time,0.0011773290373227096,0.0051745935959542615,3751,3827,76
24h,condition_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.0009520073043093776,0.0035056590209855062,3748,3748,76
24h,temperature_holdout_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.0010960799429899576,0.004328475571774233,1756,3748,76
24h,c_rate_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.0019497144392911405,0.004904943286667462,143,3748,76
24h,profile_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.0009432958126995584,0.0028156265704216963,733,3748,76
24h,voltage_window_holdout_fold,L2_hist_gradient_boosting,P1_state_time,0.0011741487559079366,0.005074915571455001,3748,3748,76
36h,condition_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.000960406687696265,0.0035708383078568566,3751,3751,76
36h,temperature_holdout_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.0010961036552214524,0.0043704568741254465,1756,3751,76
36h,c_rate_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.0018584237602246756,0.004605961575282497,143,3751,76
36h,profile_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.0009534063675410161,0.002780866022284322,733,3751,76
36h,voltage_window_holdout_fold,L2_hist_gradient_boosting,P1_state_time,0.0011773290373227096,0.0051745935959542615,3751,3751,76
