run_scope,model_level,feature_group,target,split_name,fold_count,condition_mean_mae,condition_median_mae,worst_condition_mae,mean_mae,mean_rmse,test_rows
primary,L0_persistence,P0_persistence,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.0035347314204314203,0.0032171461538461543,0.006730833333333334,0.0025722307692307694,0.003947836653758011,143
primary,L0_persistence,P0_persistence,delta_pulse_1s_resistance,condition_fold,5,0.0017025639219485627,0.0012315013390073448,0.006730833333333334,0.000962906618853374,0.0017100339496276616,3751
primary,L0_persistence,P0_persistence,delta_pulse_1s_resistance,profile_holdout_fold,1,0.0011956672675752904,0.0009910125301204821,0.003641916666666667,0.0008841923601637108,0.0014397792449592933,733
primary,L0_persistence,P0_persistence,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.0017910768954761155,0.0015807444444444444,0.006399833333333334,0.0009739606868489192,0.0017493671418755147,1756
primary,L0_persistence,P0_persistence,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,0.001518514536249462,0.0011824746770025842,0.006730833333333334,0.0009537313298374153,0.0015677752485077669,3751
primary,L1_ridge,P0_persistence,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.0031901685522027056,0.0027816564230735102,0.006481730794626234,0.0022045062409905294,0.003617497763379097,143
primary,L1_ridge,P0_persistence,delta_pulse_1s_resistance,condition_fold,5,0.0014721373774852476,0.0009607963778065094,0.0064633484282283285,0.0008552773052657801,0.0014725392365785629,3751
primary,L1_ridge,P0_persistence,delta_pulse_1s_resistance,profile_holdout_fold,1,0.0011158828973379825,0.0009149883032834271,0.0033192619055827342,0.0009014823513891507,0.0012910114175610776,733
primary,L1_ridge,P0_persistence,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.0015377602035299305,0.001155920395776511,0.005921478337351901,0.0008625151995241256,0.0015086515377377263,1756
primary,L1_ridge,P0_persistence,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,0.0013794049887637554,0.0009357093108585465,0.006461904863325946,0.0008819529015049104,0.0014283107281862285,3751
primary,L1_ridge,P1_state_time,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.00297867596146574,0.002402683041808293,0.006312065661913383,0.002013872403428536,0.0034005499041355977,143
primary,L1_ridge,P1_state_time,delta_pulse_1s_resistance,condition_fold,5,0.0013755471757147422,0.0008987557879502617,0.0062239362841401144,0.0008374435519699277,0.0014016201861307407,3751
primary,L1_ridge,P1_state_time,delta_pulse_1s_resistance,profile_holdout_fold,1,0.001011319211493038,0.0008754429554274816,0.002874898022277802,0.000834303512465396,0.0012232480763824472,733
primary,L1_ridge,P1_state_time,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.0014188093431399438,0.000977301933569562,0.0056366247481037975,0.0008339485808122856,0.001414273513000025,1756
primary,L1_ridge,P1_state_time,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,0.0013667942713986813,0.0010142819407871217,0.006275264554466303,0.0009208889417101264,0.0014618087154236997,3751
primary,L1_ridge,P2_state_capacity,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.002962450264348837,0.0022684743329178907,0.006464484904950053,0.001970458276219875,0.003331994108807411,143
primary,L1_ridge,P2_state_capacity,delta_pulse_1s_resistance,condition_fold,5,0.001355144540561563,0.0009556325286071497,0.006371973880044328,0.0008215988742827874,0.0013647576889807566,3751
primary,L1_ridge,P2_state_capacity,delta_pulse_1s_resistance,profile_holdout_fold,1,0.0011025330095731695,0.0010114878044132907,0.002500633865898235,0.001006129460747029,0.0013152277290159364,733
primary,L1_ridge,P2_state_capacity,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.0014141886521801348,0.0010298405283959047,0.005592395191300732,0.0008407699596499976,0.00140688240469797,1756
primary,L1_ridge,P2_state_capacity,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,0.0013736763755297723,0.0010469706818235045,0.006421031557016913,0.0009664967916472232,0.0014796380463484354,3751
primary,L1_ridge,P3_state_nominal,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.0023134877161888386,0.0019264087517385235,0.005121306095172128,0.0017967545050177217,0.0027513226134929045,143
primary,L1_ridge,P3_state_nominal,delta_pulse_1s_resistance,condition_fold,5,0.0012557177864380054,0.0009733281130467977,0.005170745245152978,0.0008282015129106495,0.0012934603374414922,3751
primary,L1_ridge,P3_state_nominal,delta_pulse_1s_resistance,profile_holdout_fold,1,0.001075350504197203,0.0009742701321786369,0.0024635151638402824,0.0009763416250660444,0.0013024748560221818,733
primary,L1_ridge,P3_state_nominal,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.0013802290849144637,0.0011743137933248027,0.004807634731682283,0.0008685803319967106,0.0013835653593396438,1756
primary,L1_ridge,P3_state_nominal,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,0.001453936678543037,0.001191073854895928,0.005022587459488827,0.0011363314327402574,0.001553840851842906,3751
primary,L1_ridge,P4_state_log_age_scalar,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.005071337072997481,0.00508185246190559,0.007483926569036508,0.005208822300038381,0.005652080315771977,143
primary,L1_ridge,P4_state_log_age_scalar,delta_pulse_1s_resistance,condition_fold,5,0.0011328442043792822,0.0009511066283966517,0.0038104540102219327,0.0007681603798496799,0.001199292929078295,3751
primary,L1_ridge,P4_state_log_age_scalar,delta_pulse_1s_resistance,profile_holdout_fold,1,0.005414714843973315,0.004389852728326255,0.009494092959044425,0.004741966507470725,0.005031829889016972,733
primary,L1_ridge,P4_state_log_age_scalar,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.0011471856303622468,0.0008524540156187815,0.0037670396549855808,0.0007509719234562388,0.001219358094278816,1756
