direction,split_name,best_model_level,best_feature_group,condition_mean_mae,worst_condition_mae,test_rows,status
mean,condition_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.000960406687696265,0.0035708383078568566,3751,passed
mean,temperature_holdout_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.0010961036552214524,0.0043704568741254465,1756,passed
mean,c_rate_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.0018584237602246756,0.004605961575282497,143,passed
mean,profile_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.0009534063675410161,0.002780866022284322,733,passed
mean,voltage_window_holdout_fold,L2_hist_gradient_boosting,P1_state_time,0.0011773290373227096,0.0051745935959542615,3751,passed
charge,condition_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.000960406687696265,0.0035708383078568566,3751,passed
charge,temperature_holdout_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.0010961036552214524,0.0043704568741254465,1756,passed
charge,c_rate_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.0018584237602246756,0.004605961575282497,143,passed
charge,profile_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.0009534063675410161,0.002780866022284322,733,passed
charge,voltage_window_holdout_fold,L2_hist_gradient_boosting,P1_state_time,0.0011773290373227096,0.0051745935959542615,3751,passed
discharge,none,none,none,no_metrics,no_metrics,0,warning
