run_scope,model_level,feature_group,target,split_name,fold_count,condition_mean_mae,condition_median_mae,worst_condition_mae,mean_mae,mean_rmse,test_rows
primary,L0_persistence,P0_persistence,delta_pulse_10ms_resistance,c_rate_holdout_fold,1,0.0031657420584045586,0.002838861538461538,0.006539166666666668,0.002226013986013986,0.0035347727852517823,143
primary,L0_persistence,P0_persistence,delta_pulse_10ms_resistance,condition_fold,5,0.001476372564482436,0.000966632403577708,0.006539166666666668,0.0008239440708315143,0.0014775065171422595,3751
primary,L0_persistence,P0_persistence,delta_pulse_10ms_resistance,profile_holdout_fold,1,0.0010711032406952427,0.0008797709504685409,0.0034270833333333328,0.0007736507503410641,0.0012790656474250723,733
primary,L0_persistence,P0_persistence,delta_pulse_10ms_resistance,temperature_holdout_fold,2,0.0015600625141802829,0.001330375,0.005836333333333332,0.0008515801348246118,0.0015137902021033012,1756
primary,L0_persistence,P0_persistence,delta_pulse_10ms_resistance,voltage_window_holdout_fold,3,0.0013250326959615012,0.0009546124551971326,0.006539166666666668,0.0008175416186922188,0.0013713664038281263,3751
primary,L0_persistence,P0_persistence,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.0035347314204314203,0.0032171461538461543,0.006730833333333334,0.0025722307692307694,0.003947836653758011,143
primary,L0_persistence,P0_persistence,delta_pulse_1s_resistance,condition_fold,5,0.0017025639219485627,0.0012315013390073448,0.006730833333333334,0.000962906618853374,0.0017100339496276616,3751
primary,L0_persistence,P0_persistence,delta_pulse_1s_resistance,profile_holdout_fold,1,0.0011956672675752904,0.0009910125301204821,0.003641916666666667,0.0008841923601637108,0.0014397792449592933,733
primary,L0_persistence,P0_persistence,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.0017910768954761155,0.0015807444444444444,0.006399833333333334,0.0009739606868489192,0.0017493671418755147,1756
primary,L0_persistence,P0_persistence,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,0.001518514536249462,0.0011824746770025842,0.006730833333333334,0.0009537313298374153,0.0015677752485077669,3751
primary,L0_persistence,P0_persistence,pulse_10ms_resistance_k1,c_rate_holdout_fold,1,0.0031657420584045586,0.002838861538461538,0.006539166666666668,0.002226013986013986,0.0035347727852517823,143
primary,L0_persistence,P0_persistence,pulse_10ms_resistance_k1,condition_fold,5,0.001476372564482436,0.000966632403577708,0.006539166666666668,0.0008239440708315143,0.0014775065171422595,3752
primary,L0_persistence,P0_persistence,pulse_10ms_resistance_k1,profile_holdout_fold,1,0.0010711032406952427,0.0008797709504685409,0.0034270833333333328,0.0007736507503410641,0.0012790656474250723,734
primary,L0_persistence,P0_persistence,pulse_10ms_resistance_k1,temperature_holdout_fold,2,0.0015600625141802829,0.001330375,0.005836333333333332,0.0008515801348246118,0.0015137902021033012,1756
primary,L0_persistence,P0_persistence,pulse_10ms_resistance_k1,voltage_window_holdout_fold,3,0.0013250326959615012,0.0009546124551971326,0.006539166666666668,0.0008175416186922188,0.0013713664038281263,3752
primary,L0_persistence,P0_persistence,pulse_1s_resistance_k1,c_rate_holdout_fold,1,0.0035347314204314203,0.0032171461538461543,0.006730833333333334,0.0025722307692307694,0.003947836653758011,143
primary,L0_persistence,P0_persistence,pulse_1s_resistance_k1,condition_fold,5,0.0017025639219485627,0.0012315013390073448,0.006730833333333334,0.000962906618853374,0.0017100339496276616,3752
primary,L0_persistence,P0_persistence,pulse_1s_resistance_k1,profile_holdout_fold,1,0.0011956672675752904,0.0009910125301204821,0.003641916666666667,0.0008841923601637108,0.0014397792449592933,734
primary,L0_persistence,P0_persistence,pulse_1s_resistance_k1,temperature_holdout_fold,2,0.0017910768954761155,0.0015807444444444444,0.006399833333333334,0.0009739606868489192,0.0017493671418755147,1756
primary,L0_persistence,P0_persistence,pulse_1s_resistance_k1,voltage_window_holdout_fold,3,0.001518514536249462,0.0011824746770025842,0.006730833333333334,0.0009537313298374153,0.0015677752485077669,3752
primary,L1_ridge,P0_persistence,delta_pulse_10ms_resistance,c_rate_holdout_fold,1,0.0029457029945184326,0.002612098214799031,0.006314220240374401,0.00200649186675354,0.0033087293554454043,143
primary,L1_ridge,P0_persistence,delta_pulse_10ms_resistance,condition_fold,5,0.001339812390653435,0.0008501482016440076,0.006220103504463919,0.0007775748518386719,0.001323708374096072,3751
primary,L1_ridge,P0_persistence,delta_pulse_10ms_resistance,profile_holdout_fold,1,0.0010300443274842857,0.0007905726880721008,0.003171976705535117,0.0008170230155786217,0.0011801100912061672,733
primary,L1_ridge,P0_persistence,delta_pulse_10ms_resistance,temperature_holdout_fold,2,0.0014165549420737731,0.0011015715455112674,0.005515086197675941,0.0008008042611451726,0.0013680806055170944,1756
primary,L1_ridge,P0_persistence,delta_pulse_10ms_resistance,voltage_window_holdout_fold,3,0.0012384854262757182,0.0008268088515007041,0.0063129649902715045,0.0007897479691239715,0.0012719890597322268,3751
primary,L1_ridge,P0_persistence,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.0031901685522027056,0.0027816564230735102,0.006481730794626234,0.0022045062409905294,0.003617497763379097,143
primary,L1_ridge,P0_persistence,delta_pulse_1s_resistance,condition_fold,5,0.0014721373774852476,0.0009607963778065094,0.0064633484282283285,0.0008552773052657801,0.0014725392365785629,3751
primary,L1_ridge,P0_persistence,delta_pulse_1s_resistance,profile_holdout_fold,1,0.0011158828973379825,0.0009149883032834271,0.0033192619055827342,0.0009014823513891507,0.0012910114175610776,733
primary,L1_ridge,P0_persistence,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.0015377602035299305,0.001155920395776511,0.005921478337351901,0.0008625151995241256,0.0015086515377377263,1756
primary,L1_ridge,P0_persistence,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,0.0013794049887637554,0.0009357093108585465,0.006461904863325946,0.0008819529015049104,0.0014283107281862285,3751
primary,L1_ridge,P0_persistence,pulse_10ms_resistance_k1,c_rate_holdout_fold,1,0.0030963673013959148,0.0029593007830956523,0.006466739683786853,0.002118867127043626,0.0035464942232536303,143
primary,L1_ridge,P0_persistence,pulse_10ms_resistance_k1,condition_fold,5,0.0015772228757595195,0.001152532430655154,0.006351283399210095,0.0010170524647159498,0.0016674945011792759,3752
primary,L1_ridge,P0_persistence,pulse_10ms_resistance_k1,profile_holdout_fold,1,0.0013160614675590317,0.0010817259369120937,0.0035101818816027294,0.0010917684819148907,0.0017057832455008792,734
primary,L1_ridge,P0_persistence,pulse_10ms_resistance_k1,temperature_holdout_fold,2,0.0017573227193207362,0.0015744368964667097,0.006108348881047848,0.0011760478351148288,0.001881235308983847,1756
primary,L1_ridge,P0_persistence,pulse_10ms_resistance_k1,voltage_window_holdout_fold,3,0.0014456032236486113,0.0010989538027871661,0.0064885259114446855,0.0010451620313453786,0.0015915768921364777,3752
primary,L1_ridge,P0_persistence,pulse_1s_resistance_k1,c_rate_holdout_fold,1,0.0031861051297864275,0.0027778858901470415,0.006475894925621524,0.002201539567882744,0.0036146193568241582,143
primary,L1_ridge,P0_persistence,pulse_1s_resistance_k1,condition_fold,5,0.0014784770411833954,0.0009613019084254314,0.006456899075863387,0.000860408621547277,0.0015009469857046663,3752
primary,L1_ridge,P0_persistence,pulse_1s_resistance_k1,profile_holdout_fold,1,0.0011616827521144153,0.0009217477473694536,0.0033192074097137376,0.0009251762055863713,0.0014617632205273835,734
primary,L1_ridge,P0_persistence,pulse_1s_resistance_k1,temperature_holdout_fold,2,0.0015368565313321366,0.0011556711213252884,0.005915059088368563,0.000863622475828037,0.001508613020267311,1756
primary,L1_ridge,P0_persistence,pulse_1s_resistance_k1,voltage_window_holdout_fold,3,0.0013871215782899407,0.000995831959021437,0.006453171219827462,0.0008891668823267715,0.0014590825277358231,3752
primary,L1_ridge,P1_state_time,delta_pulse_10ms_resistance,c_rate_holdout_fold,1,0.0028082361629185935,0.0023791024862100064,0.006214237294057866,0.0018786642379865007,0.00314443410622645,143
primary,L1_ridge,P1_state_time,delta_pulse_10ms_resistance,condition_fold,5,0.00126610426733436,0.0007645667154231681,0.006030079737964611,0.0007640276546125323,0.001269044527001413,3751
primary,L1_ridge,P1_state_time,delta_pulse_10ms_resistance,profile_holdout_fold,1,0.0009244694039638547,0.0007247429551804207,0.0028002870294244427,0.0007474469865452119,0.0011126476959235961,733
primary,L1_ridge,P1_state_time,delta_pulse_10ms_resistance,temperature_holdout_fold,2,0.0013339181865437573,0.000902987694276371,0.005341480833536579,0.0007752950892196415,0.0013012144080667791,1756
primary,L1_ridge,P1_state_time,delta_pulse_10ms_resistance,voltage_window_holdout_fold,3,0.0012451748944306285,0.0008931313669924999,0.0060645062355941595,0.0008358867251439297,0.0013177606159384177,3751
primary,L1_ridge,P1_state_time,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.00297867596146574,0.002402683041808293,0.006312065661913383,0.002013872403428536,0.0034005499041355977,143
primary,L1_ridge,P1_state_time,delta_pulse_1s_resistance,condition_fold,5,0.0013755471757147422,0.0008987557879502617,0.0062239362841401144,0.0008374435519699277,0.0014016201861307407,3751
primary,L1_ridge,P1_state_time,delta_pulse_1s_resistance,profile_holdout_fold,1,0.001011319211493038,0.0008754429554274816,0.002874898022277802,0.000834303512465396,0.0012232480763824472,733
primary,L1_ridge,P1_state_time,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.0014188093431399438,0.000977301933569562,0.0056366247481037975,0.0008339485808122856,0.001414273513000025,1756
primary,L1_ridge,P1_state_time,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,0.0013667942713986813,0.0010142819407871217,0.006275264554466303,0.0009208889417101264,0.0014618087154236997,3751
primary,L1_ridge,P1_state_time,pulse_10ms_resistance_k1,c_rate_holdout_fold,1,0.0029330362099712673,0.0027210070900371376,0.006304527344337527,0.001987804854667327,0.003340420134834797,143
primary,L1_ridge,P1_state_time,pulse_10ms_resistance_k1,condition_fold,5,0.001496076781609305,0.0011136232747562614,0.006140284161563499,0.0010214161732705256,0.0016095182674218487,3752
primary,L1_ridge,P1_state_time,pulse_10ms_resistance_k1,profile_holdout_fold,1,0.0012318319794507291,0.001067513446441547,0.0031190490748508257,0.001057878578211492,0.001630169471139945,734
primary,L1_ridge,P1_state_time,pulse_10ms_resistance_k1,temperature_holdout_fold,2,0.0016933702060053732,0.0014332441604690068,0.005871806787457389,0.001171456483038196,0.0018094376748326883,1756
primary,L1_ridge,P1_state_time,pulse_10ms_resistance_k1,voltage_window_holdout_fold,3,0.0015454875902130543,0.0012099214977478693,0.006109476497926075,0.001187613134566743,0.0017481796557300084,3752
primary,L1_ridge,P1_state_time,pulse_1s_resistance_k1,c_rate_holdout_fold,1,0.002983090968159527,0.0023916551940852283,0.0063298937230843,0.0020120012886841406,0.0033979961499899054,143
primary,L1_ridge,P1_state_time,pulse_1s_resistance_k1,condition_fold,5,0.0013825082410140032,0.0009078240077861549,0.006242643146518863,0.000842902495431401,0.001428994874330036,3752
primary,L1_ridge,P1_state_time,pulse_1s_resistance_k1,profile_holdout_fold,1,0.00105470827087815,0.0008810228688477958,0.002874927309143556,0.0008568841725963162,0.0013844999548350467,734
primary,L1_ridge,P1_state_time,pulse_1s_resistance_k1,temperature_holdout_fold,2,0.0014178408082273978,0.0009630502287209311,0.005659212778275596,0.0008352077529356135,0.0014130102693453608,1756
primary,L1_ridge,P1_state_time,pulse_1s_resistance_k1,voltage_window_holdout_fold,3,0.0013733700926557397,0.0010300812299322696,0.006298761568703691,0.000926491061799933,0.001491636130440598,3752
