condition_mean_mae,condition_median_mae,feature_group,mean_mae,mean_rmse,model_level,run_scope,split_name,target,test_parameter_sets,test_rows,threshold,worst_condition_mae
0.0018584237602246756,0.0015190069978590272,P3_state_nominal,0.0014023360125889485,0.0023192630778658256,L2_hist_gradient_boosting,primary,c_rate_holdout_fold,delta_pulse_1s_resistance,12,143,all,0.004605961575282497
0.000960406687696265,0.0007666069167920052,P5_stress_v1_1,0.0006703259597819821,0.0010536595200680452,L2_hist_gradient_boosting,primary,condition_fold,delta_pulse_1s_resistance,76,3751,all,0.0035708383078568566
0.0009534063675410161,0.0007024812482508405,P3_state_nominal,0.0007702441423060478,0.0011002322104894842,L2_hist_gradient_boosting,primary,profile_holdout_fold,delta_pulse_1s_resistance,12,733,all,0.002780866022284322
0.0010961036552214524,0.0009180624533904043,P5_stress_v1_1,0.0006946414715813356,0.0011899072667259168,L2_hist_gradient_boosting,primary,temperature_holdout_fold,delta_pulse_1s_resistance,38,1756,all,0.0043704568741254465
0.0011773290373227096,0.001023378984822513,P1_state_time,0.0008974039945066394,0.0013517927377457413,L2_hist_gradient_boosting,primary,voltage_window_holdout_fold,delta_pulse_1s_resistance,76,3751,all,0.0051745935959542615
0.0019497144392911405,0.0015434324591822152,P3_state_nominal,0.0014488245991916351,0.002391376562277599,L2_hist_gradient_boosting,primary,c_rate_holdout_fold,delta_pulse_1s_resistance,12,143,24h,0.004904943286667462
0.0009520073043093776,0.0007261913031173905,P5_stress_v1_1,0.000667249930034524,0.0010540500386492858,L2_hist_gradient_boosting,primary,condition_fold,delta_pulse_1s_resistance,76,3748,24h,0.0035056590209855062
0.0009432958126995584,0.0006684402039714322,P3_state_nominal,0.0007491370968279483,0.001093631329651669,L2_hist_gradient_boosting,primary,profile_holdout_fold,delta_pulse_1s_resistance,12,733,24h,0.0028156265704216963
0.0010960799429899576,0.0009703657620827003,P5_stress_v1_1,0.0006927232342816656,0.0011831241444578639,L2_hist_gradient_boosting,primary,temperature_holdout_fold,delta_pulse_1s_resistance,38,1756,24h,0.004328475571774233
0.0011741487559079366,0.000996837863360478,P1_state_time,0.000889514712906774,0.0013483564166577248,L2_hist_gradient_boosting,primary,voltage_window_holdout_fold,delta_pulse_1s_resistance,76,3748,24h,0.005074915571455001
0.0018584237602246756,0.0015190069978590272,P3_state_nominal,0.0014023360125889485,0.0023192630778658256,L2_hist_gradient_boosting,primary,c_rate_holdout_fold,delta_pulse_1s_resistance,12,143,36h,0.004605961575282497
0.000960406687696265,0.0007666069167920052,P5_stress_v1_1,0.0006703259597819821,0.0010536595200680452,L2_hist_gradient_boosting,primary,condition_fold,delta_pulse_1s_resistance,76,3751,36h,0.0035708383078568566
0.0009534063675410161,0.0007024812482508405,P3_state_nominal,0.0007702441423060478,0.0011002322104894842,L2_hist_gradient_boosting,primary,profile_holdout_fold,delta_pulse_1s_resistance,12,733,36h,0.002780866022284322
0.0010961036552214524,0.0009180624533904043,P5_stress_v1_1,0.0006946414715813356,0.0011899072667259168,L2_hist_gradient_boosting,primary,temperature_holdout_fold,delta_pulse_1s_resistance,38,1756,36h,0.0043704568741254465
0.0011773290373227096,0.001023378984822513,P1_state_time,0.0008974039945066394,0.0013517927377457413,L2_hist_gradient_boosting,primary,voltage_window_holdout_fold,delta_pulse_1s_resistance,76,3751,36h,0.0051745935959542615
