target,split_name,best_model_level,best_feature_group,condition_mean_mae,worst_condition_mae,test_rows
delta_pulse_10ms_resistance,c_rate_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.001806418796253129,0.004495672875937076,143
delta_pulse_10ms_resistance,condition_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.0009106758616044801,0.003662869823700421,3751
delta_pulse_10ms_resistance,profile_holdout_fold,L2_hist_gradient_boosting,P2_state_capacity,0.0008826735213495114,0.0018478675485768274,733
delta_pulse_10ms_resistance,temperature_holdout_fold,L1_ridge,P5_stress_v1_1,0.001034439283270466,0.0038425777119549137,1756
delta_pulse_10ms_resistance,voltage_window_holdout_fold,L2_hist_gradient_boosting,P1_state_time,0.0011116924597442386,0.005013891030766915,3751
delta_pulse_1s_resistance,c_rate_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.0018584237602246756,0.004605961575282497,143
delta_pulse_1s_resistance,condition_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.000960406687696265,0.0035708383078568566,3751
delta_pulse_1s_resistance,profile_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.0009534063675410161,0.002780866022284322,733
delta_pulse_1s_resistance,temperature_holdout_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.0010961036552214524,0.0043704568741254465,1756
delta_pulse_1s_resistance,voltage_window_holdout_fold,L2_hist_gradient_boosting,P1_state_time,0.0011773290373227096,0.0051745935959542615,3751
pulse_10ms_resistance_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,P4_state_log_age_scalar,0.0017979177099037918,0.0040639759679699395,143
pulse_10ms_resistance_k1,condition_fold,L2_hist_gradient_boosting,P4_state_log_age_scalar,0.0010591743455117852,0.004164103307094433,3752
pulse_10ms_resistance_k1,profile_holdout_fold,L1_ridge,P3_state_nominal,0.0010624637748083883,0.0025193962377157075,734
pulse_10ms_resistance_k1,temperature_holdout_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.0012568708666106229,0.004327542212127261,1756
pulse_10ms_resistance_k1,voltage_window_holdout_fold,L2_hist_gradient_boosting,P4_state_log_age_scalar,0.0012843370183301048,0.005081462852197494,3752
pulse_1s_resistance_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.0018961646029648019,0.0043167972925774265,143
pulse_1s_resistance_k1,condition_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.0010497303637905617,0.004377031737730799,3752
pulse_1s_resistance_k1,profile_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.0009602120994096144,0.002344157245140694,734
pulse_1s_resistance_k1,temperature_holdout_fold,L1_ridge,P5_stress_v1_1,0.0011265936784802498,0.003924179941487449,1756
pulse_1s_resistance_k1,voltage_window_holdout_fold,L2_hist_gradient_boosting,P2_state_capacity,0.001244475339101207,0.006003179687190405,3752
