run_scope,model_level,feature_group,target,split_name,fold_count,condition_mean_mae,condition_median_mae,worst_condition_mae,mean_mae,mean_rmse,test_rows
primary,L2_hist_gradient_boosting,P3_state_nominal,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.0019370888386816712,0.0015934790659757614,0.004595215930091828,0.0014435695509355366,0.002364147556835637,142
primary,L2_hist_gradient_boosting,P3_state_nominal,delta_pulse_1s_resistance,condition_fold,5,0.0010717287658622656,0.0007348590522186353,0.004567257462369054,0.0006896304578313114,0.0011211676530680768,3746
primary,L2_hist_gradient_boosting,P3_state_nominal,delta_pulse_1s_resistance,profile_holdout_fold,1,0.0009499940863979618,0.0006651826303720912,0.0028482483222552514,0.0007674553853672464,0.0011116884741986493,732
primary,L2_hist_gradient_boosting,P3_state_nominal,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.0011136357815107157,0.0008990747744824719,0.004344004401956105,0.000699910338434665,0.0012287842287315655,1753
primary,L2_hist_gradient_boosting,P3_state_nominal,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,0.0012762888851020838,0.0009280062566831051,0.005504422933951114,0.000941536064680721,0.0013374869474444228,3746
primary,L2_hist_gradient_boosting,P5_stress_v1_1,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.0021724398506663923,0.0014935528417710671,0.004701528679976748,0.0015740379214601685,0.002532421738290394,142
primary,L2_hist_gradient_boosting,P5_stress_v1_1,delta_pulse_1s_resistance,condition_fold,5,0.0009854404974392948,0.0007223589120780641,0.003770017900115793,0.0006785084256201182,0.0010725152096604325,3746
primary,L2_hist_gradient_boosting,P5_stress_v1_1,delta_pulse_1s_resistance,profile_holdout_fold,1,0.001573298878642721,0.001308743172478855,0.0031339125081175025,0.0013810850011222314,0.0016712416755144041,732
primary,L2_hist_gradient_boosting,P5_stress_v1_1,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.00108438666789661,0.0009251047407126613,0.0041645902677533535,0.0006911809398336105,0.0011888455871733139,1753
primary,L2_hist_gradient_boosting,P5_stress_v1_1,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,0.0013680711928727312,0.0009102161818310797,0.004861797704841409,0.0010913263337827429,0.0016116364945937258,3746
