run_scope,target,split_name,heldout_fold,model_level,feature_group,train_rows,test_rows,test_parameter_sets
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P3_state_nominal,2920,826,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P5_stress_v1_1,2920,826,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P_E0_prior_eis,2920,826,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P_E1_nominal_eis,2920,826,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P_E2_log_age_eis,2920,826,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P_E3_stress_eis,2920,826,16
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P3_state_nominal,2896,850,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P5_stress_v1_1,2896,850,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P_E0_prior_eis,2896,850,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P_E1_nominal_eis,2896,850,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P_E2_log_age_eis,2896,850,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P_E3_stress_eis,2896,850,15
primary,delta_pulse_1s_resistance,condition_fold,2,L2_hist_gradient_boosting,P3_state_nominal,2866,880,15
primary,delta_pulse_1s_resistance,condition_fold,2,L2_hist_gradient_boosting,P5_stress_v1_1,2866,880,15
primary,delta_pulse_1s_resistance,condition_fold,2,L2_hist_gradient_boosting,P_E0_prior_eis,2866,880,15
primary,delta_pulse_1s_resistance,condition_fold,2,L2_hist_gradient_boosting,P_E1_nominal_eis,2866,880,15
primary,delta_pulse_1s_resistance,condition_fold,2,L2_hist_gradient_boosting,P_E2_log_age_eis,2866,880,15
primary,delta_pulse_1s_resistance,condition_fold,2,L2_hist_gradient_boosting,P_E3_stress_eis,2866,880,15
primary,delta_pulse_1s_resistance,condition_fold,3,L2_hist_gradient_boosting,P3_state_nominal,3257,489,15
primary,delta_pulse_1s_resistance,condition_fold,3,L2_hist_gradient_boosting,P5_stress_v1_1,3257,489,15
primary,delta_pulse_1s_resistance,condition_fold,3,L2_hist_gradient_boosting,P_E0_prior_eis,3257,489,15
primary,delta_pulse_1s_resistance,condition_fold,3,L2_hist_gradient_boosting,P_E1_nominal_eis,3257,489,15
primary,delta_pulse_1s_resistance,condition_fold,3,L2_hist_gradient_boosting,P_E2_log_age_eis,3257,489,15
primary,delta_pulse_1s_resistance,condition_fold,3,L2_hist_gradient_boosting,P_E3_stress_eis,3257,489,15
primary,delta_pulse_1s_resistance,condition_fold,4,L2_hist_gradient_boosting,P3_state_nominal,3045,701,15
