target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,semi_empirical_feature_group,semi_empirical_source_report,reference_feature_group,reference_source_report,reference_condition_mae,semi_empirical_condition_mae,reference
capacity_Ah_k1,c_rate_holdout_fold,1,20,0.058872520865752495,6,0.0,approx_0_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.1796799497245337,0.1208074288587812,best_stress
capacity_Ah_k1,c_rate_holdout_fold,1,24,-0.03956676995721509,4,0.0,approx_10_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.16573266198913394,0.20529943194634903,best_stress
capacity_Ah_k1,c_rate_holdout_fold,1,28,-0.1857270730779557,9,0.0,approx_10_90,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.10245694433960886,0.28818401741756455,best_stress
capacity_Ah_k1,c_rate_holdout_fold,1,32,0.06435599120259275,6,10.0,approx_0_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.2192951227743526,0.15493913157175984,best_stress
capacity_Ah_k1,c_rate_holdout_fold,1,36,-0.10271828720175188,6,10.0,approx_10_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.24303524846680977,0.34575353566856165,best_stress
capacity_Ah_k1,c_rate_holdout_fold,1,40,-0.15512385301817333,15,10.0,approx_10_90,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.0542782056153059,0.20940205863347922,best_stress
capacity_Ah_k1,c_rate_holdout_fold,1,44,-0.06808424648606308,6,25.0,approx_0_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.11071370426660516,0.17879795075266824,best_stress
capacity_Ah_k1,c_rate_holdout_fold,1,48,-0.15120363174669957,10,25.0,approx_10_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.044165768620961866,0.19536940036766143,best_stress
capacity_Ah_k1,c_rate_holdout_fold,1,52,-0.17079606516846593,28,25.0,approx_10_90,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.05420353060335009,0.22499959577181602,best_stress
capacity_Ah_k1,c_rate_holdout_fold,1,56,-0.10068800859496908,13,40.0,approx_0_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.09273987602261181,0.1934278846175809,best_stress
capacity_Ah_k1,c_rate_holdout_fold,1,60,-0.18764362601558987,16,40.0,approx_10_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.1450422257825303,0.33268585179812016,best_stress
capacity_Ah_k1,c_rate_holdout_fold,1,64,-0.1923089271374776,38,40.0,approx_10_90,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.035920273309618236,0.22822920044709583,best_stress
capacity_Ah_k1,condition_fold,0,8,-0.01315182101989635,84,10.0,calendar_soc_100,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0045669227248146945,0.017718743744711045,best_stress
capacity_Ah_k1,condition_fold,0,15,-0.00040826718144442234,78,40.0,calendar_soc_90,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.021653500668727028,0.02206176785017145,best_stress
capacity_Ah_k1,condition_fold,0,18,-0.00538101677342763,17,0.0,approx_0_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.08714746113600164,0.09252847790942927,best_stress
capacity_Ah_k1,condition_fold,0,24,-0.027404775939033343,4,0.0,approx_10_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.04900724352118724,0.07641201946022058,best_stress
capacity_Ah_k1,condition_fold,0,30,-0.021390655034714018,25,10.0,approx_0_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.05836259533706081,0.07975325037177483,best_stress
capacity_Ah_k1,condition_fold,0,34,-0.016525071767348548,44,10.0,approx_10_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.04397824723704288,0.06050331900439143,best_stress
capacity_Ah_k1,condition_fold,0,37,-0.01212680320231877,84,10.0,approx_10_90,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.009354895341963659,0.02148169854428243,best_stress
