target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,semi_empirical_feature_group,semi_empirical_source_report,reference_feature_group,reference_source_report,reference_condition_mae,semi_empirical_condition_mae,reference
capacity_Ah_k1,c_rate_holdout_fold,1,20,0.05561784175552102,6,0.0,approx_0_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.17642527061430222,0.1208074288587812,hgb_f4
capacity_Ah_k1,c_rate_holdout_fold,1,24,-0.050946805559410446,4,0.0,approx_10_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.15435262638693859,0.20529943194634903,hgb_f4
capacity_Ah_k1,c_rate_holdout_fold,1,28,-0.20713628172500334,9,0.0,approx_10_90,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.08104773569256121,0.28818401741756455,hgb_f4
capacity_Ah_k1,c_rate_holdout_fold,1,32,0.0924255037352392,6,10.0,approx_0_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.24736463530699904,0.15493913157175984,hgb_f4
capacity_Ah_k1,c_rate_holdout_fold,1,36,-0.06931893571047654,6,10.0,approx_10_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.2764345999580851,0.34575353566856165,hgb_f4
capacity_Ah_k1,c_rate_holdout_fold,1,40,-0.16021371550500907,15,10.0,approx_10_90,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.049188343128470154,0.20940205863347922,hgb_f4
capacity_Ah_k1,c_rate_holdout_fold,1,44,-0.07027054274341145,6,25.0,approx_0_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.1085274080092568,0.17879795075266824,hgb_f4
capacity_Ah_k1,c_rate_holdout_fold,1,48,-0.15842738809307444,10,25.0,approx_10_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.036942012274586974,0.19536940036766143,hgb_f4
capacity_Ah_k1,c_rate_holdout_fold,1,52,-0.17474911707056012,28,25.0,approx_10_90,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.05025047870125591,0.22499959577181602,hgb_f4
capacity_Ah_k1,c_rate_holdout_fold,1,56,-0.06237207479296267,13,40.0,approx_0_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.13105580982461823,0.1934278846175809,hgb_f4
capacity_Ah_k1,c_rate_holdout_fold,1,60,-0.18527688267910505,16,40.0,approx_10_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.1474089691190151,0.33268585179812016,hgb_f4
capacity_Ah_k1,c_rate_holdout_fold,1,64,-0.18499067504993777,38,40.0,approx_10_90,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.04323852539715805,0.22822920044709583,hgb_f4
capacity_Ah_k1,condition_fold,0,8,-0.014724941487157537,84,10.0,calendar_soc_100,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.002993802257553508,0.017718743744711045,hgb_f4
capacity_Ah_k1,condition_fold,0,15,-0.006262675108587672,78,40.0,calendar_soc_90,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.015799092741583778,0.02206176785017145,hgb_f4
capacity_Ah_k1,condition_fold,0,18,0.009057529285855709,17,0.0,approx_0_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.10158600719528497,0.09252847790942927,hgb_f4
capacity_Ah_k1,condition_fold,0,24,0.013672260600217867,4,0.0,approx_10_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.09008428006043845,0.07641201946022058,hgb_f4
capacity_Ah_k1,condition_fold,0,30,0.0031931717922219355,25,10.0,approx_0_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.08294642216399677,0.07975325037177483,hgb_f4
capacity_Ah_k1,condition_fold,0,34,-0.01750442312890302,44,10.0,approx_10_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.04299889587548841,0.06050331900439143,hgb_f4
